idExterne;nom;exploitant;latitude;longitude;couleur;couleurEvolution;vCreation;vMaj;vSuppression
SNCF00062;Saint-Flour - Chaudes-Aigues;SNCF;45.0350122;3.1062862;3;7;102;0;0
SNCF00150;Pierrelatte;SNCF;44.374719;4.703783;5;0;102;0;0
SNCF00164;Lyon Saint-Exupéry TGV;SNCF;45.721109;5.074969;7;5;102;0;0
SNCF00166;Die;SNCF;44.7582549;5.3632053;0;3;102;0;0
SNCF00169;Tullins Fures;SNCF;45.300996;5.492194;1;6;102;0;0
SNCF00173;Saint-Hilaire - Saint-Nazaire;SNCF;45.0713405;5.243851;2;7;102;0;0
SNCF00310;Goncelin;SNCF;45.341941;5.974136;3;6;102;0;0
SNCF00315;Voreppe;SNCF;45.290417;5.632119;4;3;102;0;0
SNCF00316;Moirans;SNCF;45.322185;5.581915;5;4;102;0;0
SNCF00318;Réaumont - Saint-Cassien;SNCF;45.3688217;5.5346895;6;1;102;0;0
SNCF00321;Le Grand-Lemps;SNCF;45.3966261;5.4231117;7;5;102;0;0
SNCF00330;Les Tines;SNCF;45.9505693;6.8991603;0;1;102;0;0
SNCF00334;Les Pélerins;SNCF;45.9125671;6.8472858;1;5;102;0;0
SNCF00343;Saint-Gervais-les-Bains Le Fayet;SNCF;45.906423;6.701331;2;5;102;0;0
SNCF00348;Bonneville;SNCF;46.077772;6.416524;3;5;102;0;0
SNCF00360;Thonon-les-Bains;SNCF;46.369004;6.481669;4;7;102;0;0
SNCF00395;Albertville;SNCF;45.672977;6.383167;5;0;102;0;0
SNCF00400;Pont-de-Beauvoisin;SNCF;45.524636;5.680772;6;0;102;0;0
SNCF00407;Aiguebelle;SNCF;45.5437225;6.3067175;7;1;102;0;0
SNCF00411;Viviers-du-Lac;SNCF;45.648502;5.9033389;0;6;102;0;0
SNCF00416;Chambéry - Challes-les-Eaux;SNCF;45.571302;5.919547;1;4;102;0;0
SNCF00424;Darsac;SNCF;45.14211;3.7365537;2;0;102;0;0
SNCF00426;Thiers;SNCF;45.8610502;3.5431798;3;1;102;0;0
SNCF00435;Langeac;SNCF;45.10125;3.490672;4;3;102;0;0
SNCF00441;Le Breuil-sur-Couze;SNCF;45.4670838;3.2621478;5;0;102;0;0
SNCF00442;Issoire;SNCF;45.543884;3.253980;6;5;102;0;0
SNCF00456;Gannat;SNCF;46.0975964;3.2047514;7;5;102;0;0
SNCF00462;Saint-Étienne Carnot;SNCF;45.446976;4.385317;0;4;102;0;0
SNCF00463;Montrond-les-Bains;SNCF;45.644429;4.248814;1;3;102;0;0
SNCF00471;Bas - Monistrol;SNCF;45.297596;4.139602;2;1;102;0;0
SNCF00479;Saint-Romain-le-Puy;SNCF;45.5545543;4.1208275;3;6;102;0;0
SNCF00481;Bonson;SNCF;45.5221941;4.2163084;4;2;102;0;0
SNCF01430;Aulnat Aéroport;SNCF;45.7920571;3.1614332;6;5;102;0;0
SNCF00064;Clermont la Pardieu;SNCF;45.766947;3.134163;5;0;102;0;0
SNCF00168;Crest;SNCF;44.7301546;5.0160968;6;3;102;0;0
SNCF00174;Romans - Bourg-de-Péage;SNCF;45.048857;5.049800;7;6;102;0;0
SNCF00175;Loriol;SNCF;44.7544973;4.8171679;0;6;102;0;0
SNCF00176;Livron;SNCF;44.7796035;4.8305412;1;7;102;0;0
SNCF00306;Saint-Georges-de-Commiers;SNCF;45.0437667;5.7017874;1;2;102;0;0
SNCF00329;La Joux;SNCF;45.9657075;6.910179;2;1;102;0;0
SNCF00331;Les Praz de Chamonix;SNCF;45.9394594;6.888753;3;7;102;0;0
SNCF00336;Taconnaz;SNCF;45.8992065;6.8258755;4;7;102;0;0
SNCF00339;Vaudagne;SNCF;45.9088517;6.7726673;5;0;102;0;0
SNCF00340;Servoz;SNCF;45.9244592;6.763444;6;4;102;0;0
SNCF00345;Magland;SNCF;46.016945;6.6215075;7;6;102;0;0
SNCF00350;La Roche-sur-Foron;SNCF;46.067560;6.303885;0;2;102;0;0
SNCF00351;Groisy - Thorens - La Caille;SNCF;46.0111205;6.17568;1;5;102;0;0
SNCF00357;Annecy;SNCF;45.901965;6.121835;2;0;102;0;0
SNCF00358;Seyssel - Corbonod;SNCF;45.9630307;5.8315162;3;5;102;0;0
SNCF00363;Machilly;SNCF;46.2512825;6.3282335;4;7;102;0;0
SNCF00368;Bellegarde;SNCF;46.109425;5.823483;5;7;102;0;0
SNCF00371;Ambérieu-en-Bugey;SNCF;45.954008;5.342388;6;7;102;0;0
SNCF00375;Bellignat;SNCF;46.2381265;5.6298849;7;0;102;0;0
SNCF00377;Cize - Bolozon;SNCF;46.2134803;5.4540677;0;6;102;0;0
SNCF00378;Simandre-sur-Suran;SNCF;46.2202097;5.4210929;1;3;102;0;0
SNCF00383;Saint-Martin-du-Mont;SNCF;46.095871;5.303003;2;6;102;0;0
SNCF00388;Modane;SNCF;45.193365;6.658161;3;1;102;0;0
SNCF00396;Frontenex;SNCF;45.6305461;6.3140556;4;5;102;0;0
SNCF00405;Saint-Avre - La Chambre;SNCF;45.3530978;6.3028277;5;4;102;0;0
SNCF00408;Chamousset;SNCF;45.5575744;6.2067432;6;0;102;0;0
SNCF00410;Montmélian;SNCF;45.503059;6.043289;7;1;102;0;0
SNCF00412;Aix-les-Bains le Revard;SNCF;45.688161;5.909371;0;7;102;0;0
SNCF00421;Saint-Vincent le Château;SNCF;45.1488794;3.9186273;1;4;102;0;0
SNCF00429;Vertaizon;SNCF;45.784543;3.288269;2;3;102;0;0
SNCF00434;Monistrol-d'Allier;SNCF;44.9696648;3.6500424;3;5;102;0;0
SNCF00437;Paulhaguet;SNCF;45.2101978;3.5004445;4;6;102;0;0
SNCF00451;Pont-du-Château;SNCF;45.7885543;3.2377829;5;4;102;0;0
SNCF00455;Clermont-Ferrand;SNCF;45.778945;3.100543;6;1;102;0;0
SNCF00460;Lachaud Curmilhac;SNCF;45.1228045;3.6104913;7;0;102;0;0
SNCF00467;Le Coteau;SNCF;46.023984;4.086248;0;1;102;0;0
SNCF00472;Aurec;SNCF;45.3711611;4.1983439;1;6;102;0;0
SNCF00477;Boën;SNCF;45.7413612;4.0051544;2;6;102;0;0
SNCF00484;Saint-Chamond;SNCF;45.47257;4.51695;3;0;102;0;0
SNCF00509;Saint-Paul-de-Varax;SNCF;46.1000331;5.1282046;0;3;102;0;0
SNCF00527;Cessieu;SNCF;45.5611596;5.3761179;1;0;102;0;0
SNCF00533;Vénissieux;SNCF;45.705551;4.888109;2;4;102;0;0
SNCF00535;Alaï;SNCF;45.7521198;4.7717824;3;7;102;0;0
SNCF00541;Vienne;SNCF;45.521207;4.874211;4;2;102;0;0
SNCF00547;Givors Canal;SNCF;45.5957662;4.7725754;5;1;102;0;0
SNCF00548;Givors;SNCF;45.584948;4.766086;6;4;102;0;0
SNCF00552;Oullins;SNCF;45.7166261;4.8135793;7;6;102;0;0
SNCF03079;Viescamp-sous-Jallès;SNCF;44.91831;2.29021;6;2;102;0;0
SNCF01887;Clermont la Rotonde;SNCF;45.7680954;3.0909704;3;6;102;0;0
SNCF00482;Andrézieux;SNCF;45.5217037;4.254834;7;1;102;0;0
SNCF00483;Rive-de-Gier;SNCF;45.524324;4.606648;0;4;102;0;0
SNCF00485;La Fouillouse;SNCF;45.4977675;4.3170839;1;6;102;0;0
SNCF00487;Veauche - Saint-Galmier;SNCF;45.565928;4.293438;2;1;102;0;0
SNCF00489;Saint-Étienne Le Clapier;SNCF;45.4371122;4.3782267;3;6;102;0;0
SNCF00494;Mézériat;SNCF;46.2350502;5.046622;4;7;102;0;0
SNCF00508;Servas - Lent;SNCF;46.1306663;5.1681312;6;3;102;0;0
SNCF00513;Saint-André-de-Corcy;SNCF;45.925911;4.948846;7;3;102;0;0
SNCF00515;Les Échets;SNCF;45.8746675;4.9108215;0;2;102;0;0
SNCF00519;Montluel;SNCF;45.847770;5.057503;1;4;102;0;0
SNCF00534;Lyon Part Dieu;SNCF;45.760559;4.859355;2;0;102;0;0
SNCF00542;Estressin;SNCF;45.540285;4.868273;3;4;102;0;0
SNCF00560;Châtillon d'Azergues;SNCF;45.8751815;4.6451164;4;0;102;0;0
SNCF00563;Les Flachères;SNCF;45.7774345;4.7541523;5;2;102;0;0
SNCF00566;Lentilly;SNCF;45.821630;4.667103;6;1;102;0;0
SNCF00571;Écully la Demi-Lune;SNCF;45.7657162;4.7795238;7;2;102;0;0
SNCF00574;Pontcharra - Saint-Forgeux;SNCF;45.8714911;4.4927781;0;2;102;0;0
SNCF00576;Dardilly le Jubin;SNCF;45.815143;4.7613451;1;2;102;0;0
SNCF00580;Belleville sur Sâone;SNCF;46.111917;4.729028;2;6;102;0;0
SNCF00581;Saint-Georges-de-Reneins;SNCF;46.0621952;4.7188908;3;6;102;0;0
SNCF00585;Saint-Germain-au-Mont-d'Or;SNCF;45.888352;4.804265;4;6;102;0;0
SNCF00592;Saint-Victor - Thizy;SNCF;46.0024781;4.2810245;5;1;102;0;0
SNCF00702;Varennes-sur-Allier;SNCF;46.3154922;3.3941783;2;5;102;0;0
SNCF00903;Maurs;SNCF;44.7061543;2.1995656;3;0;102;0;0
SNCF00918;Magnette;SNCF;46.4641418;2.6028771;4;7;102;0;0
SNCF00926;Huriel;SNCF;46.3714332;2.4762569;5;3;102;0;0
SNCF00931;Bellenaves;SNCF;46.199256;3.0665239;6;0;102;0;0
SNCF00934;Montluçon;SNCF;46.338101;2.596159;7;0;102;0;0
SNCF00564;Sain-Bel;SNCF;45.811097;4.6012445;5;0;102;0;0
SNCF00584;Quincieux;SNCF;45.9068815;4.7785643;6;7;102;0;0
SNCF00705;Villeneuve-sur-Allier;SNCF;46.6592073;3.2469557;5;2;102;0;0
SNCF00896;Neussargues;SNCF;45.1253044;2.9791866;5;0;102;0;0
SNCF00900;Le Rouget;SNCF;44.8565391;2.2355043;6;7;102;0;0
SNCF00902;Pers;SNCF;44.887025;2.2403887;7;3;102;0;0
SNCF00911;La Bourboule;SNCF;45.5906298;2.7462611;0;4;102;0;0
SNCF00917;Les Trillers;SNCF;46.4147461;2.6001018;1;5;102;0;0
SNCF00927;La Ville Gozet;SNCF;46.3497686;2.5918028;2;0;102;0;0
SNCF00932;Louroux-de-Bouble;SNCF;46.2241289;2.9849368;3;4;102;0;0
SNCF00933;Lapeyrouse;SNCF;46.2267825;2.893393;4;6;102;0;0
SNCF01773;Chamonix Aiguille du Midi;SNCF;45.91993;6.8667152;6;7;102;0;0
SNCF01829;Lancey;SNCF;45.2344784;5.8809758;5;3;102;0;0
SNCF02204;Montluçon Rimard;SNCF;46.3355913;2.6115119;1;4;102;0;0
SNCF02670;Casino Lacroix Laval;SNCF;45.7878115;4.7309383;3;7;102;0;0
SNCF02425;Lyon Jean Macé;SNCF;45.74495;4.84139;3;1;102;0;0
SNCF00151;Donzère;SNCF;44.4433646;4.7046262;0;7;102;0;0
SNCF00165;Luc-en-Diois;SNCF;44.6136615;5.4546227;4;0;102;0;0
SNCF00172;Saint-Marcellin;SNCF;45.150898;5.323649;5;4;102;0;0
SNCF00177;L'Isle-d'Abeau;SNCF;45.607645;5.219690;6;4;102;0;0
SNCF00179;Saint-Vallier sur Rhône;SNCF;45.186395;4.814390;7;6;102;0;0
SNCF00305;Vif;SNCF;45.0476532;5.6854542;0;3;102;0;0
SNCF00308;Pont-de-Claix;SNCF;45.1251549;5.6998669;1;6;102;0;0
SNCF00309;Pontcharra sur Bréda;SNCF;45.434151;6.007917;2;6;102;0;0
SNCF00325;Le Buet;SNCF;46.018805;6.9204119;3;2;102;0;0
SNCF00327;Montroc le Planet;SNCF;45.996415;6.9345425;4;5;102;0;0
SNCF00328;Argentière;SNCF;45.9819438;6.9264844;5;7;102;0;0
SNCF00333;Chamonix-Mont-Blanc;SNCF;45.92277;6.87363;6;1;102;0;0
SNCF00338;Viaduc sainte-Marie;SNCF;45.897096;6.7850134;7;2;102;0;0
SNCF00341;Chedde;SNCF;45.9263464;6.7197662;0;6;102;0;0
SNCF00344;Sallanches - Combloux - Megève;SNCF;45.935702;6.636431;1;7;102;0;0
SNCF00346;Cluses;SNCF;46.061447;6.582663;2;0;102;0;0
SNCF00347;Marignier;SNCF;46.0887815;6.507826;3;4;102;0;0
SNCF00349;Saint-Pierre-en-Faucigny;SNCF;46.0593442;6.3757533;4;7;102;0;0
SNCF00359;Évian-les-Bains;SNCF;46.397915;6.577457;5;4;102;0;0
SNCF00361;Perrignier;SNCF;46.303259;6.4249208;6;0;102;0;0
SNCF00369;Tenay - Hauteville;SNCF;45.9222096;5.5016101;7;1;102;0;0
SNCF00370;Saint-Rambert-en-Bugey;SNCF;45.9473397;5.438622;0;6;102;0;0
SNCF00376;Nurieux;SNCF;46.1842195;5.5327486;2;1;102;0;0
SNCF00380;Ceyzériat;SNCF;46.1834877;5.3258417;3;4;102;0;0
SNCF00381;Ambronay - Priay;SNCF;46.0115941;5.3382579;4;7;102;0;0
SNCF00384;Bourg-en-Bresse;SNCF;46.200351;5.215063;5;4;102;0;0
SNCF00390;Landry;SNCF;45.5741713;6.7338182;6;4;102;0;0
SNCF00391;Aime - La Plagne;SNCF;45.554400;6.648646;7;2;102;0;0
SNCF00394;Notre-Dame de Briançon;SNCF;45.5393185;6.4687785;0;6;102;0;0
SNCF00403;Lépin-le-Lac - La Bauche;SNCF;45.541519;5.7649834;1;4;102;0;0
SNCF00404;Aiguebelette-le-Lac;SNCF;45.5363048;5.8131468;2;5;102;0;0
SNCF00413;Chindrieux;SNCF;45.8034376;5.8468876;3;5;102;0;0
SNCF00419;Chamalières-sur-Loire;SNCF;45.2047385;3.9909202;4;1;102;0;0
SNCF00420;Vorey;SNCF;45.1829093;3.911422;5;2;102;0;0
