idExterne;nom;exploitant;latitude;longitude;couleur;couleurEvolution;vCreation;vMaj;vSuppression
SNCF02318;Besançon Franche-Comté TGV;SNCF;47.307361058531725;5.953195095062256;3;5;102;0;0
SNCF01432;Nevers le Banlay;SNCF;47.0068974;3.1636746;7;2;102;0;0
SNCF00498;Romanèche-Thorins;SNCF;46.1763913;4.7421014;4;5;102;0;0
SNCF00504;Fleurville - Pont-de-Vaux;SNCF;46.4509279;4.8840722;5;6;102;0;0
SNCF00505;Tournus;SNCF;46.566680;4.906647;6;5;102;0;0
SNCF00506;Sennecey-le-Grand;SNCF;46.6406445;4.874316;7;0;102;0;0
SNCF02746;Aillevillers;SNCF;47.9138876;6.3372988;1;5;102;0;0
SNCF02747;Luxeuil-les-Bains;SNCF;47.8148606;6.3726593;2;3;102;0;0
SNCF02748;Champagney;SNCF;47.7031399;6.7012773;3;5;102;0;0
SNCF02749;Ronchamp;SNCF;47.6990308;6.6232791;4;7;102;0;0
SNCF02750;Lure;SNCF;47.683269;6.4925787;5;1;102;0;0
SNCF02753;L'Isle-sur-le-Doubs;SNCF;47.4473777;6.5812614;6;1;102;0;0
SNCF02759;Petit-Croix;SNCF;47.6101045;6.9947414;0;3;102;0;0
SNCF02762;Bas Évette;SNCF;47.6810089;6.8068494;1;3;102;0;0
SNCF00503;Senozan;SNCF;46.3921451;4.8710626;5;4;102;0;0
SNCF00600;Gilley;SNCF;47.0500626;6.4925676;6;4;102;0;0
SNCF00607;Baume-les-Dames;SNCF;47.353937;6.359603;7;6;102;0;0
SNCF00611;Roche-lez-Beaupré;SNCF;47.2762881;6.1109651;0;1;102;0;0
SNCF00614;Saint-Vit;SNCF;47.183507;5.809057;1;2;102;0;0
SNCF00619;Lons-le-Saunier;SNCF;46.668580;5.551108;2;1;102;0;0
SNCF00631;Morez;SNCF;46.5262166;6.023578;3;0;102;0;0
SNCF00642;Is-sur-Tille;SNCF;47.520454;5.129481;4;0;102;0;0
SNCF00650;Saint-Jean-de-Losne;SNCF;47.0997302;5.2441226;5;0;102;0;0
SNCF00675;Mâlain;SNCF;47.3270025;4.8105362;6;4;102;0;0
SNCF00676;Dijon;SNCF;47.323370;5.027208;7;4;102;0;0
SNCF00688;Châtel-Censoir;SNCF;47.5377695;3.6350455;0;6;102;0;0
SNCF00695;Decize;SNCF;46.837362;3.467274;1;7;102;0;0
SNCF00712;La Charité-sur-Loire;SNCF;47.179914;3.023883;3;7;102;0;0
SNCF00716;Cosne-sur-Loire;SNCF;47.413996;2.931981;4;3;102;0;0
SNCF00731;Autun;SNCF;46.9548746;4.2929079;6;3;102;0;0
SNCF00744;Mesvres;SNCF;46.862799;4.2449659;7;6;102;0;0
SNCF00769;Voutenay;SNCF;47.5613477;3.7803454;2;5;102;0;0
SNCF00776;Champs - Saint-Bris;SNCF;47.7388182;3.6034756;3;6;102;0;0
SNCF00780;Chemilly - Appoigny;SNCF;47.8972366;3.5543936;4;7;102;0;0
411473;Saint-Julien-du-Sault;SNCF;48.0266866323;3.30256453785;7;4;13;104;0
SNCF00602;Le Valdahon;SNCF;47.149750;6.342275;7;2;102;0;0
SNCF00608;Laissey;SNCF;47.298723;6.23304;0;7;102;0;0
SNCF00612;Orchamps;SNCF;47.1500962;5.659147;1;4;102;0;0
SNCF00616;Franois;SNCF;47.2273609;5.937498;2;1;102;0;0
SNCF00626;Torpes - Boussières;SNCF;47.1637546;5.8887804;3;6;102;0;0
SNCF00634;La Chaumusse - Fort-du-Plasne;SNCF;46.6048753;5.9613342;4;1;102;0;0
SNCF00639;Frasne;SNCF;46.857596;6.157767;5;3;102;0;0
SNCF00643;Gemeaux;SNCF;47.478542;5.1293074;6;5;102;0;0
SNCF00654;Santenay les Bains;SNCF;46.9106752;4.7017523;7;1;102;0;0
SNCF00658;Beaune;SNCF;47.023053;4.848379;0;6;102;0;0
SNCF00667;Genlis;SNCF;47.244579;5.223406;1;7;102;0;0
SNCF00677;Dijon Porte Neuve;SNCF;47.322806;5.054872;2;3;102;0;0
SNCF00679;Longecourt;SNCF;47.1937936;5.1346952;3;5;102;0;0
SNCF00691;Flez-Cuzy - Tannay;SNCF;47.3630583;3.6149926;4;6;102;0;0
SNCF00707;Saint-Pierre-le-Moûtier;SNCF;46.7932373;3.1117427;6;5;102;0;0
SNCF00709;Fourchambault;SNCF;47.0189684;3.0873673;7;4;102;0;0
SNCF00714;Pouilly-sur-Loire;SNCF;47.2821696;2.9660634;0;1;102;0;0
SNCF00721;Chauffailles;SNCF;46.2074552;4.3454278;1;5;102;0;0
SNCF00728;Montceau-les-Mines;SNCF;46.6706636;4.3610264;2;4;102;0;0
SNCF00740;Montchanin;SNCF;46.7592649;4.4814867;3;5;102;0;0
SNCF00742;Saint-Symphorien-de-Marmagne;SNCF;46.8442215;4.3377542;4;0;102;0;0
SNCF00743;Broye;SNCF;46.8619444;4.2960996;5;2;102;0;0
SNCF00748;Les Perrières;SNCF;47.0055213;3.1467144;6;3;102;0;0
SNCF00751;La Marche;SNCF;47.1396975;3.0395468;7;0;102;0;0
SNCF00774;Cravant - Bazarnes;SNCF;47.6785079;3.6811741;1;3;102;0;0
411479;Laroche - Migennes;SNCF;47.961118247;3.51433646502;7;2;13;104;0
411461;Champigny;SNCF;48.3240522735;3.13113953462;3;6;13;104;0
SNCF03094;Joncherey;SNCF;47.52620;6.99880;2;3;102;0;0
SNCF02319;Belfort - Montbéliard TGV;SNCF;47.585937;6.897687;4;5;102;0;0
SNCF01998;Morre;SNCF;47.2259417;6.0673029;6;3;102;0;0
SNCF02107;Champagnole Paul-Émile Victor;SNCF;46.742483;5.9198128;5;2;102;0;0
SNCF02751;Vesoul;SNCF;47.6177734;6.151926;7;5;102;0;0
SNCF02754;Colombier-Fontaine;SNCF;47.4554849;6.6890071;0;2;102;0;0
SNCF02756;Montbéliard;SNCF;47.5105086;6.8013763;1;4;102;0;0
SNCF02752;Clerval;SNCF;47.3966577;6.4920574;5;4;102;0;0
SNCF02755;Voujeaucourt;SNCF;47.4789729;6.7699667;6;2;102;0;0
SNCF02757;Héricourt;SNCF;47.5729701;6.7691977;7;0;102;0;0
SNCF02763;Belfort;SNCF;47.633284;6.853956;0;7;102;0;0
SNCF03093;Grandvillars;SNCF;47.53763;6.97850;1;5;102;0;0
SNCF00373;Molinges;SNCF;46.3570706;5.7682135;1;4;102;0;0
SNCF00499;Pontanevaux;SNCF;46.2130321;4.7728891;3;6;102;0;0
SNCF00507;Chalon-sur-Saône;SNCF;46.781612;4.843454;4;7;102;0;0
SNCF03091;Danjoutin;SNCF;47.61750;6.86919;7;0;102;0;0
SNCF03092;Delle;SNCF;47.50593;7.00962;0;5;102;0;0
SNCF00372;Saint-Claude;SNCF;46.3899539;5.8603471;5;1;102;0;0
SNCF00501;Mâcon Loché TGV;SNCF;46.282884;4.778876;2;1;102;0;0
SNCF00502;Mâcon;SNCF;46.302572;4.824887;3;0;102;0;0
SNCF00595;Montbarrey;SNCF;47.0359922;5.6366081;6;0;102;0;0
SNCF00601;Avoudrey;SNCF;47.1298359;6.434573;7;2;102;0;0
SNCF00604;L'Hôpital-du-Grosbois;SNCF;47.1691016;6.2130861;0;5;102;0;0
SNCF00609;Deluz;SNCF;47.2925132;6.199733;1;6;102;0;0
SNCF00615;Dannemarie - Velesmes;SNCF;47.2038599;5.8738348;2;7;102;0;0
SNCF00617;Saint-Amour;SNCF;46.4338244;5.3341853;3;6;102;0;0
SNCF00620;Domblans - Voiteur;SNCF;46.7627809;5.5977462;4;6;102;0;0
SNCF00629;Besançon Mouillère;SNCF;47.240372;6.033910;5;7;102;0;0
SNCF00636;Champagnole;SNCF;46.7492981;5.9100314;6;1;102;0;0
SNCF00647;Mervans;SNCF;46.7988928;5.1794099;7;6;102;0;0
SNCF00651;Brazey-en-Plaine;SNCF;47.1314549;5.2121276;0;3;102;0;0
SNCF00653;Saulon;SNCF;47.224035;5.1045991;1;7;102;0;0
