idGare;idLigne;ordre;PDLFond;PDLPoint;vCreation;vMaj;vSuppression
SNCF02318;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF01432;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00498;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00504;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00505;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00506;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF02746;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF02747;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF02748;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF02749;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF02750;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF02753;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF02759;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF02762;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00503;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00600;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00607;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00611;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00614;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00619;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00631;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00642;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00650;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00675;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00676;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00688;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00695;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00712;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00716;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00731;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00744;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00769;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00776;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00780;SNCF_BourgogneFC_U;0;0;0;106;0;0
411473;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00602;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00608;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00612;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00616;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00626;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00634;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00639;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00643;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00654;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00658;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00667;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00677;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00679;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00691;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00707;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00709;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00714;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00721;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00728;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00740;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00742;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00743;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00748;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00751;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00774;SNCF_BourgogneFC_U;0;0;0;106;0;0
411479;SNCF_BourgogneFC_U;0;0;0;106;0;0
411461;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF03094;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF02319;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF01998;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF02107;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF02751;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF02754;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF02756;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF02752;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF02755;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF02757;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF02763;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF03093;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00373;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00499;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00507;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF03091;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF03092;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00372;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00501;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00502;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00595;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00601;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00604;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00609;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00615;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00617;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00620;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00629;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00636;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00647;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00651;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00653;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00661;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00596;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00598;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00599;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00605;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00606;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00613;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00618;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00621;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00622;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00623;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00624;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00625;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00633;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00637;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00646;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00655;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00656;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00657;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00668;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00669;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00672;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00678;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00683;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00685;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00689;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00690;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00693;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00694;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00696;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00706;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00710;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00711;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00718;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00720;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00726;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00727;SNCF_BourgogneFC_U;0;0;0;106;0;0
SNCF00738;SNCF_BourgogneFC_U;0;0;0;106;0;0
