idExterne;nom;exploitant;latitude;longitude;couleur;couleurEvolution;vCreation;vMaj;vSuppression
SNCF01647;La Hisse;SNCF;48.4961248;-2.0036608;2;5;102;0;0
SNCF01651;Saint-Malo;SNCF;48.646859;-2.004158;3;5;102;0;0
SNCF01655;Bonnemain;SNCF;48.4764049;-1.7654125;4;5;102;0;0
SNCF01657;Dingé;SNCF;48.3507382;-1.6859729;5;2;102;0;0
SNCF01675;Gestel;SNCF;47.8029905;-3.4431341;0;6;102;0;0
SNCF01681;Landaul - Mendon;SNCF;47.7359877;-3.0860172;1;4;102;0;0
SNCF01687;Morlaix;SNCF;48.577970;-3.832514;2;1;102;0;0
SNCF01692;La Roche-Maurice;SNCF;48.4740885;-4.2050964;3;6;102;0;0
SNCF01711;Les Mais;SNCF;48.4262577;-3.3828609;4;7;102;0;0
SNCF01712;Coat Guégan;SNCF;48.4803156;-3.2738023;5;0;102;0;0
SNCF01714;Le Pénity;SNCF;48.3646275;-3.4763815;6;7;102;0;0
SNCF01717;Pont-Melvez;SNCF;48.4702228;-3.3114444;7;2;102;0;0
SNCF01720;Plancoët;SNCF;48.5216785;-2.2289207;0;3;102;0;0
SNCF01737;Saint-Brieuc;SNCF;48.507580;-2.765000;1;5;102;0;0
SNCF01749;Retiers;SNCF;47.9132599;-1.3898439;2;1;102;0;0
SNCF01761;Guichen - Bourg-des-Comptes;SNCF;47.9350963;-1.7601845;4;7;102;0;0
SNCF01767;L'Hermitage - Mordelles;SNCF;48.123142;-1.8192987;5;4;102;0;0
SNCF01645;Corseul - Languenan;SNCF;48.4960574;-2.1414331;4;7;102;0;0
SNCF01649;Miniac;SNCF;48.5315134;-1.914787;5;3;102;0;0
SNCF01668;Quiberon;SNCF;47.4852978;-3.1181869;6;1;102;0;0
SNCF01669;Saint-Pierre-Quiberon;SNCF;47.5210574;-3.138905;7;4;102;0;0
SNCF01671;Penthièvre;SNCF;47.5580254;-3.1330754;0;2;102;0;0
SNCF01673;Belz - Ploemel;SNCF;47.652466;-3.0721919;1;7;102;0;0
SNCF01682;Auray;SNCF;47.68022;-2.999995;2;7;102;0;0
SNCF01690;Guimiliau;SNCF;48.4852675;-3.9996163;3;4;102;0;0
SNCF01691;Landivisiau;SNCF;48.496002;-4.082181;4;7;102;0;0
SNCF01693;Landerneau;SNCF;48.453572;-4.256528;5;7;102;0;0
SNCF01700;Pont-de-Buis;SNCF;48.2544024;-4.0861227;6;2;102;0;0
SNCF01707;Pontrieux Halte;SNCF;48.6980361;-3.1644959;7;6;102;0;0
SNCF01713;Carnoët - Locarn;SNCF;48.3405242;-3.4908822;0;3;102;0;0
