idGare;idLigne;ordre;PDLFond;PDLPoint;vCreation;vMaj;vSuppression
SNCF01647;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01651;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01655;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01657;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01675;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01681;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01687;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01692;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01711;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01712;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01714;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01717;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01720;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01737;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01749;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01761;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01767;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01645;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01649;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01668;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01669;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01671;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01673;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01682;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01690;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01691;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01693;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01700;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01707;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01713;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01726;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01741;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01742;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01743;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01750;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01754;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01758;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01760;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01763;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01764;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01766;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01772;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF02197;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01650;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01652;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01660;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01665;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01674;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01676;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01678;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01685;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01688;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01697;SNCF_Bretagne_U;0;0;0;106;0;0
SNCF01702;SNCF_Bretagne_U;0;0;0;106;0;0
