idExterne;nom;exploitant;latitude;longitude;couleur;couleurEvolution;vCreation;vMaj;vSuppression
SNCF01086;Neuvy-Pailloux;SNCF;46.883564;1.8642473;5;3;102;0;0
SNCF01087;Issoudun;SNCF;46.948763;1.985834;6;1;102;0;0
SNCF01317;La Gauterie;SNCF;47.1398181;1.4915354;3;6;102;0;0
SNCF01319;Saint-Amand-Montrond - Orval;SNCF;46.7265409;2.4859441;4;0;102;0;0
SNCF01324;Varennes-sur-Fouzon;SNCF;47.2144095;1.6145221;5;0;102;0;0
SNCF01333;Selles-Saint-Denis;SNCF;47.3883857;1.9222038;6;0;102;0;0
SNCF01364;Sainte-Maure - Noyant;SNCF;47.1112361;0.5769439;4;1;102;0;0
SNCF01372;Monnaie;SNCF;47.4987491;0.7932851;6;5;102;0;0
SNCF01378;Cloyes;SNCF;47.9921032;1.2433542;7;5;102;0;0
SNCF01379;Chenonceaux;SNCF;47.330554;1.0661;0;3;102;0;0
SNCF01381;Saint-Martin-le-Beau;SNCF;47.3552058;0.9058418;1;5;102;0;0
SNCF01383;Véretz - Montlouis;SNCF;47.3715058;0.8199079;2;4;102;0;0
SNCF01392;Suèvres;SNCF;47.6802248;1.4540981;3;2;102;0;0
SNCF01396;Meung-sur-Loire;SNCF;47.829926;1.691928;4;3;102;0;0
SNCF01398;Chaingy Fourneaux Plage;SNCF;47.8770705;1.782422;5;4;102;0;0
SNCF01400;Joué-lès-Tours;SNCF;47.3541741;0.6675586;6;4;102;0;0
SNCF01404;Langeais;SNCF;47.324114;0.410557;7;2;102;0;0
SNCF01405;Saint-Patrice;SNCF;47.2855394;0.3096916;0;5;102;0;0
SNCF01406;La Chapelle-sur-Loire;SNCF;47.251227;0.2184812;1;6;102;0;0
SNCF01410;Azay-le-Rideau;SNCF;47.2663383;0.4475388;2;0;102;0;0
SNCF01411;Druye;SNCF;47.3070191;0.5354805;3;0;102;0;0
SNCF01416;La Membrolle-sur-Choisille;SNCF;47.4313179;0.6407872;4;6;102;0;0
SNCF01424;Montbazon;SNCF;47.2917191;0.7214769;5;6;102;0;0
SNCF01425;Montlouis;SNCF;47.3915307;0.8173987;6;7;102;0;0
SNCF01427;Vendôme - Villiers-sur-Loir;SNCF;47.821937;1.021143;7;2;102;0;0
411446;Bonneval;SNCF;48.1864372096;1.38624502094;6;1;13;104;0
SNCF01484;Saint-Cyr-en-Val la Source;SNCF;47.8192;1.9476045;1;3;102;0;0
SNCF01489;Artenay;SNCF;48.0808761;1.8833705;2;1;102;0;0
SNCF01082;Argenton-sur-Creuse;SNCF;46.592248;1.518305;3;6;102;0;0
SNCF01084;Lothiers;SNCF;46.6946801;1.5629763;4;7;102;0;0
SNCF01090;Châteauroux;SNCF;46.809737;1.699536;5;0;102;0;0
SNCF01313;Bengy;SNCF;47.0004698;2.7492361;0;5;102;0;0
SNCF01320;Bigny;SNCF;46.8015763;2.368638;1;6;102;0;0
SNCF01323;Saint-Florent-sur-Cher;SNCF;46.9921865;2.2525668;2;0;102;0;0
SNCF01326;Valençay;SNCF;47.163172;1.5584442;3;6;102;0;0
SNCF01332;Loreux;SNCF;47.3902731;1.8345356;4;2;102;0;0
SNCF01334;Marmagne;SNCF;47.1001505;2.2819971;5;0;102;0;0
SNCF01335;Mehun-sur-Yèvre;SNCF;47.1394406;2.2071342;6;5;102;0;0
SNCF01337;Vierzon Forges;SNCF;47.2099931;2.0994545;7;5;102;0;0
SNCF01340;Vierzon;SNCF;47.226497;2.059822;0;7;102;0;0
SNCF01362;Port-de-Piles;SNCF;47.0102599;0.5989179;5;2;102;0;0
SNCF01366;Monts;SNCF;47.28180;0.65448;6;3;102;0;0
SNCF01368;Saint-Aignan - Noyers;SNCF;47.2869126;1.3838369;7;4;102;0;0
SNCF01373;Château-Renault;SNCF;47.5877961;0.9015238;0;7;102;0;0
SNCF01375;Vendôme;SNCF;47.8021498;1.0678728;1;0;102;0;0
SNCF01384;Noizay;SNCF;47.4096869;0.8959456;2;0;102;0;0
SNCF01387;Veuves - Monteaux;SNCF;47.4756722;1.1238749;3;4;102;0;0
SNCF01390;La Chaussée-Saint-Victor;SNCF;47.6127952;1.3537834;4;7;102;0;0
SNCF01391;Menars;SNCF;47.6450036;1.405617;5;3;102;0;0
SNCF01395;Baule;SNCF;47.8117535;1.668127;6;3;102;0;0
SNCF01402;Savonnières;SNCF;47.3605797;0.5441817;7;2;102;0;0
SNCF01412;Ballan;SNCF;47.3369919;0.6188975;0;6;102;0;0
SNCF01414;Neuillé-Pont-Pierre;SNCF;47.5580135;0.5649155;1;4;102;0;0
SNCF01420;Courcay - Tauxigny;SNCF;47.2377076;0.867867;2;4;102;0;0
SNCF01421;Cormery;SNCF;47.262540;0.833953;3;2;102;0;0
SNCF01422;Esvres sur Indre;SNCF;47.2841016;0.7816519;4;7;102;0;0
SNCF01423;Veigné;SNCF;47.2915255;0.7348815;5;3;102;0;0
SNCF01481;Nouan-le-Fuzelier;SNCF;47.5337788;2.0330957;0;1;102;0;0
