idGare;idLigne;ordre;PDLFond;PDLPoint;vCreation;vMaj;vSuppression
SNCF01086;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01087;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01317;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01319;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01324;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01333;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01364;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01372;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01378;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01379;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01381;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01383;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01392;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01396;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01398;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01400;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01404;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01405;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01406;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01410;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01411;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01416;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01424;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01425;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01427;SNCF_CentreVdL_U;0;0;0;106;0;0
411446;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01484;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01489;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01082;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01084;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01090;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01313;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01320;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01323;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01326;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01332;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01334;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01335;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01337;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01340;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01362;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01366;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01368;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01373;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01375;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01384;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01387;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01390;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01391;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01395;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01402;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01412;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01414;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01420;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01421;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01422;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01423;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01481;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01491;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01492;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF03075;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01918;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01924;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01931;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01932;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF00717;SNCF_CentreVdL_U;0;0;0;106;0;0
411485;SNCF_CentreVdL_U;0;0;0;0;0;125
411485;CentreVdL_RERIdF;0;0;0;125;0;0
SNCF00756;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01919;SNCF_CentreVdL_U;0;0;0;106;0;0
411511;SNCF_CentreVdL_U;0;0;0;106;0;0
411488;SNCF_CentreVdL_U;0;0;0;106;0;0
411488;CentreVdL_RERIdF;0;0;0;125;0;0
SNCF01083;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01085;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01311;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01314;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01315;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01327;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01329;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01330;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01338;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01339;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01369;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01377;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01382;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01389;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01399;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01401;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01419;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01426;SNCF_CentreVdL_U;0;0;0;106;0;0
411443;SNCF_CentreVdL_U;0;0;0;106;0;0
59049;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01476;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01478;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01480;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01483;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01487;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01488;SNCF_CentreVdL_U;0;0;0;106;0;0
