idExterne;nom;exploitant;latitude;longitude;couleur;couleurEvolution;vCreation;vMaj;vSuppression
SNCF02567;Oermingen;SNCF;49.0003724;7.1317322;7;0;102;0;0
SNCF02569;Schopperten;SNCF;48.9456499;7.055779;0;3;102;0;0
SNCF02573;Igney - Avricourt;SNCF;48.6467012;6.8053062;1;2;102;0;0
SNCF02583;Russ Hersbach;SNCF;48.4982211;7.2519246;2;7;102;0;0
SNCF02589;Gresswiller;SNCF;48.53334;7.42468;3;6;102;0;0
SNCF02593;Duttlenheim;SNCF;48.5453531;7.5661529;4;7;102;0;0
SNCF02599;Rosheim;SNCF;48.50525;7.49093;5;4;102;0;0
SNCF02611;Benfeld;SNCF;48.3735367;7.584125;6;5;102;0;0
SNCF01495;Mulhouse Musées;SNCF;47.750185;7.2984302;3;2;102;0;0
SNCF02616;Wingen-sur-Moder;SNCF;48.9200646;7.3811114;0;3;102;0;0
SNCF02619;Kurtzenhouse;SNCF;48.741862;7.8130449;1;5;102;0;0
SNCF02620;Bischwiller;SNCF;48.765753;7.8516536;2;5;102;0;0
SNCF02623;Riedseltz;SNCF;48.991063;7.962988;3;4;102;0;0
SNCF02642;Roppenheim;SNCF;48.8510962;8.0623108;4;6;102;0;0
SNCF02647;Herrlisheim;SNCF;48.7279056;7.9102594;5;0;102;0;0
SNCF02655;Graffenstaden;SNCF;48.5324375;7.6897861;6;3;102;0;0
SNCF02656;Saverne;SNCF;48.7444606;7.3620802;7;6;102;0;0
SNCF02662;Hochfelden;SNCF;48.7554199;7.572355;0;2;102;0;0
SNCF02663;Schwindratzheim;SNCF;48.7536468;7.6005468;1;0;102;0;0
SNCF02665;Brumath;SNCF;48.7331082;7.7004016;2;1;102;0;0
SNCF02668;Mundolsheim;SNCF;48.6447732;7.721389;3;6;102;0;0
SNCF02675;Bitche;SNCF;49.04838;7.4321;4;2;102;0;0
SNCF02678;Petit-Réderching;SNCF;49.0493205;7.2997305;5;0;102;0;0
SNCF02690;Farschviller;SNCF;49.0878773;6.9080815;6;2;102;0;0
SNCF02697;Béning;SNCF;49.1379541;6.8282982;7;5;102;0;0
