idGare;idLigne;ordre;PDLFond;PDLPoint;vCreation;vMaj;vSuppression
SNCF02567;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02569;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02573;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02583;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02589;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02593;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02599;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02611;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF01495;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02616;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02619;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02620;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02623;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02642;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02647;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02655;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02656;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02662;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02663;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02665;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02668;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02675;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02678;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02690;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02697;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02700;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02702;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02717;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02721;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02728;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02732;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02735;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02737;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02740;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02758;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02768;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02769;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02771;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02777;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02781;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02783;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02786;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02788;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02792;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02796;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02800;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02802;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02814;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02819;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02827;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02828;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02850;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02858;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02861;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02866;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02882;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02886;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02899;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02904;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02911;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02913;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02922;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02923;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02924;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02925;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02937;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02950;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02952;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02954;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02960;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02965;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02968;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02973;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02983;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02986;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02991;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02992;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF02998;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF03005;SNCF_GrandEst_U;0;0;0;106;0;0
SNCF01886;SNCF_GrandEst_U;0;0;0;106;0;0
