idExterne;nom;exploitant;latitude;longitude;couleur;couleurEvolution;vCreation;vMaj;vSuppression
SNCF02109;Cattenières;SNCF;50.1280738;3.3337877;1;4;102;0;0
SNCF02112;Maurois;SNCF;50.0674506;3.4562554;2;1;102;0;0
SNCF02119;Sin-le-Noble;SNCF;50.356612;3.112777;3;7;102;0;0
SNCF02129;Loison-sous-Lens;SNCF;50.4401891;2.8592403;4;7;102;0;0
SNCF02134;Hénin-Beaumont;SNCF;50.41706;2.95211;5;3;102;0;0
SNCF02135;Billy-Montigny;SNCF;50.41556;2.91206;6;4;102;0;0
SNCF02139;Brebières Sud;SNCF;50.33624;3.0142;7;4;102;0;0
SNCF02140;Liévin;SNCF;50.434139;2.7716316;0;6;102;0;0
SNCF02151;Beuvrages;SNCF;50.3894892;3.5061396;1;2;102;0;0
SNCF02154;Bailleul-Sir-Berthoult;SNCF;50.3351257;2.8409809;2;0;102;0;0
SNCF02155;Avion;SNCF;50.40723;2.83365;3;0;102;0;0
SNCF02170;Isbergues;SNCF;50.61399;2.46277;4;5;102;0;0
SNCF02172;Savy-Berlette;SNCF;50.3538756;2.5577316;5;2;102;0;0
SNCF02173;Aubigny-en-Artois;SNCF;50.35297;2.5928045;6;7;102;0;0
SNCF02177;Fouquereuil;SNCF;50.5255091;2.6074449;7;2;102;0;0
SNCF02181;Vitry-en-Artois;SNCF;50.3276092;2.9820833;0;7;102;0;0
SNCF02188;Miraumont;SNCF;50.0958521;2.7344755;1;2;102;0;0
SNCF02210;Boulogne;SNCF;50.71570;1.60964;5;0;102;0;0
SNCF02215;Chépy - Valines;SNCF;50.0682219;1.6358275;6;5;102;0;0
SNCF02219;Abbeville;SNCF;50.10221;1.82449;7;0;102;0;0
SNCF02224;Anvin;SNCF;50.446845;2.25494;0;5;102;0;0
SNCF02230;Brimeux;SNCF;50.4470409;1.8313826;1;0;102;0;0
SNCF02234;Hesdigneul;SNCF;50.6609475;1.6669967;2;4;102;0;0
SNCF02255;Buire-sur-l'Ancre;SNCF;49.9647735;2.5981885;3;4;102;0;0
SNCF02256;Heilly;SNCF;49.9435191;2.5396593;4;2;102;0;0
SNCF02258;Daours;SNCF;49.899267;2.4590533;5;3;102;0;0
SNCF02261;Fouilloy;SNCF;49.7366368;1.8260404;6;1;102;0;0
SNCF02266;Abancourt;SNCF;49.6852237;1.7743058;1;2;102;0;0
SNCF02274;Laboissière - Le Déluge;SNCF;49.2885368;2.1361486;2;1;102;0;0
SNCF02275;Méru;SNCF;49.23233;2.13254;3;7;102;0;0
411317;Beauvais;SNCF;49.4262015914;2.08850697394;1;4;13;104;0
SNCF02284;Ham;SNCF;49.73985;3.07052;5;0;102;0;0
SNCF02285;Nesle;SNCF;49.7639147;2.9089882;6;3;102;0;0
SNCF02300;Saint-Remy-en-l'Eau;SNCF;49.4681726;2.4258609;7;2;102;0;0
SNCF02303;Breteuil;SNCF;49.626389;2.3845164;0;3;102;0;0
SNCF02310;Picquigny;SNCF;49.9461557;2.1432765;1;2;102;0;0
SNCF02313;Albert;SNCF;50.00546;2.64453;2;0;102;0;0
SNCF02334;Versigny;SNCF;49.6574494;3.4335692;4;7;102;0;0
SNCF02351;Berlaimont;SNCF;50.1980095;3.8105316;5;7;102;0;0
SNCF02352;Leval;SNCF;50.1845311;3.8366811;6;3;102;0;0
SNCF02355;Avesnelles;SNCF;50.1185513;3.9485876;7;1;102;0;0
SNCF02361;Sous le Bois;SNCF;50.2655833;3.93961;0;4;102;0;0
SNCF02363;Le Cateau;SNCF;50.0914606;3.5400454;1;2;102;0;0
SNCF02365;Anor;SNCF;49.984892;4.0929803;2;6;102;0;0
SNCF02366;Fourmies;SNCF;50.01541;4.05357;3;6;102;0;0
SNCF02367;Recquignies;SNCF;50.2840466;4.0445029;4;7;102;0;0
SNCF02382;Lezennes;SNCF;50.6205699;3.0986481;5;0;102;0;0
SNCF02383;Baisieux;SNCF;50.61845;3.2347796;6;1;102;0;0
SNCF02388;Nomain Ouvignies;SNCF;50.5060755;3.2308175;7;2;102;0;0
SNCF02393;Croix - Wasquehal;SNCF;50.6785574;3.1380315;0;1;102;0;0
SNCF02398;Landas;SNCF;50.4687775;3.290568;1;7;102;0;0
SNCF02407;Wavrin;SNCF;50.57443;2.93672;2;0;102;0;0
SNCF02410;Pérenchies;SNCF;50.66697;2.97729;3;5;102;0;0
SNCF02420;Loos lez Lille;SNCF;50.6128165;3.0170581;4;2;102;0;0
SNCF02431;Watten - Éperlecques;SNCF;50.8254043;2.2079599;5;1;102;0;0
SNCF02433;Pont d'Ardres;SNCF;50.8920781;1.9712144;6;3;102;0;0
SNCF02444;Croix l'Allumette;SNCF;50.6872009;3.1516591;7;0;102;0;0
SNCF02484;Villers-Saint-Paul;SNCF;49.2825762;2.4899067;1;3;102;0;0
SNCF02488;Pont-Sainte-Maxence;SNCF;49.30974;2.60289;2;5;102;0;0
SNCF02526;Jaux;SNCF;49.3868029;2.777316;3;7;102;0;0
SNCF02527;Margival;SNCF;49.4393862;3.4027491;4;7;102;0;0
SNCF02532;Villers-Cotterêts;SNCF;49.25026;3.09370;5;6;102;0;0
411396;Crépy-en-Valois;SNCF;49.23101806;2.88736670483;0;7;13;102;0
SNCF02878;Saint-Erme;SNCF;49.5269865;3.8576502;6;0;102;0;0
SNCF02896;Mont-Notre-Dame;SNCF;49.2967797;3.5764545;1;0;102;0;0
SNCF02897;Bazoches;SNCF;49.30518;3.6163588;2;5;102;0;0
411375;Mareuil-sur-Ourcq;SNCF;49.1354741446;3.07562656432;1;2;13;102;0
411384;Nogent-l'Artaud - Charly;SNCF;48.9692787825;3.32188681738;6;4;13;102;0
SNCF03074;Lille CHR;SNCF;50.61432;3.03432;4;5;102;0;0
411338;Trie-Château;SNCF;49.2825897349;1.81808238251;4;0;13;102;0
411342;Liancourt-Saint-Pierre;SNCF;49.2208070506;1.90529906189;3;1;13;102;0
411348;Lavilletertre;SNCF;49.202693603;1.92054770607;7;5;13;102;0
SNCF02108;Wambaix;SNCF;50.1338767;3.3114074;7;6;102;0;0
SNCF02110;Caudry;SNCF;50.11146;3.40983;0;6;102;0;0
SNCF02115;Aubigny-au-Bac;SNCF;50.2685315;3.158706;1;7;102;0;0
SNCF02118;Cantin;SNCF;50.3124545;3.121943;2;0;102;0;0
SNCF02128;Ostricourt;SNCF;50.44542;3.03244;3;5;102;0;0
SNCF02158;Calonne-Ricouart;SNCF;50.4827036;2.4812098;4;7;102;0;0
SNCF02163;La Bassée;SNCF;50.52799;2.80482;5;6;102;0;0
SNCF02164;Cuinchy;SNCF;50.5219693;2.7473533;6;5;102;0;0
SNCF02171;Ham-en-Artois;SNCF;50.5900401;2.4657764;7;4;102;0;0
SNCF02176;Frévin-Capelle;SNCF;50.3473177;2.6338262;0;6;102;0;0
SNCF02178;Maroeuil;SNCF;50.322603;2.6983279;1;4;102;0;0
SNCF02179;Noeux;SNCF;50.48297;2.67393;2;7;102;0;0
SNCF02184;Roeux;SNCF;50.3034404;2.8950172;3;0;102;0;0
SNCF02187;Achiet;SNCF;50.1317525;2.780168;4;2;102;0;0
SNCF02221;Caffiers;SNCF;50.8500679;1.8120345;7;2;102;0;0
SNCF02227;Hesdin;SNCF;50.378286;2.0351881;0;6;102;0;0
SNCF02238;Rang-du-Fliers - Verton - Berck;SNCF;50.41579;1.64805;1;0;102;0;0
SNCF02239;Boulogne Tintelleries;SNCF;50.72729;1.60904;2;7;102;0;0
SNCF02244;Pihen;SNCF;50.8727855;1.7845632;3;0;102;0;0
SNCF02245;Aubin-Saint-Vaast;SNCF;50.3946137;1.9705382;4;5;102;0;0
SNCF02247;Villers sur Thère;SNCF;49.414583;2.1355274;5;6;102;0;0
SNCF02250;Wacquemoulin;SNCF;49.5032575;2.6116581;6;2;102;0;0
SNCF02262;Formerie;SNCF;49.6542178;1.7229081;7;2;102;0;0
SNCF02269;Marseille-en-Beauvaisis;SNCF;49.5709066;1.9546349;0;7;102;0;0
SNCF02270;Saint-Omer-en-Chaussée;SNCF;49.5306261;1.9970829;1;7;102;0;0
SNCF02277;Villers-Saint-Sépulcre;SNCF;49.3680779;2.2204386;2;0;102;0;0
SNCF02282;Cramoisy;SNCF;49.256625;2.40489;3;6;102;0;0
SNCF02286;Chaulnes;SNCF;49.8076201;2.8011421;4;7;102;0;0
SNCF02291;Poix-de-Picardie;SNCF;49.7778561;1.9897767;5;0;102;0;0
SNCF02292;Estrées-Saint-Denis;SNCF;49.4382161;2.642402;6;1;102;0;0
SNCF02295;Montdidier;SNCF;49.64147;2.56300;7;1;102;0;0
SNCF02302;Gannes;SNCF;49.5723315;2.4370074;0;6;102;0;0
SNCF02307;Pont-Remy;SNCF;50.0472341;1.8988404;1;2;102;0;0
SNCF02308;Longpré-les-Corps-Saints;SNCF;50.01128;2.00277;2;5;102;0;0
SNCF02311;Ailly-sur-Somme;SNCF;49.92838;2.20059;3;2;102;0;0
SNCF02327;Verneuil-sur-Serre;SNCF;49.6486805;3.6677085;5;7;102;0;0
SNCF02331;Flavy-le-Martel;SNCF;49.7187375;3.1905076;6;5;102;0;0
SNCF02336;Appilly;SNCF;49.5808826;3.1221903;7;6;102;0;0
SNCF02338;Mennessis;SNCF;49.6915989;3.2711145;0;1;102;0;0
SNCF02350;Le Quesnoy;SNCF;50.25021;3.64552;1;3;102;0;0
SNCF02369;Maubeuge;SNCF;50.27298;3.96677;2;5;102;0;0
SNCF02381;Mont de Terre;SNCF;50.6176672;3.0966031;3;0;102;0;0
SNCF02387;Pont de bois;SNCF;50.62403;3.13026;4;0;102;0;0
SNCF02390;Cysoing;SNCF;50.5620393;3.2098913;5;4;102;0;0
SNCF02391;Tressin;SNCF;50.6118114;3.1895634;6;5;102;0;0
SNCF02392;Roubaix;SNCF;50.6954947154;3.16371539427;7;6;102;0;0
SNCF02395;Templeuve;SNCF;50.52863;3.17559;0;1;102;0;0
SNCF02400;Tourcoing;SNCF;50.717044418;3.16531286711;1;2;102;0;0
SNCF02401;Ronchin;SNCF;50.6045664;3.0783734;2;1;102;0;0
SNCF02405;Don - Sainghin;SNCF;50.55176;2.91458;3;1;102;0;0
SNCF02406;La Fontaine;SNCF;50.5661459;2.9261079;4;7;102;0;0
SNCF02413;Wambrechies;SNCF;50.6812648;3.0402974;5;0;102;0;0
SNCF02416;La Madeleine;SNCF;50.6608037;3.0725804;6;2;102;0;0
SNCF02418;Steenwerck;SNCF;50.713459;2.7855769;7;1;102;0;0
SNCF02430;Saint-Omer;SNCF;50.7536204;2.2667624;0;2;102;0;0
SNCF02437;Bourbourg;SNCF;50.952267;2.1942305;1;2;102;0;0
SNCF02445;Dunkerque;SNCF;51.030470;2.368961;2;3;102;0;0
SNCF02454;Bornel - Belle-Église;SNCF;49.19471;2.20717;3;0;102;0;0
SNCF02455;Compiègne;SNCF;49.422005;2.823679;4;5;102;0;0
411326;Précy-sur-Oise;SNCF;49.2032657335;2.37660117732;2;0;13;102;0
411329;Saint-Leu-d'Esserent;SNCF;49.2138563248;2.41736939105;6;1;13;102;0
SNCF02486;Rieux - Angicourt;SNCF;49.29866;2.52140;7;0;102;0;0
SNCF02520;Esches;SNCF;49.2125205;2.1708125;0;6;102;0;0
SNCF02117;Arleux;SNCF;50.2863204;3.1208073;7;5;102;0;0
SNCF02136;Coron de Méricourt;SNCF;50.4150048;2.8854084;0;2;102;0;0
