idGare;idLigne;ordre;PDLFond;PDLPoint;vCreation;vMaj;vSuppression
SNCF02109;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02112;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02119;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02129;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02134;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02135;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02139;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02140;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02151;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02154;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02155;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02170;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02172;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02173;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02177;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02181;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02188;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02210;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02215;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02219;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02224;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02230;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02234;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02255;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02256;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02258;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02261;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02266;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02274;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02275;SNCF_HautsFrance_U;0;0;0;106;0;0
411317;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02284;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02285;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02300;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02303;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02310;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02313;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02334;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02351;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02352;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02355;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02361;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02363;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02365;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02366;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02367;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02382;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02383;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02388;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02393;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02398;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02407;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02410;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02420;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02431;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02433;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02444;SNCF_HautsFrance_U;0;0;0;106;0;0
SNCF02484;SNCF_HautsFrance_U;0;0;0;106;0;0
