idExterne;nom;exploitant;latitude;longitude;couleur;couleurEvolution;vCreation;vMaj;vSuppression
Tfl1000002;Acton Town;Transport for London;51.502749773000570000;-.280251203536110600;0;2;133;0;0
Tfl1000003;Aldgate;Transport for London;51.514271823083390000;-.075614184477749600;1;0;133;0;0
Tfl1000004;Aldgate East;Transport for London;51.515233413796480000;-.072287119975365420;2;6;133;0;0
Tfl1000005;Alperton;Transport for London;51.540694766293470000;-.299486538678611470;3;6;133;0;0
Tfl1000006;Amersham;Transport for London;51.674149710629730000;-.607478839102469000;4;7;133;0;0
Tfl1000007;Angel;Transport for London;51.532498868904300000;-.105789913665305300;5;2;133;0;0
Tfl1000008;Archway;Transport for London;51.565426754533750000;-.135113518210335370;6;5;133;0;0
Tfl1000009;Arnos Grove;Transport for London;51.616340261056756000;-.133516309581780070;7;2;133;0;0
Tfl1000010;Arsenal;Transport for London;51.558498768776680000;-.105761988175557870;0;7;133;0;0
Tfl1000011;Baker Street;Transport for London;51.523061248142790000;-.156900356057780880;1;5;133;0;0
Tfl1000012;Balham;Transport for London;51.443328979635250000;-.153207552666472820;2;0;133;0;0
Tfl1000013;Bank;Transport for London;51.513302371519344000;-.088915809045260000;3;7;133;0;0
Tfl1000014;Barbican;Transport for London;51.520145725324900000;-.097711123216248310;4;7;133;0;0
Tfl1000015;Barking;Transport for London;51.539451208515715000;.080863182849410430;5;4;133;0;0
Tfl1000016;Barkingside;Transport for London;51.585785960390545000;.088511013821779280;6;1;133;0;0
Tfl1000017;Barons Court;Transport for London;51.490159942708935000;-.213606857361082370;7;3;133;0;0
Tfl1000018;Bayswater;Transport for London;51.512233058741060000;-.188038262221618460;0;1;133;0;0
Tfl1000019;Becontree;Transport for London;51.540288535204700000;.127400321155280580;1;2;133;0;0
Tfl1000020;Belsize Park;Transport for London;51.550426627718240000;-.164232306333818050;2;6;133;0;0
Tfl1000021;Bermondsey;Transport for London;51.497949119581570000;-.063651350918079250;3;5;133;0;0
Tfl1000022;Bethnal Green;Transport for London;51.527195236069566000;-.055431117145884300;4;1;133;0;0
Tfl1000023;Blackfriars;Transport for London;51.511490522247490000;-.103606731219862620;5;0;133;0;0
Tfl1000024;Blackhorse Road;Transport for London;51.586951195438930000;-.040996340920370744;6;5;133;0;0
Tfl1000025;Bond Street;Transport for London;51.513804535388070000;-.149332354586202300;7;2;133;0;0
Tfl1000026;Borough;Transport for London;51.501193998928510000;-.093702664758373440;0;7;133;0;0
Tfl1000027;Boston Manor;Transport for London;51.495696382188164000;-.324763573796374050;1;5;133;0;0
Tfl1000028;Bounds Green;Transport for London;51.607090556952755000;-.124218963208536690;2;6;133;0;0
Tfl1000029;Bow Road;Transport for London;51.526800254826064000;-.024823746874528683;3;6;133;0;0
Tfl1000030;Brent Cross;Transport for London;51.576800471443870000;-.213455833755365300;4;7;133;0;0
Tfl1000031;Brixton;Transport for London;51.462581333631725000;-.114635581578615600;5;4;133;0;0
Tfl1000033;Buckhurst Hill;Transport for London;51.626517330409435000;.046743856240495990;6;4;133;0;0
Tfl1000034;Burnt Oak;Transport for London;51.602681099702550000;-.264198758145630100;7;0;133;0;0
Tfl1000035;Caledonian Road;Transport for London;51.548421318403776000;-.118312333133271940;0;7;133;0;0
Tfl1000036;Camden Town;Transport for London;51.539403522631090000;-.142726148730286300;1;4;133;0;0
Tfl1000037;Canada Water;Transport for London;51.497888681995114000;-.049705986794378270;2;6;133;0;0
Tfl1000038;Canary Wharf;Transport for London;51.503550485647594000;-.019431816253263262;3;7;133;0;0
Tfl1000039;Canning Town;Transport for London;51.513837129289570000;.008171036532588041;4;0;133;0;0
Tfl1000040;Cannon Street;Transport for London;51.511433722337300000;-.090694850680980680;5;2;133;0;0
Tfl1000041;Canons Park;Transport for London;51.607759515215320000;-.294653740878426550;6;1;133;0;0
Tfl1000042;Chalfont & Latimer;Transport for London;51.668025473926090000;-.560534956448776200;7;1;133;0;0
Tfl1000043;Chalk Farm;Transport for London;51.544083102422630000;-.153728009451251480;0;2;133;0;0
Tfl1000044;Chancery Lane;Transport for London;51.518123230614440000;-.111677427383970640;1;6;133;0;0
Tfl1000045;Charing Cross;Transport for London;51.508593207603190000;-.124754686624366030;2;7;133;0;0
Tfl1000046;Chesham;Transport for London;51.705030454829610000;-.611219246324909900;3;2;133;0;0
Tfl1000047;Chigwell;Transport for London;51.617871925405100000;.074526611263722940;4;7;133;0;0
Tfl1000048;Chiswick Park;Transport for London;51.494300591745144000;-.267746873913726140;5;2;133;0;0
Tfl1000049;Chorleywood;Transport for London;51.654217860774500000;-.518365989763054100;6;1;133;0;0
Tfl1000050;Clapham Common;Transport for London;51.461727933283946000;-.138311459464252400;7;5;133;0;0
Tfl1000051;Clapham North;Transport for London;51.464843732027760000;-.129531053727598040;0;5;133;0;0
Tfl1000052;Clapham South;Transport for London;51.452599834714476000;-.147982098639174410;1;6;133;0;0
Tfl1000053;Cockfosters;Transport for London;51.651687534574954000;-.149614715155877680;2;5;133;0;0
Tfl1000054;Colindale;Transport for London;51.595286518799250000;-.250142587760251700;3;4;133;0;0
Tfl1000055;Colliers Wood;Transport for London;51.418071885122640000;-.177700936628786360;4;1;133;0;0
Tfl1000056;Covent Garden;Transport for London;51.512909586141590000;-.124159260603112690;5;2;133;0;0
Tfl1000057;Croxley;Transport for London;51.647046338116360000;-.441710992609101700;6;5;133;0;0
Tfl1000058;Dagenham East;Transport for London;51.544116734223610000;.165874869677022780;7;4;133;0;0
Tfl1000059;Dagenham Heathway;Transport for London;51.541627413616190000;.147684194913217710;0;1;133;0;0
