idGare;idLigne;ordre;PDLFond;PDLPoint;vCreation;vMaj;vSuppression
Tfl1000002;Ligne_Tfl_District;6;33;11;133;0;0
Tfl1000004;Ligne_Tfl_District;42;22;21;133;0;0
Tfl1000015;Ligne_Tfl_District;52;22;21;133;0;0
Tfl1000017;Ligne_Tfl_District;12;30;11;133;0;0
Tfl1000018;Ligne_Tfl_District;26;44;11;133;0;0
Tfl1000019;Ligne_Tfl_District;54;22;21;133;0;0
Tfl1000023;Ligne_Tfl_District;37;22;21;133;0;0
Tfl1000029;Ligne_Tfl_District;46;2;21;133;0;0
Tfl1000040;Ligne_Tfl_District;39;22;21;133;0;0
Tfl1000048;Ligne_Tfl_District;7;33;11;133;0;0
Tfl1000058;Ligne_Tfl_District;56;22;21;133;0;0
Tfl1000059;Ligne_Tfl_District;55;22;21;133;0;0
Tfl1000062;Ligne_Tfl_District;4;30;11;133;0;0
Tfl1000063;Ligne_Tfl_District;5;33;11;133;0;0
Tfl1000064;Ligne_Tfl_District;23;48;1;133;0;0
Tfl1000068;Ligne_Tfl_District;51;22;21;133;0;0
Tfl1000069;Ligne_Tfl_District;17;44;21;133;0;0
Tfl1000074;Ligne_Tfl_District;57;22;21;133;0;0
Tfl1000075;Ligne_Tfl_District;35;22;21;133;0;0
Tfl1000084;Ligne_Tfl_District;20;44;21;133;0;0
Tfl1000086;Ligne_Tfl_District;29;22;21;133;0;0
Tfl1000110;Ligne_Tfl_District;24;44;11;133;0;0
Tfl1000115;Ligne_Tfl_District;58;22;21;133;0;0
Tfl1000143;Ligne_Tfl_District;38;22;21;133;0;0
Tfl1000146;Ligne_Tfl_District;45;22;21;133;0;0
Tfl1000148;Ligne_Tfl_District;40;22;21;133;0;0
Tfl1000167;Ligne_Tfl_District;25;44;11;133;0;0
Tfl1000174;Ligne_Tfl_District;27;24;11;133;0;0
Tfl1000177;Ligne_Tfl_District;19;44;21;133;0;0
Tfl1000182;Ligne_Tfl_District;49;22;21;133;0;0
Tfl1000184;Ligne_Tfl_District;18;44;21;133;0;0
Tfl1000188;Ligne_Tfl_District;10;1;1;133;0;0
Tfl1000206;Ligne_Tfl_District;31;22;21;133;0;0
Tfl1000212;Ligne_Tfl_District;30;22;21;133;0;0
Tfl1000209;Ligne_Tfl_District;16;44;21;133;0;0
Tfl1000218;Ligne_Tfl_District;9;11;1;133;0;0
Tfl1000220;Ligne_Tfl_District;44;22;21;133;0;0
Tfl1000231;Ligne_Tfl_District;36;22;21;133;0;0
Tfl1000238;Ligne_Tfl_District;41;22;21;133;0;0
Tfl1000240;Ligne_Tfl_District;8;13;1;133;0;0
Tfl1000242;Ligne_Tfl_District;60;2;21;133;0;0
Tfl1000243;Ligne_Tfl_District;59;22;21;133;0;0
Tfl1000244;Ligne_Tfl_District;53;22;21;133;0;0
Tfl1000245;Ligne_Tfl_District;50;22;21;133;0;0
Tfl1000248;Ligne_Tfl_District;32;2;21;133;0;0
Tfl1000260;Ligne_Tfl_District;21;84;21;133;0;0
Tfl1000262;Ligne_Tfl_District;48;20;21;133;0;0
Tfl1000265;Ligne_Tfl_District;13;33;11;133;0;0
Tfl1000266;Ligne_Tfl_District;34;20;21;133;0;0
Tfl1000268;Ligne_Tfl_District;43;22;21;133;0;0
Tfl1000273;Ligne_Tfl_District;15;43;21;133;0;0
Tfl1000002;Ligne_Tfl_Piccadilly;26;14;1;133;0;0
Tfl1000005;Ligne_Tfl_Piccadilly;22;44;11;133;0;0
Tfl1000009;Ligne_Tfl_Piccadilly;50;11;1;133;0;0
Tfl1000010;Ligne_Tfl_Piccadilly;44;11;1;133;0;0
Tfl1000017;Ligne_Tfl_Piccadilly;29;10;1;133;0;0
Tfl1000027;Ligne_Tfl_Piccadilly;9;22;21;133;0;0
Tfl1000028;Ligne_Tfl_Piccadilly;49;11;1;133;0;0
Tfl1000035;Ligne_Tfl_Piccadilly;42;10;1;133;0;0
Tfl1000053;Ligne_Tfl_Piccadilly;53;1;1;133;0;0
Tfl1000056;Ligne_Tfl_Piccadilly;38;11;1;133;0;0
Tfl1000063;Ligne_Tfl_Piccadilly;25;44;11;133;0;0
Tfl1000064;Ligne_Tfl_Piccadilly;30;11;1;133;0;0
Tfl1000066;Ligne_Tfl_Piccadilly;17;44;11;133;0;0
Tfl1000083;Ligne_Tfl_Piccadilly;45;11;1;133;0;0
Tfl1000086;Ligne_Tfl_Piccadilly;31;11;1;133;0;0
Tfl1000093;Ligne_Tfl_Piccadilly;35;11;1;133;0;0
Tfl1000103;Ligne_Tfl_Piccadilly;4;20;21;133;0;0
Tfl1000111;Ligne_Tfl_Piccadilly;13;44;11;133;0;0
Tfl1000112;Ligne_Tfl_Piccadilly;39;11;1;133;0;0
Tfl1000114;Ligne_Tfl_Piccadilly;43;11;1;133;0;0
Tfl1000116;Ligne_Tfl_Piccadilly;6;22;21;133;0;0
Tfl1000117;Ligne_Tfl_Piccadilly;7;22;21;133;0;0
Tfl1000118;Ligne_Tfl_Piccadilly;5;22;21;133;0;0
Tfl1000119;Ligne_Tfl_Piccadilly;34;11;1;133;0;0
Tfl1000120;Ligne_Tfl_Piccadilly;14;44;11;133;0;0
Tfl1000130;Ligne_Tfl_Piccadilly;33;11;1;133;0;0
Tfl1000135;Ligne_Tfl_Piccadilly;37;11;1;133;0;0
Tfl1000142;Ligne_Tfl_Piccadilly;46;11;1;133;0;0
Tfl1000158;Ligne_Tfl_Piccadilly;24;44;11;133;0;0
Tfl1000159;Ligne_Tfl_Piccadilly;10;22;21;133;0;0
Tfl1000168;Ligne_Tfl_Piccadilly;52;11;1;133;0;0
Tfl1000171;Ligne_Tfl_Piccadilly;8;22;21;133;0;0
Tfl1000176;Ligne_Tfl_Piccadilly;23;44;11;133;0;0
Tfl1000179;Ligne_Tfl_Piccadilly;36;11;1;133;0;0
Tfl1000189;Ligne_Tfl_Piccadilly;18;44;11;133;0;0
Tfl1000197;Ligne_Tfl_Piccadilly;15;44;11;133;0;0
Tfl1000199;Ligne_Tfl_Piccadilly;16;44;11;133;0;0
Tfl1000200;Ligne_Tfl_Piccadilly;40;1;1;133;0;0
Tfl1000208;Ligne_Tfl_Piccadilly;11;22;21;133;0;0
Tfl1000211;Ligne_Tfl_Piccadilly;19;44;11;133;0;0
Tfl1000212;Ligne_Tfl_Piccadilly;32;11;1;133;0;0
Tfl1000210;Ligne_Tfl_Piccadilly;51;11;1;133;0;0
Tfl1000227;Ligne_Tfl_Piccadilly;20;44;11;133;0;0
Tfl1000228;Ligne_Tfl_Piccadilly;21;44;11;133;0;0
Tfl1000240;Ligne_Tfl_Piccadilly;27;1;1;133;0;0
Tfl1000241;Ligne_Tfl_Piccadilly;47;11;1;133;0;0
Tfl1000246;Ligne_Tfl_Piccadilly;12;42;11;133;0;0
Tfl1000275;Ligne_Tfl_Piccadilly;48;11;1;133;0;0
Tfl1000003;Ligne_Tfl_Circle;19;44;11;133;0;0
Tfl1000011;Ligne_Tfl_Circle;11;42;11;133;0;0
Tfl1000014;Ligne_Tfl_Circle;16;44;11;133;0;0
Tfl1000018;Ligne_Tfl_Circle;35;4;1;133;0;0
Tfl1000023;Ligne_Tfl_Circle;24;44;11;133;0;0
Tfl1000040;Ligne_Tfl_Circle;22;44;11;133;0;0
Tfl1000075;Ligne_Tfl_Circle;26;44;11;133;0;0
Tfl1000078;Ligne_Tfl_Circle;13;24;11;133;0;0
Tfl1000080;Ligne_Tfl_Circle;15;42;11;133;0;0
Tfl1000086;Ligne_Tfl_Circle;32;44;11;133;0;0
Tfl1000091;Ligne_Tfl_Circle;12;44;11;133;0;0
Tfl1000110;Ligne_Tfl_Circle;33;44;11;133;0;0
Tfl1000138;Ligne_Tfl_Circle;18;44;11;133;0;0
Tfl1000143;Ligne_Tfl_Circle;23;44;11;133;0;0
Tfl1000148;Ligne_Tfl_Circle;21;44;11;133;0;0
Tfl1000149;Ligne_Tfl_Circle;17;44;11;133;0;0
Tfl1000167;Ligne_Tfl_Circle;34;44;11;133;0;0
Tfl1000174;Ligne_Tfl_Circle;9;20;21;133;0;0
Tfl1000206;Ligne_Tfl_Circle;30;44;11;133;0;0
Tfl1000212;Ligne_Tfl_Circle;31;44;11;133;0;0
Tfl1000231;Ligne_Tfl_Circle;25;44;11;133;0;0
Tfl1000238;Ligne_Tfl_Circle;20;44;11;133;0;0
Tfl1000248;Ligne_Tfl_Circle;29;42;11;133;0;0
Tfl1000266;Ligne_Tfl_Circle;27;24;11;133;0;0
Tfl1000004;Ligne_Tfl_HammersmithCity;19;11;1;133;0;0
Tfl1000011;Ligne_Tfl_HammersmithCity;11;10;1;133;0;0
Tfl1000014;Ligne_Tfl_HammersmithCity;16;11;1;133;0;0
Tfl1000015;Ligne_Tfl_HammersmithCity;29;1;1;133;0;0
Tfl1000029;Ligne_Tfl_HammersmithCity;23;1;1;133;0;0
Tfl1000068;Ligne_Tfl_HammersmithCity;28;11;1;133;0;0
Tfl1000078;Ligne_Tfl_HammersmithCity;13;1;1;133;0;0
Tfl1000080;Ligne_Tfl_HammersmithCity;15;10;1;133;0;0
Tfl1000088;Ligne_Tfl_HammersmithCity;2;0;1;133;0;0
Tfl1000091;Ligne_Tfl_HammersmithCity;12;11;1;133;0;0
Tfl1000131;Ligne_Tfl_HammersmithCity;6;11;1;133;0;0
Tfl1000134;Ligne_Tfl_HammersmithCity;5;10;1;133;0;0
Tfl1000138;Ligne_Tfl_HammersmithCity;18;11;1;133;0;0
Tfl1000146;Ligne_Tfl_HammersmithCity;22;11;1;133;0;0
Tfl1000149;Ligne_Tfl_HammersmithCity;17;11;1;133;0;0
Tfl1000174;Ligne_Tfl_HammersmithCity;9;1;1;133;0;0
Tfl1000182;Ligne_Tfl_HammersmithCity;26;11;1;133;0;0
Tfl1000196;Ligne_Tfl_HammersmithCity;8;11;1;133;0;0
Tfl1000220;Ligne_Tfl_HammersmithCity;21;11;1;133;0;0
Tfl1000245;Ligne_Tfl_HammersmithCity;27;11;1;133;0;0
Tfl1000262;Ligne_Tfl_HammersmithCity;25;10;1;133;0;0
Tfl1000259;Ligne_Tfl_HammersmithCity;7;11;1;133;0;0
Tfl1000268;Ligne_Tfl_HammersmithCity;20;11;1;133;0;0
Tfl1000003;Ligne_Tfl_Metropolitan;34;1;1;133;0;0
Tfl1000006;Ligne_Tfl_Metropolitan;2;43;21;133;0;0
Tfl1000011;Ligne_Tfl_Metropolitan;26;11;1;133;0;0
Tfl1000014;Ligne_Tfl_Metropolitan;31;11;1;133;0;0
Tfl1000042;Ligne_Tfl_Metropolitan;3;14;1;133;0;0
Tfl1000046;Ligne_Tfl_Metropolitan;1;30;11;133;0;0
Tfl1000049;Ligne_Tfl_Metropolitan;4;11;1;133;0;0
Tfl1000057;Ligne_Tfl_Metropolitan;7;44;11;133;0;0
Tfl1000066;Ligne_Tfl_Metropolitan;18;22;21;133;0;0
Tfl1000078;Ligne_Tfl_Metropolitan;28;1;1;133;0;0
Tfl1000080;Ligne_Tfl_Metropolitan;30;10;1;133;0;0
