idExterne;nom;exploitant;latitude;longitude;couleur;couleurEvolution;vCreation;vMaj;vSuppression
SNCF02446;Mérignac Arlac;SNCF;44.8265601;-0.6261402;0;6;102;0;0
SNCF01071;Felletin;SNCF;45.8864021;2.169543;4;7;102;0;0
SNCF01091;Villefranche-du-Périgord;SNCF;44.6270124;1.0490908;7;2;102;0;0
SNCF01094;Saint-Cyprien;SNCF;44.8632733;1.0434666;0;5;102;0;0
SNCF01099;Mauzens-et-Miremont;SNCF;44.9768912;0.9571897;1;4;102;0;0
SNCF01104;Milhac-d'Auberoche;SNCF;45.1290571;0.9180406;2;4;102;0;0
SNCF01105;Saint-Pierre-de-Chignac;SNCF;45.1234881;0.856103;3;2;102;0;0
SNCF01106;Niversac;SNCF;45.1383083;0.8082195;4;7;102;0;0
SNCF01111;Neuvic;SNCF;45.0999632;0.4450162;5;3;102;0;0
SNCF01115;La Cave;SNCF;45.1839595;0.628305;6;5;102;0;0
SNCF01129;Pompadour;SNCF;45.3952807;1.3871677;7;0;102;0;0
SNCF01138;Tulle;SNCF;45.258725;1.756467;0;5;102;0;0
SNCF01148;Meymac;SNCF;45.5302313;2.1640905;2;0;102;0;0
SNCF01158;Exideuil;SNCF;45.8863256;0.6666933;3;6;102;0;0
SNCF01164;Lafarge;SNCF;45.6338338;1.130859;4;3;102;0;0
SNCF01167;Saint-Junien;SNCF;45.8813844;0.9004849;5;1;102;0;0
SNCF01173;Le Dorat;SNCF;46.2110908;1.0793364;6;1;102;0;0
SNCF01174;La Coquille;SNCF;45.5408509;0.9744005;7;2;102;0;0
SNCF01176;Bellac;SNCF;46.1252044;1.0461168;0;6;102;0;0
SNCF01182;Fromental;SNCF;46.1715646;1.4324317;1;2;102;0;0
SNCF01212;Marmande;SNCF;44.503019;0.168044;5;0;102;0;0
SNCF01222;Port-Sainte-Marie;SNCF;44.2504383;0.3905059;6;7;102;0;0
SNCF01226;Saint-Sulpice - Izon;SNCF;44.9142742;-0.392135;7;3;102;0;0
SNCF01233;Saint-Denis-de-Pile;SNCF;44.9786053;-0.1980825;0;3;102;0;0
SNCF01234;Trémolat;SNCF;44.8625105;0.8303278;1;4;102;0;0
SNCF01238;Bergerac;SNCF;44.857061;0.489174;2;5;102;0;0
SNCF01240;Gardonne;SNCF;44.8347538;0.3319427;3;6;102;0;0
SNCF01246;Saint-Émilion;SNCF;44.8811665;-0.1592003;4;1;102;0;0
SNCF01247;Libourne;SNCF;44.915888;-0.236344;5;0;102;0;0
SNCF01249;Luxé;SNCF;45.8873947;0.1094107;6;2;102;0;0
SNCF01251;Montmoreau;SNCF;45.3982987;0.1380013;7;1;102;0;0
SNCF01256;Angoulême;SNCF;45.653572;0.164608;0;1;102;0;0
SNCF01265;Barsac;SNCF;44.6054306;-0.3215775;1;7;102;0;0
SNCF01276;Gujan-Mestras;SNCF;44.640454;-1.06906;2;7;102;0;0
SNCF01278;Labouheyre;SNCF;44.2106292;-0.9209296;3;5;102;0;0
SNCF01288;Pessac;SNCF;44.80461;-0.63185;4;2;102;0;0
SNCF01290;Blanquefort;SNCF;44.917556;-0.62392;5;0;102;0;0
SNCF01295;Le Verdon;SNCF;45.5492065;-1.0650925;6;7;102;0;0
SNCF01296;Soulac-sur-Mer;SNCF;45.5081769;-1.1175894;7;5;102;0;0
SNCF01300;Margaux;SNCF;45.0358307;-0.6854145;0;7;102;0;0
SNCF01301;Macau;SNCF;45.0040981;-0.6200068;1;6;102;0;0
