idGare;idLigne;ordre;PDLFond;PDLPoint;vCreation;vMaj;vSuppression
SNCF02446;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01071;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01091;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01094;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01099;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01104;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01105;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01106;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01111;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01115;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01129;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01138;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01148;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01158;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01164;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01167;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01173;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01174;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01176;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01182;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01212;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01222;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01226;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01233;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01234;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01238;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01240;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01246;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01247;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01249;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01251;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01256;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01265;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01276;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01278;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01288;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01290;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01295;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01296;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01300;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01301;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01303;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01347;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01349;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01353;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01357;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01359;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01367;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01499;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01501;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01504;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01516;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01073;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01079;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01096;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01102;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01112;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01113;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01121;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01132;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01140;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01144;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01149;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01150;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01154;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01155;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01157;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01159;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01160;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01162;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01165;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01168;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01169;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01172;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01175;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01179;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01189;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01190;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01191;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01193;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01194;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01200;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01201;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01205;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01210;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01215;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01218;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01224;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01225;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01227;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01228;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01235;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01236;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01237;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01239;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01268;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01271;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01273;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01274;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01286;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01298;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01346;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01348;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01350;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01354;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01498;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF03081;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF03087;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF03088;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01520;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01521;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01558;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01560;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01568;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00847;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00849;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00853;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00865;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00868;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00869;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00873;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00875;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00882;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00883;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00885;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00886;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01517;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01553;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01563;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01565;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01566;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01827;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00854;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00855;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00859;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00860;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00874;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00876;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00877;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF00881;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01072;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01077;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01093;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01095;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01100;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01101;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01114;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01122;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01130;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01131;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01133;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01137;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01142;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01156;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01166;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01170;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01186;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01188;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01195;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01197;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01199;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01204;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01211;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01219;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01241;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01242;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01244;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01245;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01248;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01255;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01258;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01259;SNCF_NAquitaine_U;0;0;0;106;0;0
SNCF01260;SNCF_NAquitaine_U;0;0;0;106;0;0
