idExterne;nom;exploitant;latitude;longitude;couleur;couleurEvolution;vCreation;vMaj;vSuppression
SNCF02195;Dives-sur-Mer Port Guillaume;SNCF;49.2910882;-0.1008455;2;6;102;0;0
SNCF02263;Longroy - Gamaches;SNCF;49.9818917;1.5526598;7;1;102;0;0
SNCF02265;Aumale;SNCF;49.7650371;1.7560425;0;6;102;0;0
SNCF01774;Avranches;SNCF;48.6902445;-1.3700755;6;7;102;0;0
SNCF01783;Carentan;SNCF;49.302482;-1.244938;7;2;102;0;0
SNCF01787;Coutances;SNCF;49.042928;-1.441726;0;1;102;0;0
SNCF01790;Cherbourg;SNCF;49.633505;-1.621515;1;2;102;0;0
SNCF01792;Sées;SNCF;48.5998998;0.1661851;2;6;102;0;0
SNCF01796;Le Merlerault;SNCF;48.7024888;0.2832169;3;0;102;0;0
SNCF01797;Nonant-le-Pin;SNCF;48.7037802;0.2194656;4;1;102;0;0
SNCF01799;Écouché;SNCF;48.7151009;-0.1209574;5;4;102;0;0
SNCF01801;Dives - Cabourg;SNCF;49.2864776;-0.1074996;6;5;102;0;0
SNCF01802;Houlgate;SNCF;49.3000711;-0.0772276;7;2;102;0;0
SNCF01803;Villers-sur-Mer;SNCF;49.3159865;0.0099283;0;7;102;0;0
SNCF01810;Lisieux;SNCF;49.138299;0.231143;1;0;102;0;0
SNCF01820;Caen;SNCF;49.176354;-0.347613;2;6;102;0;0
SNCF01837;Gaillon - Aubevoye;SNCF;49.174626;1.352461;3;5;102;0;0
SNCF01850;Jacques Monod la Demi-Lieue;SNCF;49.5269596;0.1861468;4;7;102;0;0
SNCF01851;Harfleur Halte;SNCF;49.5059181;0.192085;5;3;102;0;0
SNCF01855;Bolbec - Nointot;SNCF;49.5914657;0.48482;6;1;102;0;0
SNCF01873;Pavilly;SNCF;49.563897;0.950644;7;6;102;0;0
SNCF01875;Malaunay - Le Houlme;SNCF;49.5133331;1.0395776;0;4;102;0;0
SNCF01877;Sotteville;SNCF;49.4129479;1.102362;1;3;102;0;0
SNCF01878;Saint-Étienne-du-Rouvray;SNCF;49.3771553;1.1095673;2;5;102;0;0
SNCF01952;Verneuil-sur-Avre;SNCF;48.7424857;0.9291925;4;5;102;0;0
SNCF01959;Saint-Germain - Saint-Rémy;SNCF;48.7585;1.2572208;5;7;102;0;0
SNCF02003;Conches;SNCF;48.9623603;0.9378895;6;5;102;0;0
SNCF01780;Granville;SNCF;48.838456;-1.587757;6;7;102;0;0
SNCF01781;Folligny;SNCF;48.8299461;-1.4072231;7;2;102;0;0
SNCF01786;Carantilly - Marigny;SNCF;49.06786;-1.2445285;0;4;102;0;0
SNCF01788;Saint-Lô;SNCF;49.116975;-1.099525;1;4;102;0;0
SNCF01798;Surdon;SNCF;48.6647685;0.1344097;3;1;102;0;0
SNCF01836;Saint-Pierre-du-Vauvray;SNCF;49.2339135;1.2248947;5;4;102;0;0
SNCF01848;Épouville;SNCF;49.563814;0.2236662;6;7;102;0;0
SNCF01856;Bréauté - Beuzeville;SNCF;49.603396;0.417489;7;3;102;0;0
SNCF01858;Étainhus - Saint-Romain;SNCF;49.5612151;0.3310234;0;7;102;0;0
SNCF01868;Longuerue - Vieux-Manoir;SNCF;49.5566781;1.2762275;1;4;102;0;0
SNCF01869;Morgny;SNCF;49.5232183;1.2478526;2;0;102;0;0
SNCF01870;Saint-Martin-du-Vivier;SNCF;49.4704151;1.1615438;3;1;102;0;0
SNCF01879;Oissel;SNCF;49.343060;1.101799;4;2;102;0;0
SNCF01881;Elbeuf - Saint-Aubin;SNCF;49.302766;1.009930;5;1;102;0;0
SNCF01899;Le Theil - La Rouge;SNCF;48.2672964;0.6944581;2;5;102;0;0
SNCF01951;Bourth;SNCF;48.7658425;0.804747;3;1;102;0;0
SNCF01785;Pont-Hébert;SNCF;49.1625444;-1.1266871;6;1;102;0;0
SNCF01791;Alençon;SNCF;48.433884;0.098531;7;6;102;0;0
SNCF01804;Blonville-sur-Mer - Benerville;SNCF;49.3313919;0.0356856;0;6;102;0;0
SNCF01805;Trouville - Deauville;SNCF;49.360005;0.084167;1;6;102;0;0
SNCF01808;Serquigny;SNCF;49.1074117;0.7189895;2;3;102;0;0
SNCF01814;Moult - Argences;SNCF;49.1111851;-0.1864355;3;6;102;0;0
SNCF01817;Bayeux;SNCF;49.269836;-0.698056;4;2;102;0;0
SNCF01839;Brionne;SNCF;49.1964187;0.7115304;7;6;102;0;0
SNCF01840;Glos - Montfort;SNCF;49.2715983;0.6828396;0;7;102;0;0
SNCF01854;Foucart - Alvimare;SNCF;49.608289;0.5969601;1;3;102;0;0
SNCF01874;Barentin;SNCF;49.549123;0.953517;2;5;102;0;0
SNCF01880;Tourville;SNCF;49.3248177;1.098964;3;4;102;0;0
SNCF01882;Rouen Rive Droite;SNCF;49.448764;1.094087;4;5;102;0;0
SNCF01644;Pontorson - Mont-Saint-Michel;SNCF;48.5527286;-1.5049307;4;1;102;0;0
SNCF01775;Vire;SNCF;48.846329;-0.882884;7;3;102;0;0
SNCF01776;Briouze;SNCF;48.7018622;-0.3682036;0;7;102;0;0
SNCF01782;Valognes;SNCF;49.505454;-1.479860;1;4;102;0;0
SNCF01784;Lison;SNCF;49.226834;-1.050339;2;7;102;0;0
SNCF01793;L'Aigle;SNCF;48.766229;0.620014;3;2;102;0;0
SNCF01795;Sainte-Gauburge;SNCF;48.7172632;0.4281082;4;3;102;0;0
SNCF01800;Argentan;SNCF;48.738545;-0.025291;5;0;102;0;0
SNCF01807;Le Grand Jardin;SNCF;49.1505827;0.2271143;6;5;102;0;0
SNCF01811;Couliboeuf;SNCF;48.9237487;-0.0984574;7;1;102;0;0
SNCF01812;Saint-Pierre-sur-Dives;SNCF;49.0231057;-0.0405855;0;6;102;0;0
SNCF01815;Frénouville - Cagny;SNCF;49.1411192;-0.2603256;1;4;102;0;0
SNCF01816;Le Molay-Littry;SNCF;49.2493263;-0.8809741;2;1;102;0;0
SNCF01819;Bretteville - Norrey;SNCF;49.2034112;-0.5127396;3;7;102;0;0
59038;Vernon - Giverny;SNCF;49.0910096787;1.47870360947;4;2;13;125;0
SNCF01845;Saint-Aubin-sur-Scie;SNCF;49.8717479;1.0666642;7;3;102;0;0
SNCF01847;Rolleville;SNCF;49.5820461;0.2157828;0;2;102;0;0
SNCF01849;Montivilliers;SNCF;49.5429758;0.189426;1;6;102;0;0
SNCF01852;Fécamp;SNCF;49.759277;0.375287;2;0;102;0;0
SNCF01857;Virville - Manneville;SNCF;49.5835958;0.3541609;3;0;102;0;0
SNCF01863;Clères;SNCF;49.598964;1.106184;4;2;102;0;0
SNCF01865;Serqueux;SNCF;49.6315093;1.5395267;5;0;102;0;0
SNCF01866;Sommery;SNCF;49.6297244;1.4353726;6;5;102;0;0
SNCF01867;Montérolier - Buchy;SNCF;49.6031854;1.3347457;7;2;102;0;0
SNCF01876;Maromme;SNCF;49.479935;1.050485;0;7;102;0;0
SNCF01927;Bretoncelles;SNCF;48.4326737;0.8923825;3;7;102;0;0
SNCF01956;Nonancourt;SNCF;48.7757257;1.1929162;4;6;102;0;0
SNCF02211;Eu;SNCF;50.0541988;1.416837;6;0;102;0;0
SNCF02212;Le Tréport - Mers-les-Bains;SNCF;50.0628592;1.3763738;7;2;102;0;0
SNCF01926;Condé-sur-Huisne;SNCF;48.3834826;0.8487023;0;3;102;0;0
SNCF02004;La Bonneville-sur-Iton;SNCF;48.9884615;1.035014;7;5;102;0;0
411365;Évreux Normandie;SNCF;49.0184202918;1.14900354805;5;3;13;104;0
59301;Gisors;SNCF;49.2852635241;1.78506622348;3;1;13;102;0
SNCF01778;Saint-Sever;SNCF;48.843608;-1.0516979;6;1;102;0;0
SNCF01794;Rai - Aube;SNCF;48.7437153;0.5536992;7;1;102;0;0
SNCF01806;Pont-l'Évêque;SNCF;49.2870379;0.1921947;0;5;102;0;0
SNCF01809;Bernay;SNCF;49.087102;0.595634;1;7;102;0;0
SNCF01813;Mézidon;SNCF;49.07100;-0.07496;2;1;102;0;0
SNCF01818;Audrieu;SNCF;49.2161315;-0.5960138;3;2;102;0;0
SNCF01833;Val-de-Reuil;SNCF;49.275437;1.224147;4;0;102;0;0
SNCF01835;Pont-de-l'Arche;SNCF;49.3170928;1.1596559;5;4;102;0;0
SNCF01841;Bourgtheroulde - Thuit-Hébert;SNCF;49.3174381;0.8383198;6;3;102;0;0
SNCF01842;Saint-Victor;SNCF;49.6770346;1.1097122;7;3;102;0;0
SNCF01843;Auffay;SNCF;49.716044;1.098441;0;6;102;0;0
SNCF01844;Longueville-sur-Scie;SNCF;49.7917558;1.1103434;1;5;102;0;0
SNCF01846;Dieppe;SNCF;49.921788;1.081133;2;0;102;0;0
SNCF01853;Yvetot;SNCF;49.622035;0.750115;3;1;102;0;0
SNCF01859;Saint-Laurent - Gainneville;SNCF;49.5285649;0.2522963;4;7;102;0;0
SNCF01860;Harfleur;SNCF;49.5136336;0.1989828;5;0;102;0;0
SNCF01861;Le Havre Graville;SNCF;49.4998007;0.1608551;6;7;102;0;0
SNCF01862;Le Havre;SNCF;49.492996;0.125677;7;2;102;0;0
SNCF01864;Montville;SNCF;49.551284;1.070046;0;1;102;0;0
SNCF01872;Motteville;SNCF;49.6365717;0.8497988;1;3;102;0;0
SNCF01953;Tillières-sur-Avre;SNCF;48.7608617;1.0545647;3;5;102;0;0
SNCF02001;Beaumont-le-Roger;SNCF;49.0741722;0.7727865;4;5;102;0;0
SNCF02002;Romilly-la-Puthenaye;SNCF;49.0039213;0.8548621;5;1;102;0;0
411362;Bueil;SNCF;48.9250943511;1.44379093871;2;7;13;104;0
SNCF02078;Gournay - Ferrières;SNCF;49.4813674;1.7380891;5;0;102;0;0
SNCF02264;Blangy-sur-Bresle;SNCF;49.9326071;1.6259074;4;5;102;0;0
SNCF01777;Flers;SNCF;48.744785;-0.573216;6;3;102;0;0
SNCF01779;Villedieu-les-Poêles;SNCF;48.8340495;-1.225559;7;3;102;0;0
