idExterne;nom;exploitant;latitude;longitude;couleur;couleurEvolution;vCreation;vMaj;vSuppression
SNCF02104;Saint-Martin du Touch;SNCF;43.5997881;1.3718548;0;5;102;0;0
SNCF01053;Luchon;SNCF;42.7972746;0.5964686;7;5;102;0;0
SNCF01057;Saint-Gaudens;SNCF;43.105034;0.729104;0;5;102;0;0
SNCF01059;Lestelle;SNCF;43.1188355;0.9132139;1;4;102;0;0
SNCF01064;Carbonne;SNCF;43.298206;1.212531;2;5;102;0;0
SNCF01070;Limoux Flassian;SNCF;43.0684511;2.2182832;3;2;102;0;0
SNCF01146;Gignac - Cressensac;SNCF;45.0146074;1.4831648;1;4;102;0;0
SNCF01496;Gallieni Cancéropôle;SNCF;43.5730877;1.4195801;4;0;102;0;0
SNCF00004;Cerbère;SNCF;42.4417732;3.1634033;1;0;102;0;0
SNCF00005;Bena Fanes;SNCF;42.4580782;1.9167264;2;4;102;0;0
SNCF00007;Bourg-Madame;SNCF;42.4324069;1.9486704;3;7;102;0;0
SNCF00019;Thuès Carença;SNCF;42.5229486;2.2227279;4;1;102;0;0
SNCF00023;Joncet;SNCF;42.5615245;2.3111464;5;3;102;0;0
SNCF00024;Serdinya;SNCF;42.567023;2.3230869;6;1;102;0;0
SNCF00026;Ria;SNCF;42.6034078;2.3907488;7;2;102;0;0
SNCF00032;Saint-Féliu-d'Avall;SNCF;42.6772874;2.7378217;0;3;102;0;0
SNCF00033;Le Soler;SNCF;42.6787626;2.7930798;1;4;102;0;0
SNCF00034;Banyuls-sur-Mer;SNCF;42.4829582;3.1250496;2;1;102;0;0
SNCF00039;Rivesaltes;SNCF;42.7664405;2.86789;3;5;102;0;0
SNCF00040;Salses;SNCF;42.8356091;2.9174466;4;2;102;0;0
SNCF00043;Belvezet;SNCF;44.5617971;3.7518919;5;0;102;0;0
SNCF00044;Allenc;SNCF;44.541296;3.6638926;6;4;102;0;0
SNCF00049;Chanac;SNCF;44.4739786;3.3454117;7;5;102;0;0
SNCF00050;Les Salelles;SNCF;44.4832687;3.2804008;0;4;102;0;0
SNCF00053;Saint-Georges-de-Luzençon;SNCF;44.066553;2.983784;1;2;102;0;0
SNCF00055;Campagnac - Saint-Geniez;SNCF;44.4219559;3.0664008;2;5;102;0;0
SNCF00067;Le Bousquet-d'Orb;SNCF;43.6912097;3.1689379;4;5;102;0;0
SNCF00068;Lunas;SNCF;43.7095814;3.1948986;5;2;102;0;0
SNCF00069;Les Cabrils;SNCF;43.779707;3.1860831;6;1;102;0;0
SNCF00071;Montpaon;SNCF;43.8685236;3.1097221;7;2;102;0;0
SNCF00076;Coursan;SNCF;43.23369;3.0510465;0;7;102;0;0
SNCF00100;Alès;SNCF;44.127825;4.084948;1;5;102;0;0
SNCF00101;Grand-Combe la Pise;SNCF;44.2098159;4.0329591;2;5;102;0;0
SNCF00104;Chamborigaud;SNCF;44.3002429;3.9793332;3;7;102;0;0
SNCF00114;Saint-Césaire;SNCF;43.8133863;4.3276399;4;1;102;0;0
SNCF00118;Nîmes;SNCF;43.832291;4.365845;5;2;102;0;0
SNCF00127;Lunel-Viel;SNCF;43.6811729;4.0937398;6;0;102;0;0
SNCF00128;Lunel;SNCF;43.679392;4.131086;7;4;102;0;0
SNCF01055;Loures - Barbazan;SNCF;43.021075;0.6104494;5;6;102;0;0
SNCF01056;Montréjeau - Gourdan-Polignan;SNCF;43.078109;0.573500;6;3;102;0;0
SNCF01063;Cazères;SNCF;43.212834;1.083106;7;6;102;0;0
SNCF01066;Le Fauga;SNCF;43.4043288;1.2827183;0;3;102;0;0
SNCF01125;Puybrun;SNCF;44.9216335;1.7841548;3;2;102;0;0
SNCF01127;Vayrac;SNCF;44.9501471;1.7062871;4;2;102;0;0
SNCF00012;Estavar;SNCF;42.4632434;2.0179071;4;3;102;0;0
SNCF00013;Font-Romeu-Odeillo-Via;SNCF;42.4912317;2.0383917;5;3;102;0;0
SNCF00022;Olette - Canaveilles les Bains;SNCF;42.55472;2.2719309;6;4;102;0;0
SNCF00038;Elne;SNCF;42.5971138;2.9635851;7;3;102;0;0
SNCF00046;Mende;SNCF;44.522322;3.5019875;0;5;102;0;0
SNCF00051;Tournemire - Roquefort;SNCF;43.9698002;3.0166261;1;7;102;0;0
SNCF00056;Banassac - La Canourgue;SNCF;44.4477632;3.1958518;2;1;102;0;0
SNCF00059;Marvejols;SNCF;44.5446819;3.2810718;3;4;102;0;0
SNCF00061;Saint-Chély-d'Apcher;SNCF;44.8017375;3.2706895;4;0;102;0;0
SNCF00065;Magalas;SNCF;43.4675998;3.2295415;6;5;102;0;0
SNCF00066;Bédarieux;SNCF;43.6086972;3.1495688;7;0;102;0;0
SNCF00073;Agde;SNCF;43.317280;3.466203;0;4;102;0;0
SNCF00081;Le Grau-du-Roi;SNCF;43.5371273;4.140338;1;7;102;0;0
SNCF00088;Générac;SNCF;43.7324379;4.3434742;2;1;102;0;0
SNCF00096;Fons - Saint-Mamert;SNCF;43.9073195;4.2066687;3;6;102;0;0
SNCF00105;Génolhac;SNCF;44.3471626;3.9516407;4;7;102;0;0
SNCF00106;Villefort;SNCF;44.4395099;3.9240146;5;6;102;0;0
SNCF00107;La Bastide - Saint-Laurent-les-Bains;SNCF;44.5934829;3.9042849;6;2;102;0;0
SNCF00113;Milhaud;SNCF;43.7884886;4.3033268;7;6;102;0;0
SNCF00117;Beaucaire;SNCF;43.80209;4.6470865;0;1;102;0;0
SNCF00119;Frontignan;SNCF;43.444934;3.758689;1;3;102;0;0
SNCF03071;Balsièges Bourg;SNCF;44.4820108;3.4560976;3;2;102;0;0
SNCF00893;Lannemezan;SNCF;43.114273;0.387367;2;4;102;0;0
SNCF00937;Montlaur;SNCF;43.4752405;1.5776454;0;3;102;0;0
SNCF00946;Carmaux;SNCF;44.048782;2.152401;1;0;102;0;0
SNCF00948;Labruguière;SNCF;43.5425692;2.2594728;2;5;102;0;0
SNCF00949;Vielmur-sur-Agout;SNCF;43.623928;2.0895781;3;4;102;0;0
SNCF00953;Marssac-sur-tarn;SNCF;43.9151803;2.026913;4;7;102;0;0
SNCF00959;Lisle-sur-Tarn;SNCF;43.85639;1.80823;5;3;102;0;0
SNCF00960;Carcassonne;SNCF;43.218029;2.351824;6;1;102;0;0
SNCF00961;Quillan;SNCF;42.8739607;2.1815581;7;6;102;0;0
SNCF00963;Tessonnières;SNCF;43.9284209;1.9369531;0;4;102;0;0
SNCF00980;Cordes - Vindrac;SNCF;44.067189;1.900229;1;4;102;0;0
SNCF00983;Lexos;SNCF;44.1423958;1.8851014;2;7;102;0;0
SNCF00995;Capdenac;SNCF;44.5782458;2.0779632;3;6;102;0;0
SNCF00998;Gramat;SNCF;44.7734284;1.7223028;4;2;102;0;0
SNCF01000;Cahors;SNCF;44.449275;1.433325;5;3;102;0;0
SNCF01005;Route de Launaguet;SNCF;43.6354791;1.439154;6;0;102;0;0
SNCF01007;Lardenne;SNCF;43.5966262;1.3839252;7;2;102;0;0
SNCF01012;Valence d'Agen;SNCF;44.1117317;0.8915743;0;6;102;0;0
SNCF01014;Montrabé;SNCF;43.6450204;1.5240482;1;4;102;0;0
SNCF01015;Pibrac;SNCF;43.621364;1.289237;2;0;102;0;0
SNCF01017;Mérenvielle;SNCF;43.6365051;1.1503303;3;6;102;0;0
SNCF01041;Lavilledieu;SNCF;44.0355186;1.2149646;4;7;102;0;0
SNCF01042;Lacourtensourt;SNCF;43.6638838;1.4138687;5;3;102;0;0
SNCF01051;Saint-Agne;SNCF;43.579674;1.450209;6;0;102;0;0
SNCF01789;Saint-Cyprien Arènes;SNCF;43.593438;1.417986;2;6;102;0;0
SNCF00892;Capvern;SNCF;43.1033454;0.3296393;4;3;102;0;0
SNCF00936;Villenouvelle;SNCF;43.4330358;1.661081;5;2;102;0;0
SNCF00943;Baraqueville Carcenac Peyralès;SNCF;44.2704368;2.4275453;6;4;102;0;0
SNCF00945;Tanus;SNCF;44.1003384;2.3151214;7;4;102;0;0
SNCF00962;Gaillac;SNCF;43.905969;1.894855;0;7;102;0;0
SNCF00968;Alet-les-Bains;SNCF;42.9974445;2.2518325;1;7;102;0;0
SNCF00969;Limoux;SNCF;43.0563831;2.2228288;2;0;102;0;0
SNCF00979;Salles-Courbatiès;SNCF;44.4751593;2.0787662;3;4;102;0;0
SNCF00993;Dégagnac;SNCF;44.6534974;1.3400861;4;7;102;0;0
SNCF01002;Montaudran;SNCF;43.5734591;1.4804356;5;7;102;0;0
SNCF01018;L'Isle-Jourdain;SNCF;43.617185;1.089829;6;5;102;0;0
SNCF01020;Aubiet;SNCF;43.6502068;0.7891179;7;5;102;0;0
SNCF01026;Grisolles;SNCF;43.8269619;1.3023292;0;1;102;0;0
SNCF01033;Luzenac - Garanou;SNCF;42.7642849;1.7531248;1;2;102;0;0
SNCF01040;Colomiers;SNCF;43.603734;1.334221;2;3;102;0;0
SNCF01044;Venerque - Le Vernet;SNCF;43.433361;1.426079;3;7;102;0;0
SNCF01049;Pamiers;SNCF;43.116207;1.619451;4;3;102;0;0
SNCF01052;Montauban Ville Bourbon;SNCF;44.014387;1.341496;5;4;102;0;0
SNCF01061;Boussens;SNCF;43.179617;0.972543;3;6;102;0;0
SNCF01123;Laval-de-Cère;SNCF;44.9512118;1.9317113;6;3;102;0;0
SNCF01124;Bretenoux - Biars;SNCF;44.9273692;1.8436871;7;0;102;0;0
SNCF01135;Saint-Denis-lès-Martel;SNCF;44.9459316;1.6663378;3;1;102;0;0
SNCF02106;Le Toec;SNCF;43.5956037;1.4014496;6;5;102;0;0
SNCF00006;Ur les Escaldes;SNCF;42.457481;1.9404821;7;6;102;0;0
SNCF00011;Saillagouse;SNCF;42.4568855;2.0321126;0;3;102;0;0
SNCF00041;Perpignan;SNCF;42.696292;2.879779;1;2;102;0;0
SNCF00045;Bagnols - Chadenet;SNCF;44.5286125;3.628178;2;4;102;0;0
SNCF00052;Saint-Rome-de-Cernon;SNCF;44.013981;2.9673744;3;7;102;0;0
SNCF00054;Sévérac-le-Château;SNCF;44.3246516;3.0569451;4;6;102;0;0
SNCF00057;Le Monastier;SNCF;44.5089682;3.252057;5;1;102;0;0
SNCF00074;Vias;SNCF;43.315653;3.4253562;6;2;102;0;0
SNCF00077;Narbonne;SNCF;43.190387;3.005910;7;2;102;0;0
SNCF00082;Aigues-Mortes;SNCF;43.5709008;4.1912102;0;5;102;0;0
SNCF02105;Les Ramassiers;SNCF;43.6024594;1.3528032;6;4;102;0;0
SNCF02201;Les Cauquillous;SNCF;43.7340198;1.7546798;0;7;102;0;0
SNCF00008;Osséja;SNCF;42.4199665;1.9771166;3;1;102;0;0
SNCF00015;Mont-Louis - La Cabanasse;SNCF;42.5020902;2.1131379;4;5;102;0;0
SNCF00018;Fontpédrouse Saint-Thomas les Bains;SNCF;42.5138062;2.1886585;5;0;102;0;0
SNCF00020;Thuès les Bains;SNCF;42.5288009;2.249094;6;5;102;0;0
SNCF00025;Villefranche - Vernet-les-Bains;SNCF;42.591998;2.370396;7;6;102;0;0
SNCF00030;Ille-sur-Têt;SNCF;42.6682396;2.6242863;0;4;102;0;0
SNCF00035;Port-Vendres;SNCF;42.5136077;3.1025762;1;5;102;0;0
SNCF00036;Collioure;SNCF;42.5269437;3.0782319;2;3;102;0;0
SNCF00037;Argelès-sur-Mer;SNCF;42.543970;3.022349;3;2;102;0;0
SNCF00042;Laissac;SNCF;44.3750307;2.8222251;4;3;102;0;0
SNCF00047;Barjac;SNCF;44.4992638;3.4109786;5;3;102;0;0
SNCF00058;Chirac;SNCF;44.5246607;3.2638181;6;4;102;0;0
SNCF00060;Aumont-Aubrac;SNCF;44.7181699;3.2835489;7;4;102;0;0
SNCF00063;Millau;SNCF;44.102344;3.074570;0;6;102;0;0
SNCF00072;Marseillan Plage;SNCF;43.3181964;3.5355281;1;4;102;0;0
SNCF01054;Marignac - Saint-Béat;SNCF;42.9155675;0.651998;5;2;102;0;0
SNCF01062;Martres-Tolosane;SNCF;43.1962069;1.0167558;6;1;102;0;0
SNCF01065;Longages - Noé;SNCF;43.3563239;1.2519529;7;5;102;0;0
