idExterne;nom;exploitant;latitude;longitude;couleur;couleurEvolution;vCreation;vMaj;vSuppression
SNCF02207;Aix-en-Provence TGV;SNCF;43.455237;5.317534;4;7;102;0;0
SNCF00133;Carpentras;SNCF;44.0499488;5.044141;0;2;102;0;0
SNCF00135;L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse;SNCF;43.917393;5.047615;1;4;102;0;0
SNCF00138;Saint-Saturnin-lès-Avignon;SNCF;43.9531783;4.9352794;2;4;102;0;0
SNCF00146;Avignon Centre;SNCF;43.941900;4.805281;3;1;102;0;0
SNCF00149;Bollène la Croisière;SNCF;44.271525;4.707908;4;0;102;0;0
SNCF00159;Chorges;SNCF;44.5458415;6.2718887;6;5;102;0;0
SNCF00182;Saint-Joseph le Castellas;SNCF;43.3518976;5.3770681;3;4;102;0;0
SNCF00184;Le Bosquet;SNCF;43.5515285;6.9816599;4;6;102;0;0
SNCF00186;Ranguin;SNCF;43.5691636;6.9693134;5;4;102;0;0
SNCF00194;Mandelieu-la-Napoule;SNCF;43.523903;6.941313;6;2;102;0;0
SNCF00199;Le Dramont;SNCF;43.4178193;6.8442467;7;1;102;0;0
SNCF00213;Peille;SNCF;43.7920239;7.3800257;0;6;102;0;0
SNCF00217;Menton Garavan;SNCF;43.785202;7.517297;1;7;102;0;0
SNCF00221;Cap-d'Ail;SNCF;43.7205382;7.3943362;2;3;102;0;0
SNCF00228;Cagnes-sur-Mer;SNCF;43.65813;7.14864;3;1;102;0;0
SNCF00231;Nice Saint-Augustin;SNCF;43.670728;7.216199;4;7;102;0;0
SNCF00232;Nice;SNCF;43.704556;7.261904;5;1;102;0;0
SNCF00237;Vidauban;SNCF;43.4309416;6.4338501;6;1;102;0;0
SNCF00238;Le Luc - Le Cannet;SNCF;43.3902379;6.3430972;7;1;102;0;0
SNCF00245;La Pauline Hyères;SNCF;43.1364769;6.0351027;0;1;102;0;0
SNCF00248;Ollioules - Sanary-sur-Mer;SNCF;43.122586;5.824979;1;3;102;0;0
SNCF00254;Sénas;SNCF;43.7409571;5.0733645;2;7;102;0;0
SNCF00255;Orgon;SNCF;43.7859131;5.0456738;3;0;102;0;0
SNCF00256;Saint-Martin-de-Crau;SNCF;43.6223344;4.8003403;4;0;102;0;0
SNCF00258;Niolon;SNCF;43.340223;5.2569415;5;3;102;0;0
SNCF00261;Sausset-les-Pins;SNCF;43.332864;5.110001;6;1;102;0;0
SNCF00264;Croix Sainte;SNCF;43.4088317;5.0196445;7;3;102;0;0
SNCF00265;Port-de-Bouc;SNCF;43.4071317;4.9846006;0;4;102;0;0
SNCF00277;Saint-Antoine;SNCF;43.3695993;5.3578102;1;6;102;0;0
SNCF00278;Septèmes;SNCF;43.4031137;5.3701756;2;5;102;0;0
SNCF00279;La Ciotat;SNCF;43.199593;5.632647;3;4;102;0;0
SNCF00285;Saint-Louis les Aygalades;SNCF;43.3461208;5.3651173;4;5;102;0;0
SNCF00287;L'Estaque;SNCF;43.363628;5.3213598;5;6;102;0;0
SNCF00290;Gardanne;SNCF;43.455992;5.463332;6;1;102;0;0
SNCF00293;Pertuis;SNCF;43.6845547;5.5037023;7;6;102;0;0
SNCF00297;Château-Arnoux-Saint-Auban;SNCF;44.0615651;5.9973734;0;2;102;0;0
SNCF00299;Marseille Blancarde;SNCF;43.29614391;5.406559;1;4;102;0;0
SNCF00300;Marseille Saint-Charles;SNCF;43.302666;5.380407;2;1;102;0;0
SNCF01304;Arenc Euroméditerranée;SNCF;43.3132339;5.3676221;7;5;102;0;0
SNCF00131;Entraigues-sur-la-Sorgue;SNCF;44.0054278;4.9226971;2;5;102;0;0
SNCF00140;Montfavet;SNCF;43.932635;4.873943;3;4;102;0;0
SNCF00155;Briançon;SNCF;44.889853;6.633007;4;7;102;0;0
SNCF00161;Aspres-sur-Buëch;SNCF;44.519428;5.7545655;5;0;102;0;0
SNCF00185;La Frayère;SNCF;43.5581088;6.9720902;2;4;102;0;0
SNCF00188;Biot;SNCF;43.610951;7.126090;3;7;102;0;0
SNCF00189;Antibes;SNCF;43.585784;7.119498;4;3;102;0;0
SNCF00191;Golfe Juan Vallauris;SNCF;43.566501;7.073578;5;1;102;0;0
SNCF00192;Cannes;SNCF;43.553839;7.019682;6;4;102;0;0
SNCF00197;Anthéor Cap Roux;SNCF;43.4349641;6.8921036;7;2;102;0;0
SNCF00198;Agay;SNCF;43.4313701;6.8564997;0;4;102;0;0
SNCF00201;Saint-Raphaël Valescure;SNCF;43.423560;6.769083;1;0;102;0;0
SNCF00206;La Brigue;SNCF;44.0625669;7.6056235;2;3;102;0;0
SNCF00211;Touët-de-l'Escarène;SNCF;43.8470835;7.364363;3;6;102;0;0
SNCF00214;Peillon - Sainte-Thècle;SNCF;43.767846;7.366807;4;3;102;0;0
SNCF00224;Villefranche-sur-Mer;SNCF;43.707061;7.314129;5;1;102;0;0
SNCF00233;Nice Saint Roch;SNCF;43.715342;7.286869;6;5;102;0;0
SNCF00234;Hyères;SNCF;43.108867;6.124223;7;5;102;0;0
SNCF00242;Puget-Ville;SNCF;43.283085;6.1384483;0;3;102;0;0
SNCF00246;La Garde;SNCF;43.1187044;6.0100767;1;4;102;0;0
SNCF00268;Istres;SNCF;43.5153953;4.9804272;2;0;102;0;0
SNCF00272;Berre;SNCF;43.5008861;5.1789508;3;0;102;0;0
SNCF00274;Miramas;SNCF;43.580704;5.000264;4;3;102;0;0
SNCF00282;La Penne-sur-Huveaune;SNCF;43.2846765;5.5155698;5;2;102;0;0
SNCF00286;Séon Saint-Henri;SNCF;43.3624191;5.3399592;6;1;102;0;0
SNCF00291;Aix-en-Provence;SNCF;43.522912;5.445345;7;6;102;0;0
SNCF00294;Manosque - Gréoux-les-Bains;SNCF;43.8231945;5.7933241;0;3;102;0;0
SNCF03084;Nice Pont Michel;SNCF;43.72049;7.29159;0;3;102;0;0
SNCF01885;Mouans-Sartoux;SNCF;43.620318;6.974114;6;4;102;0;0
SNCF01824;Vitrolles Aéroport Marseille Provence;SNCF;43.441734;5.237122;5;2;102;0;0
SNCF02191;Monte-Carlo Country Club;SNCF;43.7543539;7.4482077;5;0;102;0;0
SNCF02208;Avignon TGV;SNCF;43.921586;4.786079;1;4;102;0;0
SNCF00134;Cavaillon;SNCF;43.834554;5.043613;5;6;102;0;0
SNCF00136;Le Thor;SNCF;43.9265047;4.9962663;6;5;102;0;0
