idGare;idLigne;ordre;PDLFond;PDLPoint;vCreation;vMaj;vSuppression
SNCF02207;SNCF_PACA_U;0;0;0;106;0;0
SNCF00133;SNCF_PACA_U;0;0;0;106;0;0
SNCF00135;SNCF_PACA_U;0;0;0;106;0;0
SNCF00138;SNCF_PACA_U;0;0;0;106;0;0
SNCF00146;SNCF_PACA_U;0;0;0;106;0;0
SNCF00149;SNCF_PACA_U;0;0;0;106;0;0
SNCF00159;SNCF_PACA_U;0;0;0;106;0;0
SNCF00182;SNCF_PACA_U;0;0;0;106;0;0
SNCF00184;SNCF_PACA_U;0;0;0;106;0;0
SNCF00186;SNCF_PACA_U;0;0;0;106;0;0
SNCF00194;SNCF_PACA_U;0;0;0;106;0;0
SNCF00199;SNCF_PACA_U;0;0;0;106;0;0
SNCF00213;SNCF_PACA_U;0;0;0;106;0;0
SNCF00217;SNCF_PACA_U;0;0;0;106;0;0
SNCF00221;SNCF_PACA_U;0;0;0;106;0;0
SNCF00228;SNCF_PACA_U;0;0;0;106;0;0
SNCF00231;SNCF_PACA_U;0;0;0;106;0;0
SNCF00232;SNCF_PACA_U;0;0;0;106;0;0
SNCF00237;SNCF_PACA_U;0;0;0;106;0;0
SNCF00238;SNCF_PACA_U;0;0;0;106;0;0
SNCF00245;SNCF_PACA_U;0;0;0;106;0;0
SNCF00248;SNCF_PACA_U;0;0;0;106;0;0
SNCF00254;SNCF_PACA_U;0;0;0;106;0;0
SNCF00255;SNCF_PACA_U;0;0;0;106;0;0
SNCF00256;SNCF_PACA_U;0;0;0;106;0;0
SNCF00258;SNCF_PACA_U;0;0;0;106;0;0
SNCF00261;SNCF_PACA_U;0;0;0;106;0;0
SNCF00264;SNCF_PACA_U;0;0;0;106;0;0
SNCF00265;SNCF_PACA_U;0;0;0;106;0;0
SNCF00277;SNCF_PACA_U;0;0;0;106;0;0
SNCF00278;SNCF_PACA_U;0;0;0;106;0;0
SNCF00279;SNCF_PACA_U;0;0;0;106;0;0
SNCF00285;SNCF_PACA_U;0;0;0;106;0;0
SNCF00287;SNCF_PACA_U;0;0;0;106;0;0
SNCF00290;SNCF_PACA_U;0;0;0;106;0;0
SNCF00293;SNCF_PACA_U;0;0;0;106;0;0
SNCF00297;SNCF_PACA_U;0;0;0;106;0;0
SNCF00299;SNCF_PACA_U;0;0;0;106;0;0
SNCF00300;SNCF_PACA_U;0;0;0;106;0;0
SNCF01304;SNCF_PACA_U;0;0;0;106;0;0
SNCF00131;SNCF_PACA_U;0;0;0;106;0;0
SNCF00140;SNCF_PACA_U;0;0;0;106;0;0
SNCF00155;SNCF_PACA_U;0;0;0;106;0;0
SNCF00161;SNCF_PACA_U;0;0;0;106;0;0
SNCF00185;SNCF_PACA_U;0;0;0;106;0;0
SNCF00188;SNCF_PACA_U;0;0;0;106;0;0
SNCF00189;SNCF_PACA_U;0;0;0;106;0;0
SNCF00191;SNCF_PACA_U;0;0;0;106;0;0
SNCF00192;SNCF_PACA_U;0;0;0;106;0;0
SNCF00197;SNCF_PACA_U;0;0;0;106;0;0
SNCF00198;SNCF_PACA_U;0;0;0;106;0;0
SNCF00201;SNCF_PACA_U;0;0;0;106;0;0
SNCF00206;SNCF_PACA_U;0;0;0;106;0;0
SNCF00211;SNCF_PACA_U;0;0;0;106;0;0
SNCF00214;SNCF_PACA_U;0;0;0;106;0;0
SNCF00224;SNCF_PACA_U;0;0;0;106;0;0
SNCF00233;SNCF_PACA_U;0;0;0;106;0;0
SNCF00234;SNCF_PACA_U;0;0;0;106;0;0
SNCF00242;SNCF_PACA_U;0;0;0;106;0;0
SNCF00246;SNCF_PACA_U;0;0;0;106;0;0
SNCF00268;SNCF_PACA_U;0;0;0;106;0;0
SNCF00272;SNCF_PACA_U;0;0;0;106;0;0
SNCF00274;SNCF_PACA_U;0;0;0;106;0;0
SNCF00282;SNCF_PACA_U;0;0;0;106;0;0
SNCF00286;SNCF_PACA_U;0;0;0;106;0;0
SNCF00291;SNCF_PACA_U;0;0;0;106;0;0
SNCF00294;SNCF_PACA_U;0;0;0;106;0;0
SNCF03084;SNCF_PACA_U;0;0;0;106;0;0
SNCF01885;SNCF_PACA_U;0;0;0;106;0;0
SNCF01824;SNCF_PACA_U;0;0;0;106;0;0
SNCF02191;SNCF_PACA_U;0;0;0;106;0;0
SNCF02208;SNCF_PACA_U;0;0;0;106;0;0
SNCF00134;SNCF_PACA_U;0;0;0;106;0;0
SNCF00136;SNCF_PACA_U;0;0;0;106;0;0
SNCF00142;SNCF_PACA_U;0;0;0;106;0;0
SNCF00153;SNCF_PACA_U;0;0;0;106;0;0
SNCF00154;SNCF_PACA_U;0;0;0;106;0;0
SNCF00158;SNCF_PACA_U;0;0;0;106;0;0
SNCF00183;SNCF_PACA_U;0;0;0;106;0;0
SNCF00193;SNCF_PACA_U;0;0;0;106;0;0
SNCF00196;SNCF_PACA_U;0;0;0;106;0;0
SNCF00200;SNCF_PACA_U;0;0;0;106;0;0
SNCF00207;SNCF_PACA_U;0;0;0;106;0;0
SNCF00208;SNCF_PACA_U;0;0;0;106;0;0
SNCF00210;SNCF_PACA_U;0;0;0;106;0;0
SNCF00215;SNCF_PACA_U;0;0;0;106;0;0
SNCF00216;SNCF_PACA_U;0;0;0;106;0;0
SNCF00225;SNCF_PACA_U;0;0;0;106;0;0
SNCF00226;SNCF_PACA_U;0;0;0;106;0;0
SNCF00227;SNCF_PACA_U;0;0;0;106;0;0
SNCF00230;SNCF_PACA_U;0;0;0;106;0;0
SNCF00235;SNCF_PACA_U;0;0;0;106;0;0
SNCF00236;SNCF_PACA_U;0;0;0;106;0;0
