idExterne;nom;exploitant;latitude;longitude;couleur;couleurEvolution;vCreation;vMaj;vSuppression
47247;Saint-Mandé;RATP;48.8462772858;2.42035081438;0;3;13;107;0
45676;Concorde;RATP;48.8662858046;2.32294341224;1;4;13;107;0
42210;Anvers (Sacré-Cœur);RATP;48.8828686476;2.34413063372;2;0;13;107;0
47334;Jean Rostand;RATP;48.9078125468;2.45435282652;3;7;13;107;0
44603;La Remise à Jorelle;SNCF;48.8930946286;2.48791098763;4;7;13;107;0
47370;Les Coteaux;RATP;48.8574714089;2.22060356003;5;0;13;107;0
46521;Les Pavillons-sous-Bois;SNCF;48.9024441906;2.51169930327;6;5;13;107;0
43805;Libération;RATP;48.9069318321;2.43862449586;7;1;13;107;0
44137;Meudon-sur-Seine;RATP;48.8191743291;2.23859833779;0;3;13;107;0
44471;Pont de Bondy;RATP;48.9047032038;2.46997154361;1;6;13;107;0
44892;Stade Charléty (Porte de Gentilly);RATP;48.8195005096;2.34580358025;2;4;13;107;0
44662;Rome;RATP;48.8822269008;2.32127492677;3;7;13;107;0
44146;Monceau;RATP;48.8804494561;2.30945116799;4;3;13;107;0
44310;Père Lachaise;RATP;48.862949833;2.387434951;5;2;13;107;0
58718;Havre - Caumartin;RATP;48.8738067339;2.32699985888;6;5;13;107;0
59370;Malesherbes;RATP;48.8828919175;2.30905226455;7;2;13;107;0
51613;Louise Michel;RATP;48.8887060198;2.28808363305;0;5;13;107;0
42280;Barbès - Rochechouart;RATP;48.8837344657;2.34963614827;1;4;13;107;0
417675;Les Halles;RATP;48.8623162796;2.34567382821;2;4;13;107;0
44799;Saint-Germain-des-Prés;RATP;48.853718934;2.33377613822;3;1;13;107;0
44997;Vavin;RATP;48.8422184136;2.32900892624;4;1;13;107;0
44183;Mouton-Duvernet;RATP;48.8311126604;2.32970501262;5;4;13;107;0
43069;Asnières-sur-Seine;SNCF;48.9056639491;2.28357280996;6;0;13;107;0
52244;Parc de stationnement PX (Terminal 2 - Gare);Transdev;49.01004496;2.57064006889;7;6;13;107;0
42315;Belvédère;RATP;48.8760012917;2.22595909514;0;1;13;107;0
46115;Danton;RATP;48.9227111893;2.40662275371;1;7;13;107;0
43285;Georges Brassens;RATP;48.8298263791;2.29566198307;2;5;13;107;0
47933;Freinville - Sevran;SNCF;48.926640202;2.51910376383;3;4;13;107;0
43373;Hôpital Avicenne;RATP;48.9158378929;2.42500989427;4;7;13;107;0
44594;Ranelagh;RATP;48.8554850495;2.27010913895;5;0;13;107;0
42589;Chaussée d'Antin - La Fayette;RATP;48.8729681408;2.33325709179;6;3;13;107;0
45205;Saint-Ambroise;RATP;48.8610192599;2.37473343128;7;5;13;107;0
44072;Maraîchers;RATP;48.8527251193;2.40608916324;0;2;13;107;0
42380;Boulogne - Jean Jaurès;RATP;48.8420053473;2.23888732852;1;5;13;107;0
42674;Cluny - La Sorbonne;RATP;48.8510502823;2.34427334542;2;3;13;107;0
44923;Télégraphe;RATP;48.8754744576;2.39886759934;3;5;13;107;0
44396;Place des Fêtes;RATP;48.8768063892;2.39305609332;4;3;13;107;0
43483;Jourdain;RATP;48.875111816;2.38941502932;5;0;13;107;0
44050;Mairie d'Issy;RATP;48.8241050307;2.27304152378;6;3;13;107;0
45170;Trinité-d'Estienne d'Orves;RATP;48.8763179623;2.3325430273;7;1;13;130;0
44345;Pigalle;RATP;48.8824426909;2.3370851365;0;7;13;107;0
42155;Abbesses (Butte Montmartre);RATP;48.884594208;2.33794977706;1;4;13;130;0
43489;Jules Joffrin;RATP;48.8924395905;2.34465700413;2;7;13;107;0
45487;Brochant;RATP;48.8905871866;2.32017475579;3;6;13;107;0
42874;Duroc;RATP;48.8468548549;2.31663467111;4;1;13;107;0
45131;Varenne;RATP;48.8568713792;2.31505663732;5;4;13;107;0
44372;Place de Clichy;RATP;48.8834300138;2.32722833572;6;5;13;107;0
43548;La Fourche;RATP;48.8871839469;2.32577967481;7;1;13;107;0
44864;Saint-Fargeau;RATP;48.8721014421;2.40451494238;0;5;13;107;0
45609;Buttes Chaumont;RATP;48.878514114;2.38161451329;1;0;13;107;0
43211;Vaires - Torcy;SNCF;48.8752082655;2.63759072126;2;6;13;107;0
46572;Ozoir-la-Ferrière;SNCF;48.7707789162;2.6902527822;3;4;13;107;0
43131;Gretz-Armainvilliers;SNCF;48.7464523207;2.72722937143;4;0;13;107;0
47962;Trilport;SNCF;48.9602264907;2.95006038275;5;0;13;107;0
47327;Couilly - Saint-Germain - Quincy;SNCF;48.8826810449;2.85431592783;6;2;13;107;0
47943;Mouroux;SNCF;48.8137984812;3.04293826741;7;6;13;107;0
43117;Coulommiers;SNCF;48.8085020653;3.08034301057;0;3;13;107;0
45267;Chevaleret;RATP;48.8349477223;2.36812632906;1;3;13;107;0
45274;Corvisart;RATP;48.8297905137;2.35041487065;2;3;13;107;0
42414;Cadet;RATP;48.8758906819;2.34412603046;3;0;13;107;0
43656;Le Peletier;RATP;48.8748743434;2.34019988439;4;7;13;107;0
44491;Pont Neuf (La Monnaie);RATP;48.8585538273;2.34223275799;5;3;13;107;0
44487;Pont Marie (Cité des Arts);RATP;48.8535754734;2.35716256888;6;0;13;107;0
44435;Place Monge (Jardin des Plantes - Arènes de Lutèce);RATP;48.8428668307;2.35222472818;7;2;13;107;0
58740;Tolbiac;RATP;48.8264260109;2.35724565076;0;7;13;107;0
43898;Madeleine;RATP;48.8700997328;2.32516410954;1;2;13;107;0
42237;Opéra;RATP;48.8706776818;2.33235463926;2;7;13;107;0
44160;Montgallet;RATP;48.8444086721;2.39007511282;3;5;13;107;0
44140;Michel Bizot;RATP;48.837117007;2.40233316592;4;0;13;107;0
42334;Billancourt;RATP;48.8321105601;2.23863934858;5;0;13;107;0
47115;Saint-Martin-d'Étampes;SNCF;48.4273625842;2.1452465929;6;4;13;107;0
45759;Essonnes - Robinson;SNCF;48.6055558264;2.46245649414;7;0;13;107;0
45820;Le Plessis-Chenet;SNCF;48.5738077936;2.4794691696;0;1;13;107;0
45824;Le Coudray-Montceaux;SNCF;48.5661178207;2.49271300288;1;7;13;125;0
43092;Boigneville;SNCF;48.3416635464;2.37881544464;2;5;13;107;0
47903;Garancières - La Queue;SNCF;48.8104024635;1.76505675794;3;7;13;107;0
46984;Bonnières;SNCF;49.0387620448;1.58153210234;4;5;13;107;0
47916;Andrésy;SNCF;48.9748208646;2.04908312149;5;4;13;107;0
43090;Bessancourt;SNCF;49.0353113094;2.21024652104;6;1;13;107;0
47582;Méry-sur-Oise;SNCF;49.0580478163;2.19124476186;7;6;13;113;0
43075;Enghien-les-Bains;SNCF;48.9727491189;2.30713703345;0;1;13;107;0
47119;Bagneaux-sur-Loing;SNCF;48.2295499402;2.7039360516;1;3;13;107;0
47954;Saint-Nom-la-Bretèche - Forêt de Marly;SNCF;48.8677920986;2.05076784532;2;6;13;107;0
47885;Plaisir - Grignon;SNCF;48.8319161843;1.94440175262;3;2;13;107;0
47914;Longueville;SNCF;48.513754591;3.25003498258;4;7;13;107;0
45763;Boissise-le-Roi;SNCF;48.5297469168;2.57207366546;5;4;13;107;0
45804;Livry-sur-Seine;SNCF;48.5102651753;2.67897398269;6;5;13;107;0
43107;Chartrettes;SNCF;48.4870763952;2.69503731381;7;2;13;107;0
47911;Fontainebleau - Avon;SNCF;48.4163770339;2.72666153308;0;2;13;107;0
47953;Saint-Mammés;SNCF;48.3823580058;2.81595676708;1;5;13;107;0
47882;Épône - Mézières;SNCF;48.9633441128;1.80909450877;2;0;13;107;0
47881;Les Mureaux;SNCF;48.9925919556;1.91353050671;3;6;13;107;0
47790;Bougival;SNCF;48.8542517026;2.13213244527;4;7;13;107;0
47934;Gravigny-Balizy;SNCF;48.6857136282;2.31762640359;5;4;13;107;0
43132;Grigny-Centre;SNCF;48.6539697584;2.39617681109;6;3;13;107;0
43091;Bièvres;SNCF;48.751023276;2.21586085326;7;6;13;107;0
45735;Vigneux-sur-Seine;SNCF;48.7083664326;2.4143588798;0;1;13;107;0
47046;La Hacquinière;RATP;48.6952641221;2.15164203998;1;7;13;107;0
43103;Bures-sur-Yvette;RATP;48.6962527469;2.16437824279;2;5;13;107;0
47905;Bouray;SNCF;48.5328901041;2.29008251383;3;1;13;107;0
44645;Louvre - Rivoli;RATP;48.8608062913;2.34110859163;4;1;13;107;0
43283;George V;RATP;48.8720238095;2.30056045125;5;0;13;107;0
42213;Argentine;RATP;48.8755940499;2.28932258961;6;7;13;107;0
42772;Couronnes;RATP;48.8690911629;2.38054258599;7;0;13;107;0
411280;Lycée Henri Sellier;SNCF;48.9160965041;2.51506144619;0;3;13;107;0
44325;Petit Noisy;RATP;48.9004173041;2.46546048136;1;4;13;107;0
43462;Jean Moulin;RATP;48.8247110182;2.31882969174;2;5;13;107;0
44931;Ternes;RATP;48.8779727014;2.29831037512;3;1;13;107;0
45020;Victor Hugo;RATP;48.8697985565;2.28533509469;4;7;13;107;0
43055;Gambetta;RATP;48.8649166851;2.39898444025;5;0;13;107;0
58725;Parmentier;RATP;48.8652537861;2.37458197;6;0;13;107;0
44587;Quatre-Septembre;RATP;48.8695852435;2.33621884752;7;2;13;107;0
42972;Europe (Simone Veil);RATP;48.8787703685;2.32226521312;0;6;13;130;0
44515;Porte de Clignancourt;RATP;48.8974022229;2.34484774875;1;6;13;107;0
44600;Réaumur - Sébastopol;RATP;48.866235133;2.3525493044;2;4;13;107;0
58716;Odéon;RATP;48.8521672611;2.33964633593;3;0;13;107;0
45120;Saint-Sulpice;RATP;48.8516722456;2.33125629137;4;1;13;107;0
44901;Stalingrad;RATP;48.8839952205;2.36891270331;5;7;13;107;0
43417;Jacques Bonsergent;RATP;48.8708099836;2.36102746278;6;0;13;107;0
46520;Allée de la Tour - Rendez-vous;SNCF;48.8971438185;2.50640824702;7;3;13;107;0
46327;Cimetière de Saint-Denis;RATP;48.9363891471;2.3636407022;0;3;13;107;0
42866;Drancy-Avenir;RATP;48.9177837253;2.41769109334;1;6;13;107;0
44857;Saint-Augustin;RATP;48.8745583847;2.3213619281;2;0;13;107;0
44617;République;RATP;48.8675034238;2.36382614398;3;5;13;107;0
45193;Oberkampf;RATP;48.8647276207;2.36849638711;4;5;13;107;0
42560;Charonne;RATP;48.8545804991;2.38556348082;5;0;13;107;0
44052;Mairie de Montreuil;RATP;48.8619369132;2.4413109399;6;1;13;107;0
45430;Mirabeau;RATP;48.8471310082;2.27276375332;7;2;13;107;0
51612;Ségur;RATP;48.8470661332;2.30740224062;0;5;13;107;0
45116;Vaneau;RATP;48.8488163725;2.32125786291;1;7;13;107;0
44828;Sèvres - Babylone;RATP;48.8513788297;2.32693524475;2;1;13;107;0
44119;Maubert-Mutualité;RATP;48.8501273229;2.34805429322;3;4;13;107;0
42435;Cardinal Lemoine;RATP;48.8466568513;2.35162325638;4;7;13;107;0
42759;Corentin Celton;RATP;48.8270854489;2.27941168205;5;4;13;107;0
44273;Pasteur;RATP;48.8429206191;2.31260704965;6;5;13;107;0
45704;Assemblée Nationale;RATP;48.8607869626;2.32099819197;7;2;13;107;0
44210;Notre-Dame-de-Lorette;RATP;48.8760262116;2.33788648907;0;5;13;107;0
43600;Lamarck - Caulaincourt;RATP;48.8896740757;2.33876065323;1;5;13;107;0
44012;Mairie de Clichy;RATP;48.9033300946;2.30592414987;2;5;13;107;0
43511;Miromesnil;RATP;48.8736852106;2.31446798957;3;5;13;107;0
44525;Porte de Saint-Ouen;RATP;48.8973747955;2.32894281278;4;7;13;107;0
43252;Garibaldi;RATP;48.9060940502;2.33183083796;5;6;13;107;0
42369;Botzaris;RATP;48.8794817719;2.38911580738;6;1;13;107;0
43161;Meaux;SNCF;48.9572688642;2.87344818875;7;4;13;107;0
47486;Lizy-sur-Ourcq;SNCF;49.0217572695;3.03175844584;0;6;13;107;0
46731;Compans;SNCF;48.9913914029;2.66505986931;1;0;13;107;0
45232;Bercy;RATP;48.8403020934;2.37912177644;2;7;13;107;0
44192;Nationale;RATP;48.8332167197;2.36285639952;3;4;13;107;0
45276;Glacière;RATP;48.831129548;2.34351165775;4;7;13;107;0
45315;Saint-Jacques;RATP;48.8329008157;2.33713519471;5;2;13;107;0
44343;Pierre et Marie Curie;RATP;48.815930763;2.37726720015;6;2;13;107;0
53207;Villejuif - Paul Vaillant-Couturier (Hôpital Paul Brousse);RATP;48.7964830846;2.36826954005;7;0;13;107;0
44642;Richelieu - Drouot;RATP;48.8720134638;2.34005178574;0;3;13;107;0
58727;Filles du Calvaire;RATP;48.863257945;2.36666109472;1;3;13;107;0
45208;Saint-Sébastien Froissart;RATP;48.8611688655;2.36721086641;2;3;13;107;0
42980;Faidherbe - Chaligny;RATP;48.8501778619;2.38409221007;3;5;13;107;0
44067;Maisons-Alfort - Les Juilliottes;RATP;48.8026376907;2.44692748424;4;2;13;107;0
45712;Créteil - L'Échat (Hôpital Mondor);RATP;48.7967407666;2.44943317569;5;0;13;107;0
43134;Guillerval;SNCF;48.3745250134;2.05991234764;6;0;13;107;0
45850;Le Bras de Fer - Évry - Génépole;SNCF;48.623332241;2.45140908881;7;5;13;107;0
47899;Mennecy;SNCF;48.570596856;2.43209852691;0;7;13;107;0
47895;Boutigny;SNCF;48.4344906129;2.37667281716;1;4;13;107;0
43086;Orsay-Ville;RATP;48.6975056708;2.18105443904;2;5;13;107;0
43212;Val-d'Argenteuil;SNCF;48.9503043535;2.23111003501;3;6;13;107;0
43229;Les Essarts-le-Roi;SNCF;48.7219159611;1.89000456506;4;6;13;107;0
43185;Rambouillet;SNCF;48.6442219526;1.83293547037;5;0;13;107;0
47921;Orgerus - Béhoust;SNCF;48.8265784281;1.70321842548;6;5;13;107;0
43100;Breval;SNCF;48.9432369891;1.54138115647;7;5;13;107;0
47929;Chanteloup-Les-Vignes;SNCF;48.9703669331;2.02751877569;0;5;13;107;0
43201;Saint-Gratien;SNCF;48.9635896849;2.28593071957;1;6;13;107;0
43143;La Frette - Montigny;SNCF;48.9802635207;2.18001238078;2;4;13;107;0
47603;Herblay;SNCF;48.9902899964;2.16190660559;3;2;13;107;0
47596;Épluches;SNCF;49.0551017596;2.12273590692;4;7;13;107;0
47595;Pont-Petit;SNCF;49.0605916812;2.13087413428;5;7;13;107;0
46482;Gros Noyer - Saint-Prix;SNCF;48.9960988426;2.25965561906;6;3;13;107;0
43206;Taverny;SNCF;49.024778547;2.22272732219;7;6;13;107;0
47580;Frépillon;SNCF;49.0454302542;2.19708767832;0;1;13;107;0
43133;Groslay;SNCF;48.9843159639;2.35340724858;1;0;13;107;0
43079;Éragny-Neuville;SNCF;49.0183491636;2.09090606335;2;1;13;107;0
57674;Petit-Jouy - Les-Loges;SNCF;48.7704252066;2.14683164469;3;7;13;107;0
43136;Jouy-en-Josas;SNCF;48.7647760129;2.16394708452;4;1;13;107;0
