idGare;idLigne;ordre;PDLFond;PDLPoint;vCreation;vMaj;vSuppression
47247;A01534;23;11;1;13;64;0
45676;A01534;11;11;1;13;64;0
45676;A01541;10;11;1;13;65;0
45676;A01545;14;11;1;13;65;0
42210;A01535;12;11;1;13;64;0
47334;A01191;33;11;1;13;140;0
44603;A01761;2;11;1;13;66;0
47370;A01192;12;11;1;13;66;0
46521;A01761;5;11;1;13;66;0
43805;A01191;30;11;1;13;140;0
44137;A01192;17;11;1;13;66;0
44471;A01191;35;11;1;13;140;0
44892;A01193;13;11;1;13;66;0
44662;A01535;8;11;1;13;64;0
44146;A01535;6;11;1;13;64;0
44310;A01535;21;11;1;13;64;0
44310;A01536;22;11;1;13;64;0
58718;A01536;11;11;1;13;64;0
58718;A01542;19;11;1;13;65;0
59370;A01536;7;11;1;13;64;0
51613;A01536;3;11;1;13;64;0
42280;A01535;13;11;1;13;64;0
42280;A01537;5;11;1;13;64;0
417675;A01537;12;11;1;13;64;0
44799;A01537;17;11;1;13;64;0
44997;A01537;21;11;1;13;64;0
44183;A01537;24;11;1;13;64;0
43069;A01852;38;11;1;13;130;0
43069;A02176;37;11;1;13;64;0
52244;A01516;4;11;1;13;64;0
42315;A01192;10;11;1;13;66;0
46115;A01191;22;11;1;13;140;0
43285;A01193;5;11;1;13;66;0
47933;A01761;9;44;21;13;141;0
43373;A01191;26;11;1;13;140;0
44594;A01542;9;11;1;13;65;0
42589;A01540;15;11;1;13;65;0
42589;A01542;20;11;1;13;65;0
45205;A01542;27;11;1;13;65;0
44072;A01542;33;11;1;13;65;0
42380;A01543;2;41;1;13;65;0
42674;A01543;19;11;1;13;65;0
44923;A01544;11;11;1;13;65;0
44396;A01550;6;44;22;13;64;0
44396;A01544;10;11;1;13;65;0
43483;A01544;9;11;1;13;65;0
44050;A01545;29;1;1;13;65;0
45170;A01545;11;11;1;13;65;0
44345;A01535;11;11;1;13;64;0
44345;A01545;8;11;1;13;65;0
42155;A01545;7;11;1;13;65;0
43489;A01545;5;11;1;13;65;0
45487;A01546;6;22;21;13;65;0
42874;A01543;14;11;1;13;65;0
42874;A01546;24;11;1;13;65;0
45131;A01546;22;11;1;13;65;0
44372;A01535;9;11;1;13;64;0
44372;A01546;16;11;1;13;65;0
43548;A01546;15;14;1;13;65;0
44864;A01549;2;11;1;13;64;0
45609;A01550;4;11;1;13;64;0
43211;A01844;20;11;1;13;66;0
46572;A01843;20;22;21;13;66;0
43131;A01843;21;22;21;13;66;0
47962;A01844;12;14;1;13;66;0
47327;A01844;16;44;11;13;66;0
47943;A01844;35;33;11;13;66;0
43117;A01844;36;3;11;13;66;0
45267;A01539;21;11;1;13;65;0
45274;A01539;18;11;1;13;65;0
42414;A01540;13;11;1;13;65;0
43656;A01540;14;11;1;13;65;0
44491;A01540;19;11;1;13;65;0
44487;A01540;21;11;1;13;65;0
44435;A01540;24;11;1;13;65;0
58740;A01540;28;11;1;13;65;0
43898;A01541;11;11;1;13;65;0
43898;A01545;13;11;1;13;65;0
43898;A01547;2;11;1;13;64;0
42237;A01536;12;11;1;13;64;0
42237;A01540;16;11;1;13;65;0
42237;A01541;12;11;1;13;65;0
44160;A01541;25;11;1;13;65;0
44140;A01541;27;11;1;13;65;0
42334;A01542;2;11;1;13;65;0
47115;A01840;75;24;11;13;66;0
45759;A01842;43;44;21;13;130;0
45820;A01842;45;44;21;13;130;0
45824;A01842;46;44;21;13;130;0
43092;A01842;58;11;1;13;66;0
47903;A01847;6;22;21;13;64;0
46984;A01852;51;11;1;13;130;0
47916;A01852;24;44;21;13;66;0
43090;A01849;15;44;21;13;130;0
47582;A01849;13;44;21;13;130;0
43075;A01849;34;11;1;13;130;0
47119;A01845;21;33;11;13;130;0
47954;A02176;4;41;1;13;130;0
47885;A01847;15;14;1;13;64;0
47914;A01844;26;44;21;13;66;0
45763;A01842;49;44;21;13;130;0
45804;A01845;3;44;21;13;130;0
43107;A01845;4;44;21;13;130;0
47911;A01845;14;11;1;13;130;0
47953;A01845;17;39;21;13;130;0
47882;A01852;47;21;1;13;130;0
47882;A01847;10;44;11;13;64;0
47881;A01852;45;11;1;13;130;0
47790;A02176;9;33;11;13;130;0
47934;A01840;56;44;21;13;66;0
43132;A01842;38;44;21;13;130;0
43091;A01840;61;44;21;13;66;0
45735;A01842;32;13;1;13;130;0
47046;A01857;44;33;11;13;66;0
43103;A01857;43;33;11;13;66;0
47905;A01840;70;44;11;13;66;0
44645;A01534;14;11;1;13;64;0
43283;A01534;8;11;1;13;64;0
42213;A01534;6;11;1;13;64;0
42772;A01535;19;11;1;13;64;0
411280;A01761;7;44;21;13;141;0
44325;A01191;36;11;1;13;140;0
43462;A01193;9;11;1;13;66;0
44931;A01535;4;11;1;13;64;0
45020;A01535;2;11;1;13;64;0
43055;A01536;23;11;1;13;64;0
43055;A01549;4;1;1;13;64;0
58725;A01536;20;11;1;13;64;0
44587;A01536;13;11;1;13;64;0
42972;A01536;9;11;1;13;64;0
44515;A01537;1;10;1;13;64;0
44600;A01536;16;11;1;13;64;0
44600;A01537;10;11;1;13;64;0
58716;A01537;16;11;1;13;64;0
58716;A01543;18;11;1;13;65;0
45120;A01537;18;11;1;13;64;0
44901;A01535;15;11;1;13;64;0
44901;A01538;9;11;1;13;64;0
44901;A01540;8;11;1;13;65;0
43417;A01538;12;11;1;13;64;0
46520;A01761;4;11;1;13;66;0
46327;A01191;16;11;1;13;140;0
42866;A01191;25;11;1;13;140;0
44857;A01542;18;11;1;13;65;0
44617;A01536;19;11;1;13;64;0
44617;A01538;13;11;1;13;64;0
44617;A01541;17;11;1;13;65;0
44617;A01542;25;11;1;13;65;0
44617;A01544;5;11;1;13;65;0
45193;A01538;14;11;1;13;64;0
45193;A01542;26;11;1;13;65;0
42560;A01542;29;11;1;13;65;0
44052;A01542;37;1;1;13;65;0
45430;A01543;8;44;22;13;65;0
51612;A01543;13;11;1;13;65;0
45116;A01543;15;11;1;13;65;0
44828;A01543;16;11;1;13;65;0
44828;A01545;18;11;1;13;65;0
44119;A01543;20;11;1;13;65;0
42435;A01543;21;11;1;13;65;0
42759;A01545;28;11;1;13;65;0
44273;A01539;11;11;1;13;65;0
44273;A01545;23;11;1;13;65;0
45704;A01545;15;11;1;13;65;0
44210;A01545;10;11;1;13;65;0
43600;A01545;6;11;1;13;65;0
44012;A01546;4;22;21;13;65;0
43511;A01542;17;11;1;13;65;0
43511;A01546;19;11;1;13;65;0
44525;A01546;13;44;11;13;65;0
43252;A01546;12;44;11;13;65;0
42369;A01550;5;41;1;13;64;0
43161;A01844;13;21;1;13;66;0
47486;A01844;4;22;21;13;66;0
46731;A02175;7;11;1;13;64;0
45232;A01539;23;11;1;13;65;0
45232;A01547;6;11;1;13;64;0
44192;A01539;20;11;1;13;65;0
45276;A01539;17;11;1;13;65;0
45315;A01539;16;11;1;13;65;0
44343;A01540;33;44;11;13;65;0
53207;A01540;37;22;21;13;65;0
44642;A01541;13;11;1;13;65;0
44642;A01542;21;11;1;13;65;0
58727;A01541;18;11;1;13;65;0
45208;A01541;19;11;1;13;65;0
42980;A01541;23;11;1;13;65;0
44067;A01541;34;11;1;13;65;0
45712;A01541;35;11;1;13;65;0
43134;GL;0;0;0;13;0;0
45850;A01842;41;44;21;13;130;0
47899;A01842;52;11;1;13;66;0
47895;A01842;55;11;1;13;66;0
43086;A01857;42;33;11;13;66;0
43212;A01852;31;21;1;13;130;0
43229;A01847;21;44;21;13;64;0
43185;A01847;19;43;21;13;64;0
47921;A01847;5;22;21;13;64;0
43100;GL;0;0;0;13;0;0
47929;A01852;23;44;21;13;66;0
43201;A01840;21;44;11;13;66;0
43143;A01852;29;11;1;13;66;0
47603;A01852;28;11;1;13;66;0
47596;A01849;24;11;1;13;130;0
47595;A01849;23;11;1;13;130;0
46482;A01849;19;44;21;13;130;0
43206;A01849;16;44;21;13;130;0
47580;A01849;14;44;21;13;130;0
43133;A01849;46;44;21;13;130;0
43079;A01852;14;33;11;13;66;0
57674;A01840;64;39;21;13;66;0
43136;A01840;63;44;21;13;66;0
43221;A01847;17;11;1;13;64;0
43181;A01847;16;11;1;13;64;0
43198;A01856;12;43;21;13;64;0
47967;A01842;50;39;21;13;130;0
47125;A01845;18;33;11;13;130;0
47966;A01852;42;11;1;13;130;0
58871;A02176;8;33;11;13;130;0
47948;A01842;35;44;11;13;130;0
45745;A01842;37;44;11;13;130;0
43232;A01857;41;33;11;13;66;0
43226;A01842;23;44;21;13;130;0
43098;A01840;68;41;1;13;66;0
43149;A01840;71;44;11;13;66;0
47927;A01840;72;44;11;13;66;0
43234;A01856;31;44;21;13;64;0
43101;A01856;38;33;11;13;64;0
43154;A01842;17;11;1;13;66;0
47767;A02176;17;44;21;13;64;0
47767;A01855;5;11;1;13;66;0
47969;A02176;35;44;11;13;64;0
411396;A02175;1;10;1;13;64;0
58786;A02134;18;1;1;13;66;0
46286;A01842;19;11;1;13;66;0
50800;A02149;12;11;1;13;66;0
47688;A02134;8;11;1;13;66;0
58781;A02134;15;11;1;13;66;0
415806;A02150;5;22;21;13;66;0
42846;A02149;8;11;1;13;66;0
47694;A02134;5;11;1;13;66;0
43785;A01534;4;11;1;13;64;0
44637;A01534;20;11;1;13;64;0
44637;A01541;24;11;1;13;65;0
42582;A01534;25;1;1;13;64;0
43157;A01852;49;12;1;13;130;0
43157;A01847;9;42;11;13;64;0
47925;A01840;79;22;21;13;66;0
47959;A01847;4;22;21;13;64;0
44481;A01542;1;10;1;13;65;0
43142;A01842;54;11;1;13;66;0
53783;A01856;15;44;21;13;64;0
43068;A01840;77;22;21;13;66;0
43156;A01842;56;11;1;13;66;0
46983;A01852;50;11;1;13;130;0
46832;GL;0;0;0;13;0;0
47894;A01844;14;42;11;13;66;0
46736;A02175;5;11;1;13;64;0
47205;A01844;33;33;11;13;66;0
44371;A01538;22;1;1;13;64;0
44371;A01539;19;11;1;13;65;0
44371;A01540;27;11;1;13;65;0
47199;A01844;34;33;11;13;66;0
43247;A01844;31;33;11;13;66;0
47942;A01844;32;33;11;13;66;0
42871;A01539;7;11;1;13;65;0
43498;A01539;2;11;1;13;65;0
45417;A01539;5;11;1;13;65;0
44069;A01546;31;11;1;13;65;0
43246;A01844;10;44;11;13;66;0
43969;A01546;11;44;11;13;65;0
45234;A01547;7;11;1;13;64;0
42447;A01546;10;44;11;13;65;0
43148;A01844;19;11;1;13;66;0
44867;A01545;9;11;1;13;65;0
44609;A01545;19;11;1;13;65;0
43152;A01856;42;33;11;13;64;0
43814;A01546;17;11;1;13;65;0
43310;A01541;14;11;1;13;65;0
43310;A01542;22;11;1;13;65;0
45100;A01541;15;11;1;13;65;0
45100;A01542;23;11;1;13;65;0
47891;A01540;2;11;1;13;65;0
44579;A01540;17;11;1;13;65;0
44579;A01547;3;11;1;13;64;0
42461;A01540;25;11;1;13;65;0
43409;A01541;8;11;1;13;65;0
42885;A01541;7;11;1;13;65;0
42583;A01540;10;11;1;13;65;0
44057;A01540;29;41;1;13;65;0
45165;A01540;12;11;1;13;65;0
43196;A02176;18;14;1;13;64;0
43196;A01855;4;11;1;13;66;0
43172;A01856;37;33;11;13;64;0
51238;A01852;37;11;1;13;130;0
43171;A01856;17;44;21;13;64;0
43227;A01840;42;11;1;13;66;0
43176;A01843;4;11;1;13;66;0
54249;A01852;44;11;1;13;130;0
44602;A02176;13;43;21;13;64;0
47447;A01852;27;14;1;13;66;0
43245;A01845;20;33;11;13;130;0
47915;A01856;2;22;21;13;65;0
43144;A01845;10;44;21;13;130;0
43192;A01840;54;41;1;13;66;0
43167;A02176;14;44;21;13;64;0
47961;A01845;15;11;1;13;130;0
47145;A01845;6;44;21;13;130;0
46477;A01849;33;12;1;13;130;0
47884;A01847;18;31;1;13;64;0
43123;A01845;5;44;21;13;130;0
46975;A01852;16;44;21;13;66;0
43237;A01856;13;44;21;13;64;0
47883;A01840;7;11;1;13;66;0
45812;A01842;48;44;21;13;130;0
47181;A01844;29;34;21;13;66;0
47963;A01849;17;44;21;13;130;0
46857;A01847;14;44;11;13;64;0
47940;A01857;36;33;11;13;66;0
47940;A01840;49;84;21;13;66;0
43188;A01840;66;11;1;13;66;0
48489;A01842;39;44;21;13;130;0
43094;A01856;35;34;21;13;64;0
43202;A01840;67;11;1;13;66;0
43159;A01840;69;44;11;13;66;0
46552;A01843;14;22;21;13;66;0
47059;A01840;58;44;21;13;66;0
43080;A01840;74;44;11;13;66;0
58873;A01842;24;44;21;13;130;0
42587;A01534;15;11;1;13;64;0
42587;A01537;13;11;1;13;64;0
42587;A01540;20;11;1;13;65;0
42587;A01544;1;10;1;13;65;0
42587;A01547;4;11;1;13;64;0
44055;A01544;13;1;1;13;65;0
42311;A01535;18;11;1;13;64;0
42311;A01544;7;11;1;13;65;0
42265;A01543;11;11;1;13;65;0
43493;A01540;23;11;1;13;65;0
43493;A01543;22;11;1;13;65;0
42751;A01545;26;11;1;13;65;0
59379;A01543;17;11;1;13;65;0
44580;A01544;8;11;1;13;65;0
42410;A01542;32;11;1;13;65;0
43128;A01761;6;41;1;13;66;0
44583;A01538;18;11;1;13;64;0
45056;A01535;7;11;1;13;64;0
45056;A01536;8;11;1;13;64;0
44095;A01191;14;11;1;13;140;0
44095;A01760;16;1;1;13;66;0
44479;A01534;3;11;1;13;64;0
415851;A01534;16;11;1;13;64;0
415851;A01544;2;11;1;13;65;0
44125;A01191;24;11;1;13;140;0
42387;A01193;6;11;1;13;66;0
46100;A01191;19;11;1;13;140;0
52382;A01191;29;11;1;13;140;0
47936;A01761;8;44;21;13;141;0
42271;A01535;24;11;1;13;64;0
44236;A01534;13;11;1;13;64;0
44236;A01540;18;11;1;13;65;0
42344;A01538;2;11;1;13;64;0
47130;A01845;16;41;1;13;130;0
42288;A01534;18;11;1;13;64;0
42288;A01538;17;11;1;13;64;0
42288;A01541;21;11;1;13;65;0
411375;A01844;2;22;21;13;66;0
45739;A01840;53;11;1;13;66;0
45739;A01842;33;11;1;13;130;0
44641;A01538;15;11;1;13;64;0
44951;A01516;2;11;1;13;64;0
45581;A01538;7;11;1;13;64;0
44227;A01538;6;11;1;13;64;0
46847;A01847;8;22;21;13;64;0
43147;A01847;23;44;21;13;64;0
43147;A01855;11;1;1;13;66;0
46850;A01847;7;22;21;13;64;0
43220;A01840;4;42;11;13;66;0
46884;A01847;13;44;11;13;64;0
43209;A01847;24;44;21;13;64;0
43209;A01855;10;11;1;13;66;0
43119;A01849;47;44;21;13;130;0
47920;A01849;20;84;21;13;130;0
43183;A01840;5;44;11;13;66;0
47118;A01845;22;33;11;13;130;0
46689;A02176;15;44;21;13;64;0
46689;A02149;1;10;1;13;66;0
47880;A02176;10;33;11;13;130;0
47937;A02176;6;33;11;13;130;0
43248;A02176;7;33;11;13;130;0
43225;A01842;34;41;1;13;130;0
43109;A01840;57;44;21;13;66;0
47945;A01840;55;44;21;13;66;0
46395;A01840;52;11;1;13;66;0
47009;A01857;38;33;11;13;66;0
47873;A01857;40;33;11;13;66;0
43241;A02176;16;44;21;13;64;0
43241;A01855;6;11;1;13;66;0
47052;A01857;46;33;11;13;66;0
44801;A01856;30;44;21;13;64;0
43135;A01856;29;44;21;13;64;0
47886;A01856;28;44;21;13;64;0
43110;A01840;43;41;1;13;66;0
47907;A01840;46;44;21;13;66;0
46299;A01840;45;44;21;13;66;0
46298;A01840;44;44;21;13;66;0
58270;A01856;32;44;21;13;64;0
47665;A01842;28;44;21;13;130;0
47964;A01852;43;11;1;13;130;0
45771;A01842;26;44;21;13;130;0
43106;A01845;8;44;21;13;130;0
43218;A01845;9;44;21;13;130;0
47654;A01845;12;13;1;13;130;0
45784;A01842;30;44;21;13;130;0
47184;A01844;24;44;21;13;66;0
47158;A01844;25;44;21;13;66;0
42516;A01842;29;44;21;13;130;0
43116;A01852;30;11;1;13;130;0
47906;A01842;40;44;21;13;130;0
43217;A01852;21;44;21;13;66;0
43115;A01842;42;44;1;13;130;0
45761;A01842;51;13;1;13;130;0
47875;A01852;34;14;1;13;130;0
43087;A01842;53;11;1;13;66;0
43137;A01852;18;44;21;13;66;0
43151;A01852;15;93;21;13;66;0
43121;A01840;83;22;21;13;66;0
43112;A02176;38;11;1;13;64;0
43179;A01842;11;11;1;13;66;0
