idExterne;nom;type;ordre;couleur;vCreation;vMaj;vSuppression
A01534;Métro 1;Metro;1012010;#FFCD00;13;130;0
A01541;Métro 8;Metro;1012080;#E19BDF;13;130;0
A01545;Métro 12;Metro;1012120;#007852;13;130;0
A01535;Métro 2;Metro;1012020;#003CA6;13;130;0
A01191;Tramway T1;Tramway;1043010;#003CA6;13;130;0
A01761;Tramway T4;Tramway;1043040;#F2AF00;13;130;0
A01192;Tramway T2;Tramway;1043020;#CF009E;13;130;0
A01193;Tramway T3a;Tramway;1043031;#FF7E2E;13;130;0
A01536;Métro 3;Metro;1012030;#837902;13;130;0
A01542;Métro 9;Metro;1012090;#B6BD00;13;130;0
A01537;Métro 4;Metro;1012040;#CF009E;13;130;0
A01852;Transilien J;Train;1037000;#CDCD00;13;130;0
A02176;Transilien L;Train;1037200;#7584BC;13;130;0
A01516;CDGVAL;Navette;1059105;#FFCD00;13;130;0
A01540;Métro 7;Metro;1012070;#FA9ABA;13;130;0
A01543;Métro 10;Metro;1012100;#C9910D;13;130;0
A01544;Métro 11;Metro;1012110;#704B1C;13;130;0
A01550;Métro 7bis;Metro;1012078;#6ECA97;13;130;0
A01546;Métro 13;Metro;1012130;#6EC4E8;13;130;0
A01549;Métro 3bis;Metro;1012038;#6EC4E8;13;130;0
A01844;Transilien P;Train;1037600;#F0B600;13;130;0
A01843;RER E;RER;1026500;#BD76A1;13;130;0
A01539;Métro 6;Metro;1012060;#6ECA97;13;130;0
A01547;Métro 14;Metro;1012140;#62259D;13;130;0
A01840;RER C;RER;1026300;#FCD946;13;130;0
A01842;RER D;RER;1026400;#5E9620;13;130;0
A01847;Transilien N;Train;1037400;#00A092;13;130;0
A01849;Transilien H;Train;1036800;#7B4339;13;130;0
A01845;Transilien R;Train;1037800;#E4B4D1;13;130;0
A01857;RER B;RER;1026200;#427DBD;13;130;0
A01538;Métro 5;Metro;1012050;#FF7E2E;13;130;0
A02175;Transilien K;Train;1037100;#C7B300;13;130;0
GL;Grandes Lignes;Train;1996000;#333333;13;130;0
A01856;RER A;RER;1026100;#D1302F;13;130;0
A01855;Transilien U;Train;1038100;#D60058;13;130;0
A02134;Tramway T7;Tramway;1043070;#704B1C;13;130;0
A02149;Tramway T6;Tramway;1043060;#E2231A;13;130;0
A02150;Tramway T8;Tramway;1043080;#837902;13;130;0
A01760;Tramway T5;Tramway;1043050;#62259D;13;130;0
A01551;orlyval;Navette;1059549;#FFCD00;13;130;0
A01757;Tramway T3b;Tramway;1043032;#00AE41;13;130;0
A01548;Funiculaire de Montmartre;Funiculaire;1069468;#CF009E;13;130;0
A02160;Tramway T11;Tramway;1043117;#E31818;112;130;0
