idExterne;nom;exploitant;latitude;longitude;couleur;couleurEvolution;vCreation;vMaj;vSuppression
SNCF02206;Penhoët;SNCF;47.2907444;-2.2008664;3;2;102;0;0
SNCF01206;La Chapelle - Aulnay;SNCF;47.3087224;-1.5414844;2;6;102;0;0
SNCF01208;Babinière;SNCF;47.2591762;-1.5452842;3;4;102;0;0
SNCF01209;Haluchère Batignolles;SNCF;47.249142;-1.5224436;4;1;102;0;0
SNCF01543;Chantonnay;SNCF;46.6898472;-1.0544144;5;7;102;0;0
SNCF01544;Bournezeau;SNCF;46.6518258;-1.1806169;6;0;102;0;0
SNCF01546;La Chaize-le-Vicomte;SNCF;46.676779;-1.2820678;7;3;102;0;0
SNCF01572;Varades - Saint-Florent-le-Vieil;SNCF;47.3744471;-1.019712;3;6;102;0;0
SNCF01583;Le Vieux Briollay;SNCF;47.5739696;-0.4829396;4;5;102;0;0
SNCF01590;Saint-Étienne-de-Montluc;SNCF;47.2747167;-1.7857107;5;0;102;0;0
SNCF01595;La Baule-Escoublac;SNCF;47.288690;-2.389102;6;0;102;0;0
SNCF01601;La Croix de Méan;SNCF;47.300426;-2.1932575;7;2;102;0;0
SNCF01604;Abbaretz;SNCF;47.5546432;-1.5244159;0;3;102;0;0
SNCF01606;Sucé-sur-Erdre;SNCF;47.3431347;-1.5299873;1;7;102;0;0
SNCF01610;Clisson;SNCF;47.086142;-1.286172;2;1;102;0;0
SNCF01611;Gorges;SNCF;47.1001487;-1.3058778;3;1;102;0;0
SNCF01617;Pornic;SNCF;47.1145616;-2.0975565;4;2;102;0;0
SNCF01619;Les Moutiers-en-Retz;SNCF;47.0618983;-2.0009628;5;1;102;0;0
SNCF01622;Sainte-Pazanne;SNCF;47.1055419;-1.8138744;6;4;102;0;0
SNCF01628;Le Cellier;SNCF;47.3135164;-1.3506694;7;1;102;0;0
SNCF01632;Chantenay;SNCF;47.1971227;-1.5943634;0;1;102;0;0
SNCF01636;Port-Brillet;SNCF;48.1106724;-0.9740682;1;5;102;0;0
SNCF01662;Saint-Gildas-des-bois;SNCF;47.516614;-2.0438923;6;3;102;0;0
SNCF01663;Sévérac;SNCF;47.5498647;-2.072707;7;6;102;0;0
SNCF01755;Massérac;SNCF;47.6745316;-1.9144441;3;6;102;0;0
SNCF01890;Mayet;SNCF;47.7601465;0.2659384;4;1;102;0;0
SNCF01897;La Suze;SNCF;47.8919891;0.0266367;5;4;102;0;0
SNCF01900;La Ferté-Bernard;SNCF;48.1864887;0.639711;6;1;102;0;0
SNCF01902;Connerré - Beillé;SNCF;48.0745;0.48730;7;0;102;138;0
SNCF01528;Les Rosiers-sur-Loire;SNCF;47.3625386;-0.2205371;0;5;102;0;0
SNCF01530;Montreuil-Bellay;SNCF;47.1254181;-0.1482834;1;4;102;0;0
SNCF01532;Pouzauges;SNCF;46.7523536;-0.8146784;2;3;102;0;0
SNCF01541;La Mothe-Achard;SNCF;46.6068648;-1.6596359;3;2;102;0;0
SNCF01549;L'Herbergement - Les Brouzils;SNCF;46.9069172;-1.3712431;4;1;102;0;0
SNCF01550;La Roche-sur-Yon;SNCF;46.672120;-1.435621;5;0;102;0;0
SNCF01578;Chemillé;SNCF;47.217748;-0.731989;2;5;102;0;0
SNCF01599;Saint-Nazaire;SNCF;47.286412;-2.211096;3;0;102;0;0
SNCF01603;Issé;SNCF;47.6268289;-1.45068;4;0;102;0;0
SNCF01608;Montaigu;SNCF;46.983705;-1.316236;5;0;102;0;0
SNCF01613;La Haie-Fouassière;SNCF;47.1615899;-1.392195;6;0;102;0;0
SNCF01623;Port-Saint-Père - Saint-Mars;SNCF;47.1164915;-1.7393069;7;3;102;0;0
SNCF01631;La Basse Indre - Saint-Herblain;SNCF;47.2040872;-1.6603088;0;7;102;0;0
SNCF01635;Saint-Pierre-la-Cour;SNCF;48.1135968;-1.0252972;1;5;102;0;0
SNCF01637;Le Genest;SNCF;48.0967372;-0.8858084;2;3;102;0;0
SNCF01638;Voutré;SNCF;48.1340521;-0.2921804;3;1;102;0;0
SNCF01756;Beslé;SNCF;47.6988788;-1.8706374;7;4;102;0;0
SNCF01892;Écommoy;SNCF;47.8246286;0.2691867;0;7;102;0;0
SNCF01898;Voivres;SNCF;47.9304199;0.0853466;1;0;102;0;0
SNCF01901;Sceaux - Boëssé;SNCF;48.1221004;0.5724063;3;2;102;0;0
SNCF01907;Sillé-le-Guillaume;SNCF;48.1818735;-0.1289696;4;6;102;0;0
SNCF01908;Crissé;SNCF;48.1681334;-0.0659101;5;3;102;0;0
SNCF01909;Conlie;SNCF;48.1272909;-0.0113736;6;4;102;0;0
SNCF01910;Domfront;SNCF;48.1076766;0.0262592;7;2;102;0;0
SNCF01916;Neuville;SNCF;48.0705577;0.1997294;0;3;102;0;0
SNCF01888;Château-du-Loir;SNCF;47.683392;0.414912;5;4;102;0;0
SNCF01889;Vaas;SNCF;47.6707702;0.3165096;6;2;102;0;0
SNCF01903;Montfort-le-Gesnois;SNCF;48.0405657;0.4064237;7;2;102;0;0
SNCF01905;Champagné;SNCF;48.0197118;0.3352253;0;1;102;0;0
SNCF01906;Rouessé-Vassé;SNCF;48.1602933;-0.1995868;1;6;102;0;0
SNCF01526;Saint-Mathurin;SNCF;47.4122473;-0.3182267;4;2;102;0;0
SNCF01531;Saumur;SNCF;47.26900;-0.07136;5;3;102;0;0
SNCF01545;Fougeré;SNCF;46.6653044;-1.2319718;7;6;102;0;0
SNCF01548;Belleville-sur-Vie;SNCF;46.788316;-1.4346673;0;2;102;0;0
SNCF01573;Ingrandes sur Loire;SNCF;47.4056382;-0.9210198;1;4;102;0;0
SNCF01576;Savennières - Béhuard;SNCF;47.3817332;-0.6540004;2;7;102;0;0
SNCF01577;Cholet;SNCF;47.065698;-0.869583;3;1;102;0;0
SNCF01579;Chalonnes;SNCF;47.34306;-0.74306;4;5;102;0;0
SNCF01581;Étriché - Châteauneuf;SNCF;47.6567082;-0.4608993;5;2;102;0;0
SNCF01582;Tiercé;SNCF;47.617532;-0.469347;6;4;102;0;0
SNCF01584;Écouflant;SNCF;47.5039036;-0.5194782;7;0;102;0;0
SNCF01585;Angers Maître École;SNCF;47.4670899;-0.531894;0;3;102;0;0
SNCF01587;Pontchâteau;SNCF;47.435399;-2.088201;1;4;102;0;0
SNCF01588;Savenay;SNCF;47.358590;-1.950957;2;1;102;0;0
SNCF01594;Le Pouliguen;SNCF;47.2825404;-2.4331446;3;7;102;0;0
SNCF01596;Pornichet;SNCF;47.2705354;-2.3445765;4;5;102;0;0
SNCF01597;Donges;SNCF;47.3086552;-2.0719096;5;3;102;0;0
SNCF01600;La Baule les Pins;SNCF;47.2835196;-2.3648441;6;7;102;0;0
SNCF01602;Châteaubriant;SNCF;47.7175212;-1.3715152;7;4;102;0;0
SNCF01607;La Chapelle Centre;SNCF;47.2972029;-1.548012;0;2;102;0;0
SNCF01612;Le Pallet;SNCF;47.143831;-1.346898;1;2;102;0;0
SNCF01615;Challans;SNCF;46.843962;-1.871879;2;5;102;0;0
SNCF01618;La Bernerie-en-Retz;SNCF;47.0832616;-2.0341408;3;6;102;0;0
SNCF01625;Ancenis;SNCF;47.369334;-1.177763;4;3;102;0;0
SNCF01626;Oudon;SNCF;47.3433655;-1.291992;5;2;102;0;0
SNCF01627;Boussay - La Bruffière;SNCF;47.0505741;-1.1828046;6;4;102;0;0
SNCF01629;Mauves-sur-Loire;SNCF;47.2930211;-1.3893042;7;2;102;0;0
SNCF01633;Rezé Pont Rousseau;SNCF;47.1932425;-1.5495445;0;2;102;0;0
SNCF01634;Nantes;SNCF;47.217030;-1.541745;1;7;102;138;0
SNCF01639;Évron;SNCF;48.155501;-0.397338;2;7;102;0;0
SNCF01640;Neau;SNCF;48.1574807;-0.4766725;3;7;102;0;0
SNCF01891;Aubigné-Racan;SNCF;47.686945;0.2657714;2;7;102;0;0
SNCF01893;Laigné - Saint-Gervais;SNCF;47.8740074;0.2172097;3;1;102;0;0
SNCF01894;Arnage;SNCF;47.9285663;0.1898826;4;2;102;0;0
SNCF01895;Sablé-sur-Sarthe;SNCF;47.8415934;-0.3419359;5;0;102;0;0
SNCF01896;Noyen;SNCF;47.8744544;-0.0981755;6;3;102;0;0
SNCF01904;Saint-Mars-la-Brière;SNCF;48.0285239;0.3656778;7;3;102;0;0
SNCF01917;Le Mans;SNCF;47.995242;0.192154;0;7;102;138;0
SNCF02102;Saint-Sébastien Frêne Rond;SNCF;47.1903914;-1.4957437;5;7;102;0;0
SNCF02103;Saint-Sébastien Pas Enchantés;SNCF;47.2069513;-1.5109069;6;3;102;0;0
SNCF01911;La Hutte Coulombiers;SNCF;48.303495;0.1056788;3;7;102;0;0
SNCF01913;Teillé;SNCF;48.1812341;0.1913397;4;2;102;0;0
SNCF01915;La Guierche;SNCF;48.1138773;0.1931016;5;0;102;0;0
