idGare;idLigne;ordre;PDLFond;PDLPoint;vCreation;vMaj;vSuppression
SNCF02206;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01206;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01208;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01209;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01543;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01544;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01546;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01572;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01583;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01590;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01595;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01601;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01604;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01606;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01610;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01611;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01617;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01619;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01622;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01628;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01632;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01636;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01662;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01663;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01755;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01890;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01897;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01900;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01902;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01528;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01530;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01532;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01541;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01549;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01550;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01578;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01599;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01603;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01608;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01613;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01623;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01631;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01635;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01637;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01638;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01756;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01892;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01898;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01901;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01907;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01908;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01909;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01910;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01916;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01888;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01889;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01903;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01905;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01906;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01526;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01531;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01545;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01548;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01573;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01576;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01577;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01579;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01581;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01582;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01584;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01585;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01587;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01588;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01594;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01596;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01597;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01600;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01602;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01607;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01612;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01615;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01618;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01625;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01626;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01627;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01629;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01633;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01634;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01639;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01640;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01891;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01893;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01894;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01895;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01896;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01904;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01917;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF02102;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF02103;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01911;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01913;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01915;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01589;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01593;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01598;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01609;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01614;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01616;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01620;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01621;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01624;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01630;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01643;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01661;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01912;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01914;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF03209;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF03085;SNCF_PaysLoire_U;0;0;0;0;0;136
SNCF01527;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01529;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01538;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01539;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01540;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01574;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01575;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01580;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01586;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01591;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01592;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01605;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01641;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01642;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01207;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01536;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01537;SNCF_PaysLoire_U;0;0;0;106;0;0
SNCF01547;SNCF_PaysLoire_U;0;0;0;106;0;0
TANStopArea:BDOU;Ligne_TAN1-0;26;11;1;129;132;0
TANStopArea:BJOI;Ligne_TAN1-0;34;2;21;129;132;0
TANStopArea:BLVU;Ligne_TAN1-0;8;22;21;129;132;0
TANStopArea:BOFA;Ligne_TAN1-0;20;11;1;129;132;0
TANStopArea:CNAV;Ligne_TAN1-0;17;11;1;129;132;0
TANStopArea:COMM;Ligne_TAN1-0;19;11;1;129;132;0
TANStopArea:DCAN;Ligne_TAN1-0;21;11;1;129;132;0
TANStopArea:DCFF;Ligne_TAN1-0;15;11;1;129;132;0
TANStopArea:EGLI;Ligne_TAN1-0;14;11;1;129;132;0
TANStopArea:FMIT;Ligne_TAN1-0;1;20;21;129;132;0
TANStopArea:FRAC;Ligne_TAN1-0;4;22;21;129;132;0
TANStopArea:GMAR;Ligne_TAN1-0;16;11;1;129;132;0
SNCF01634;Ligne_TAN1-0;22;11;1;129;132;0
TANStopArea:HALU;Ligne_TAN1-0;31;41;1;0;0;136
TANStopArea:HAVE;Ligne_TAN1-0;33;22;21;129;132;0
TANStopArea:HBLI;Ligne_TAN1-0;25;11;1;129;132;0
TANStopArea:JAME;Ligne_TAN1-0;12;42;11;129;132;0
TANStopArea:JMLI;Ligne_TAN1-0;11;22;21;129;132;0
TANStopArea:LAUR;Ligne_TAN1-0;10;22;21;129;132;0
TANStopArea:LDRE;Ligne_TAN1-0;28;11;1;129;132;0
TANStopArea:MDOU;Ligne_TAN1-0;27;11;1;129;132;0
TANStopArea:MDTH;Ligne_TAN1-0;18;11;1;129;132;0
TANStopArea:MNFA;Ligne_TAN1-0;23;11;1;129;132;0
TANStopArea:MOUT;Ligne_TAN1-0;24;11;1;129;132;0
TANStopArea:NRDA;Ligne_TAN1-0;5;22;21;129;132;0
TANStopArea:PISE;Ligne_TAN1-0;30;11;1;129;132;0
TANStopArea:RAZA;Ligne_TAN1-0;32;24;11;129;132;0
