idExterne;nom;exploitant;latitude;longitude;couleur;couleurEvolution;vCreation;vMaj;vSuppression
DIDOK8506013;Aadorf;DIDOK;47.4881184580185;8.90328407799366;0;6;142;0;0
DIDOK8502113;Aarau;DIDOK;47.391346872589565;8.051266237379327;1;6;142;0;0
DIDOK8519685;Aarau Torfeld;DIDOK;47.39356171289915;8.062630004095864;2;7;142;0;0
DIDOK8504404;Aarberg;DIDOK;47.04453700704713;7.278695914846084;3;2;142;0;0
DIDOK8502000;Aarburg-Oftringen;DIDOK;47.32025826810463;7.908216432773684;4;5;142;0;0
DIDOK8530801;Aareschlucht Ost MIB;DIDOK;46.712001304190025;8.217895237257261;5;1;142;0;0
DIDOK8530760;Aareschlucht West;DIDOK;46.72125340826104;8.19857770397291;6;7;142;0;0
DIDOK8508153;Aarwangen;DIDOK;47.24087539724517;7.769619283992406;7;0;142;0;0
DIDOK8502644;Aarwangen Hard;DIDOK;47.23526041907316;7.773533217648354;0;6;142;0;0
DIDOK8508154;Aarwangen Schloss;DIDOK;47.24518289046124;7.763622792440711;1;2;142;0;0
DIDOK8508193;Aarwangen Vorstadt;DIDOK;47.23748852120469;7.771315220815546;2;4;142;0;0
DIDOK8503124;Aathal;DIDOK;47.335947987841834;8.765609569766953;3;1;142;0;0
DIDOK8505180;Acla da Fontauna;DIDOK;46.69716695302232;8.845780599214736;4;7;142;0;0
DIDOK8503096;Adliswil;DIDOK;47.312304170942795;8.524163955651229;5;0;142;0;0
DIDOK8508085;Aefligen;DIDOK;47.0954987182298;7.559505303974159;6;1;142;0;0
DIDOK8508449;Aemsigen;DIDOK;46.97052460098233;8.271227613547472;7;2;142;0;0
DIDOK8500117;Aesch;DIDOK;47.46773655230576;7.6030675723587535;0;5;142;0;0
DIDOK8588758;Aesch BL, Arlesheimerstrasse;DIDOK;47.47891827821731;7.594956278456249;1;5;142;0;0
DIDOK8500255;Aesch BL, Dorf;DIDOK;47.469570884921644;7.596905333841934;2;0;142;0;0
DIDOK8588760;Aesch BL, Herrenweg;DIDOK;47.47375307826231;7.596917711007871;3;6;142;0;0
DIDOK8502224;Affoltern am Albis;DIDOK;47.27605568067677;8.4465817839992;4;6;142;0;0
DIDOK8508275;Affoltern-Weier;DIDOK;47.062103109214696;7.749957521508544;5;4;142;0;0
DIDOK8505395;Agno;DIDOK;45.995927997861706;8.900925307899625;6;2;142;0;0
DIDOK8501400;Aigle;DIDOK;46.31685364833998;6.963666574032858;7;4;142;0;0
DIDOK8501468;Aigle-Château;DIDOK;46.3163566634238;6.9805486550483495;0;5;142;0;0
DIDOK8501484;Aigle-Dépôt;DIDOK;46.3182875989794;6.97536497533043;1;4;142;0;0
DIDOK8530335;Aigle-Hôpital;DIDOK;46.3104676282203;6.9660461982592015;2;7;142;0;0
DIDOK8517484;Aigle-Parc Aventure;DIDOK;46.31530002902481;6.986217998637064;3;6;142;0;0
DIDOK8501554;Aigle-Place-du-Marché;DIDOK;46.31724133772386;6.970336482320505;4;1;142;0;0
DIDOK8505201;Airolo;DIDOK;46.527518082670795;8.608604511653098;5;3;142;0;0
DIDOK8504072;Albeuve;DIDOK;46.51793304545295;7.055423218095533;7;6;142;0;0
DIDOK8506220;Algetshausen-Henau;DIDOK;47.44854286008913;9.10992473424621;0;2;142;0;0
DIDOK8501035;Allaman;DIDOK;46.47574910859567;6.399703361107254;1;0;142;0;0
DIDOK8500186;Alle;DIDOK;47.42414444728321;7.1283462116626675;2;6;142;0;0
DIDOK8501378;Allières;DIDOK;46.46982400576655;7.007891349549024;4;7;142;0;0
DIDOK8507550;Allmend;DIDOK;46.59403326042978;7.9319722335849105;5;4;142;0;0
DIDOK8578160;Allschwil, Binningerstrasse;DIDOK;47.55211729009797;7.539759328134386;6;1;142;0;0
DIDOK8587001;Allschwil, Dorf;DIDOK;47.55112171142411;7.536555855978606;7;6;142;0;0
DIDOK8578174;Allschwil, Gartenstrasse;DIDOK;47.55253601213039;7.5442637246446935;0;3;142;0;0
DIDOK8589286;Allschwil, Kirche;DIDOK;47.55397481616532;7.553978142883431;1;2;142;0;0
DIDOK8589287;Allschwil, Lindenplatz;DIDOK;47.55766471522725;7.56040336045595;2;0;142;0;0
DIDOK8589288;Allschwil, Merkurstrasse;DIDOK;47.55580624607809;7.557263681811315;3;6;142;0;0
DIDOK8589290;Allschwil, Ziegelei;DIDOK;47.55163299378217;7.548220799044266;4;7;142;0;0
DIDOK8509357;Alp Grüm;DIDOK;46.37475033149223;10.031136281799679;5;0;142;0;0
DIDOK8507375;Alpiglen;DIDOK;46.600105004899675;8.001903157992366;6;1;142;0;0
DIDOK8508316;Alpnach Dorf;DIDOK;46.940638720596645;8.275243547928584;7;3;142;0;0
DIDOK8508317;Alpnachstad;DIDOK;46.955030890743686;8.27783239711642;0;3;142;0;0
DIDOK8508458;Alpnachstad PB;DIDOK;46.95549442459966;8.277182737642306;1;7;142;0;0
DIDOK8505113;Altdorf;DIDOK;46.87574132506463;8.631565289319656;2;1;142;0;0
DIDOK8503211;Altendorf;DIDOK;47.19395799198213;8.822888320432979;3;4;142;0;0
DIDOK8506389;Alter Zoll;DIDOK;47.368540136425636;9.522075680627893;4;6;142;0;0
DIDOK8500081;Altmarkt;DIDOK;47.47640755952996;7.744722014087987;5;0;142;0;0
DIDOK8503292;Altmatt;DIDOK;47.13164958665361;8.696124406381466;6;5;142;0;0
DIDOK8506125;Altnau;DIDOK;47.621366359831654;9.265896349640801;7;5;142;0;0
DIDOK8506319;Altstätten SG;DIDOK;47.37422977876647;9.556510548071884;0;5;142;0;0
DIDOK8506379;Altstätten Stadt;DIDOK;47.37675775596987;9.5373118236296;1;4;142;0;0
DIDOK8509194;Alvaneu;DIDOK;46.67124898933598;9.6507316889008;2;1;142;0;0
DIDOK8505202;Ambrì-Piotta;DIDOK;46.51060832023682;8.690150844743084;3;7;142;0;0
DIDOK8506109;Amriswil;DIDOK;47.55044797577337;9.302203886427339;4;7;142;0;0
DIDOK8506047;Andelfingen;DIDOK;47.593759734324756;8.677965806232528;5;0;142;0;0
DIDOK8505165;Andermatt;DIDOK;46.636892904067935;8.59327445011563;6;7;142;0;0
DIDOK8506286;Appenzell;DIDOK;47.32828682548064;9.408825667767317;7;0;142;0;0
DIDOK8501094;Apples;DIDOK;46.550878095919884;6.4235827208800265;0;6;142;0;0
DIDOK8506308;Arbon;DIDOK;47.51058605381702;9.433338165664265;1;6;142;0;0
DIDOK8516270;Arbon Seemoosriet;DIDOK;47.52151963229738;9.424292299551473;2;3;142;0;0
DIDOK8509266;Ardez;DIDOK;46.77353678869155;10.201047908671914;3;0;142;0;0
DIDOK8501505;Ardon;DIDOK;46.208575865226905;7.270930807643429;4;1;142;0;0
DIDOK8594231;Areuse Les Isles Littorail;DIDOK;46.95421718163646;6.848583565718177;5;7;142;0;0
DIDOK8595245;Areuse Littorail;DIDOK;46.95449207285971;6.85306036698279;6;1;142;0;0
DIDOK8588759;Arlesheim, Baselstrasse;DIDOK;47.501710152125156;7.618979402311096;7;6;142;0;0
DIDOK8589236;Arlesheim, Brown Boveri;DIDOK;47.50784664641369;7.617261254585649;0;7;142;0;0
DIDOK8500077;Arlesheim, Dorf;DIDOK;47.494461209381875;7.618875306177464;1;0;142;0;0
DIDOK8588764;Arlesheim, Im Lee;DIDOK;47.497473481320505;7.619323421199401;2;3;142;0;0
DIDOK8588765;Arlesheim, Stollenrain;DIDOK;47.49303356385409;7.611372871880221;3;1;142;0;0
DIDOK8506211;Arnegg;DIDOK;47.442002645979905;9.252005596119783;4;2;142;0;0
DIDOK8501107;Arnex;DIDOK;46.69807585661038;6.518902643116552;5;2;142;0;0
DIDOK8509157;Arosa;DIDOK;46.783287327181284;9.67933235478747;6;3;142;0;0
DIDOK8505004;Arth-Goldau;DIDOK;47.04914782510026;8.549490543095594;7;2;142;0;0
DIDOK8505063;Arth-Goldau RB;DIDOK;47.0488855478962;8.547774127279549;0;6;142;0;0
DIDOK8501494;Arveyes;DIDOK;46.29124719220049;7.062696393390512;1;0;142;0;0
DIDOK8501063;Arzier;DIDOK;46.45863849516257;6.21164682482451;2;0;142;0;0
DIDOK8501172;Assens;DIDOK;46.61314667700359;6.620532193206003;3;1;142;0;0
DIDOK8500286;Attiswil;DIDOK;47.246397419713624;7.6138814523403475;4;7;142;0;0
DIDOK8506316;Au SG;DIDOK;47.43612301051274;9.641244504181818;5;2;142;0;0
DIDOK8503205;Au ZH;DIDOK;47.24680813427831;8.64370742543967;6;3;142;0;0
DIDOK8507472;Ausserberg;DIDOK;46.31210191094709;7.84433398251614;0;2;142;0;0
DIDOK8504219;Auvernier;DIDOK;46.97964079885614;6.8777054802468;1;2;142;0;0
DIDOK8504510;Auvernier Littorail;DIDOK;46.97473113114369;6.87807230059948;2;5;142;0;0
DIDOK8504126;Avenches;DIDOK;46.88459690223588;7.040916126673802;3;6;142;0;0
DIDOK8502206;Baar;DIDOK;47.19536319930146;8.523255399638156;4;0;142;0;0
DIDOK8515993;Baar Lindenpark;DIDOK;47.18313361249337;8.517043587150427;5;4;142;0;0
DIDOK8515992;Baar Neufeld;DIDOK;47.188479280506144;8.517758358484448;6;2;142;0;0
DIDOK8509004;Bad Ragaz;DIDOK;47.010307210132744;9.505215382776163;0;1;142;0;0
DIDOK8503409;Bad Zurzach;DIDOK;47.58831071093196;8.295564210724367;2;5;142;0;0
DIDOK8503504;Baden;DIDOK;47.47642082640443;8.307692321026744;3;0;142;0;0
DIDOK8502025;Baldegg;DIDOK;47.18568444248396;8.280209380097306;4;3;142;0;0
DIDOK8516353;Baldegg Kloster;DIDOK;47.180599431615484;8.280577984092444;5;4;142;0;0
DIDOK8505306;Balerna;DIDOK;45.84675753089217;9.00503435523262;6;5;142;0;0
DIDOK8501095;Ballens;DIDOK;46.552263549440745;6.374459534882054;7;6;142;0;0
DIDOK8501085;Ballens-Froideville;DIDOK;46.549657314604424;6.390223844376624;0;3;142;0;0
DIDOK8502023;Ballwil;DIDOK;47.15375598961022;8.316880799846002;1;0;142;0;0
DIDOK8500294;Balsthal;DIDOK;47.31288910073752;7.693913487976727;2;5;142;0;0
DIDOK8508155;Bannwil;DIDOK;47.24438253066247;7.740357967481185;3;2;142;0;0
DIDOK8504403;Bargen;DIDOK;47.04015750445047;7.261182629303407;4;2;142;0;0
DIDOK8500090;Basel Bad Bf;DIDOK;47.5681469436578;7.607297157601517;5;1;142;0;0
DIDOK8500136;Basel Dreispitz;DIDOK;47.5378625742325;7.608954626537972;6;5;142;0;0
DIDOK8500010;Basel SBB;DIDOK;47.547395740909295;7.589564268751554;7;0;142;0;0
