idGare;idLigne;ordre;PDLFond;PDLPoint;vCreation;vMaj;vSuppression
DIDOK8506013;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8502113;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8519685;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8504404;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8502000;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8530801;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8530760;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8508153;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8502644;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8508154;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8508193;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8503124;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8505180;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8503096;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8508085;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8508449;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8500117;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8588760;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8502224;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8508275;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8505395;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8501400;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8501468;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8501484;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8530335;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8517484;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8501554;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8505201;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8504072;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8506220;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8501035;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8500186;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8501378;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8507550;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8587001;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8509357;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8507375;DIDOK_Suisse_U;0;0;0;142;0;0
DIDOK8508316;DIDOK_Suisse_U;0;0;0;142;0;0
