idExterne;nom;type;ordre;couleur;vCreation;vMaj;vSuppression
DIDOK_Suisse_U;Ligne Unique;Trains;0;#000000;142;0;0
DIDOK_Neuchatel_215;Ligne 215 de Neuchâtel;Tramway;0;#77d4c3;142;0;0
DIDOK_Lausanne_M1;Métro M1 de Lausanne;Metro;0;#e2007a;142;0;0
DIDOK_Lausanne_M2;Métro M2 de Lausanne;Metro;0;#e2007a;142;0;0
DIDOK_Geneve_Tram12;Tramway 12 de Genève;Tramway;0;#F9A51B;142;0;0
DIDOK_Geneve_Tram14;Tramway 14 de Genève;Tramway;0;#403A97;142;0;0
DIDOK_Geneve_Tram15;Tramway 15 de Genève;Tramway;0;#8A5331;142;0;0
DIDOK_Geneve_Tram18;Tramway 18 de Genève;Tramway;0;#A153A1;142;0;0
DIDOK_Bern_Tram3;Tramway 3 de Berne;Tramway;0;#99B3BE;142;0;0
DIDOK_Bern_Tram6;Tramway 6 de Berne;Tramway;0;#0089CF;142;0;0
DIDOK_Bern_Tram7;Tramway 7 de Berne;Tramway;0;#EE1D23;142;0;0
DIDOK_Bern_Tram8;Tramway 8 de Berne;Tramway;0;#F171AB;142;0;0
DIDOK_Bern_Tram9;Tramway 9 de Berne;Tramway;0;#FEC210;142;0;0
DIDOK_Bale_Tram1;Tramway 1 de Bâle;Tramway;0;#8B4513;142;0;0
DIDOK_Bale_Tram2;Tramway 2 de Bâle;Tramway;0;#CD853F;142;0;0
DIDOK_Bale_Tram3;Tramway 3 de Bâle;Tramway;0;#0000ff;142;0;0
DIDOK_Bale_Tram6;Tramway 6 de Bâle;Tramway;0;#1E90FF;142;0;0
DIDOK_Bale_Tram8;Tramway 8 de Bâle;Tramway;0;#FF69B4;142;0;0
DIDOK_Bale_Tram10;Tramway 10 de Bâle;Tramway;0;#FFFF00;142;0;0
DIDOK_Bale_Tram11;Tramway 11 de Bâle;Tramway;0;#FF0000;142;0;0
DIDOK_Bale_TramE11;Tramway E11 de Bâle;Tramway;0;#FF0000;142;0;0
DIDOK_Bale_Tram14;Tramway 14 de Bâle;Tramway;0;#FFA500;142;0;0
DIDOK_Bale_Tram15;Tramway 15 de Bâle;Tramway;0;#008000;142;0;0
DIDOK_Bale_Tram16;Tramway 16 de Bâle;Tramway;0;#7FFF00;142;0;0
DIDOK_Bale_Tram17;Tramway 17 de Bâle;Tramway;0;#0000FF;142;0;0
DIDOK_Bale_Tram21;Tramway 21 de Bâle;Tramway;0;#ADD8E6;142;0;0
DIDOK_Zurich_Tram2;Tramway 2 de Zurich;Tramway;0;#000000;142;0;0
DIDOK_Zurich_Tram3;Tramway 3 de Zurich;Tramway;0;#000000;142;0;0
DIDOK_Zurich_Tram4;Tramway 4 de Zurich;Tramway;0;#000000;142;0;0
DIDOK_Zurich_Tram5;Tramway 5 de Zurich;Tramway;0;#000000;142;0;0
DIDOK_Zurich_Tram6;Tramway 6 de Zurich;Tramway;0;#000000;142;0;0
DIDOK_Zurich_Tram7;Tramway 7 de Zurich;Tramway;0;#000000;142;0;0
DIDOK_Zurich_Tram8;Tramway 8 de Zurich;Tramway;0;#000000;142;0;0
DIDOK_Zurich_Tram9;Tramway 9 de Zurich;Tramway;0;#000000;142;0;0
DIDOK_Zurich_Tram10;Tramway 10 de Zurich;Tramway;0;#000000;142;0;0
DIDOK_Zurich_Tram11;Tramway 11 de Zurich;Tramway;0;#000000;142;0;0
DIDOK_Zurich_Tram12;Tramway 12 de Zurich;Tramway;0;#000000;142;0;0
DIDOK_Zurich_Tram13;Tramway 13 de Zurich;Tramway;0;#000000;142;0;0
DIDOK_Zurich_Tram14;Tramway 14 de Zurich;Tramway;0;#000000;142;0;0
DIDOK_Zurich_Tram15;Tramway 15 de Zurich;Tramway;0;#000000;142;0;0
DIDOK_Zurich_Tram17;Tramway 17 de Zurich;Tramway;0;#000000;142;0;0
