Geo Point;Geo Shape;ID_REF_ZDL;NOM_LONG;LABEL;IDREFLIGA;IDREFLIGC;RES_COM;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;EXPLOITANT;PRINCIPAL;IDF;X;Y
49.0353113094, 2.21024652104;"{""type"": ""Point"", ""coordinates"": [2.210246521043383, 49.03531130942031]}";43090;BESSANCOURT;BESSANCOURT;A01849;;LIGNE H;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;642252.561;6882002.515
49.0580478163, 2.19124476186;"{""type"": ""Point"", ""coordinates"": [2.191244761857998, 49.05804781628029]}";47582;MERY-VAL D'OISE;MRY VAL D'OISE;A01849;;LIGNE H;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;640889.083;6884545.079
48.9727491189, 2.30713703345;"{""type"": ""Point"", ""coordinates"": [2.307137033449419, 48.97274911886798]}";43075;ENGHIEN-LES-BAINS;ENGHIEN-LES-BAINS;A01849;;LIGNE H;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;649276.034;6874978.719
48.2295499402, 2.7039360516;"{""type"": ""Point"", ""coordinates"": [2.703936051600071, 48.229549940151806]}";47119;BAGNEAUX-SUR-LOING;BAGNEAUX-SUR-LOING;A01845;;LIGNE R;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;678015.372;6792174.902
48.8677920986, 2.05076784532;"{""type"": ""Point"", ""coordinates"": [2.050767845317349, 48.86779209857871]}";47954;SAINT-NOM-LA-BRETECHE-FORET-DE-MARLY;SAINT-NOM-LA-BRETCHE FORT DE MARLY;A02176;;LIGNE L;Train;1;1;0;0;0;0;0;TRAIN_L;TRAIN_L;0;0;0;0;0;SNCF;1;1;630367.922;6863503.34
48.8319161843, 1.94440175262;"{""type"": ""Point"", ""coordinates"": [1.944401752618381, 48.831916184270455]}";47885;PLAISIR-GRIGNON;PLAISIR-GRIGNON;A01847;;LIGNE N;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;1;1;622512.422;6859613.55
48.513754591, 3.25003498258;"{""type"": ""Point"", ""coordinates"": [3.250034982583049, 48.51375459097529]}";47914;LONGUEVILLE;LONGUEVILLE;A01844;;LIGNE P;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;1;1;718466.669;6823752.474
48.5297469168, 2.57207366546;"{""type"": ""Point"", ""coordinates"": [2.572073665459209, 48.529746916787104]}";45763;BOISSISE-LE-ROI;BOISSISE-LE-ROI;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;668404.662;6825586.613
48.5102651753, 2.67897398269;"{""type"": ""Point"", ""coordinates"": [2.678973982691401, 48.510265175268025]}";45804;LIVRY-SUR-SEINE;LIVRY-SUR-SEINE;A01845;;LIGNE R;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;676288.641;6823383.544
48.4870763952, 2.69503731381;"{""type"": ""Point"", ""coordinates"": [2.695037313814469, 48.4870763952446]}";43107;CHARTRETTES;CHARTRETTES;A01845;;LIGNE R;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;677465.136;6820801.163
48.4163770339, 2.72666153308;"{""type"": ""Point"", ""coordinates"": [2.726661533076995, 48.41637703390627]}";47911;FONTAINEBLEAU-AVON;FONTAINEBLEAU-AVON;A01845;;LIGNE R;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;1;1;679774.757;6812933.898
48.3823580058, 2.81595676708;"{""type"": ""Point"", ""coordinates"": [2.815956767081606, 48.38235800575609]}";47953;SAINT-MAMMES;SAINT-MAMMS;A01845;;LIGNE R;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;686373.187;6809133.458
48.9633441128, 1.80909450877;"{""type"": ""Point"", ""coordinates"": [1.809094508773784, 48.96334411275807]}";47882;EPONE-MEZIERES;PNE MZIRES;A01852 / A01847;;LIGNE J / LIGNE N;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;612801.135;6874367.855
48.9925919556, 1.91353050671;"{""type"": ""Point"", ""coordinates"": [1.913530506709514, 48.992591955638225]}";47881;LES MUREAUX;LES MUREAUX;A01852;;LIGNE J;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;620492.252;6877509.852
48.8542517026, 2.13213244527;"{""type"": ""Point"", ""coordinates"": [2.132132445266081, 48.85425170259348]}";47790;BOUGIVAL;BOUGIVAL;A02176;;LIGNE L;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;636319.722;6861929.125
48.6857136282, 2.31762640359;"{""type"": ""Point"", ""coordinates"": [2.317626403589137, 48.68571362817148]}";47934;GRAVIGNY-BALIZY;GRAVIGNY BALIZY;A01840;;RER C;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;649768.125;6843057.056
48.6539697584, 2.39617681109;"{""type"": ""Point"", ""coordinates"": [2.39617681109197, 48.65396975837524]}";43132;GRIGNY-CENTRE;GRIGNY CENTRE;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;655523.384;6839480.879
48.751023276, 2.21586085326;"{""type"": ""Point"", ""coordinates"": [2.215860853257887, 48.7510232759923]}";43091;BIEVRES;BIVRES;A01840;;RER C;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;642349.149;6850387.489
48.7083664326, 2.4143588798;"{""type"": ""Point"", ""coordinates"": [2.414358879800508, 48.7083664325953]}";45735;VIGNEUX-SUR-SEINE;VIGNEUX-SUR-SEINE;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;656907.474;6845518.339
48.6952641221, 2.15164203998;"{""type"": ""Point"", ""coordinates"": [2.151642039982194, 48.69526412211767]}";47046;LA HACQUINIERE;LA HACQUINIRE;A01857;;RER B;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;RATP;0;1;637561.275;6844237.24
48.6962527469, 2.16437824279;"{""type"": ""Point"", ""coordinates"": [2.16437824278855, 48.69625274691505]}";43103;BURES-SUR-YVETTE;BURES-SUR-YVETTE;A01857;;RER B;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;RATP;0;1;638499.781;6844337.153
48.5328901041, 2.29008251383;"{""type"": ""Point"", ""coordinates"": [2.290082513828219, 48.53289010414424]}";47905;BOURAY;BOURAY;A01840;;RER C;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;647587.834;6826086.019
48.4936445785, 2.19458169917;"{""type"": ""Point"", ""coordinates"": [2.194581699172116, 48.493644578487505]}";43081;ETRECHY;TRCHY;A01840;;RER C;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;640492.881;6821791.26
48.7953838374, 2.51342330089;"{""type"": ""Point"", ""coordinates"": [2.513423300890402, 48.79538383742462]}";43146;LA VARENNE-CHENNEVIERES;LA VARENNE-CHENNEVIRES;A01856;;RER A;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;RATP;0;1;664256.329;6855143.672
48.8248485695, 2.51185555481;"{""type"": ""Point"", ""coordinates"": [2.51185555481306, 48.82484856950445]}";58267;LES BOULLEREAUX-CHAMPIGNY;LES BOULLEREAUX CHAMPIGNY;A01843;;RER E;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;664161.418;6858420.515
48.8699124183, 2.48576114198;"{""type"": ""Point"", ""coordinates"": [2.485761141983895, 48.869912418292635]}";47877;ROSNY-SOUS-BOIS;ROSNY-SOUS-BOIS;A01843;;RER E;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;662278.277;6863443.403
48.8139890511, 2.39168697167;"{""type"": ""Point"", ""coordinates"": [2.391686971673029, 48.81398905111015]}";46366;IVRY-SUR-SEINE;IVRY-SUR-SEINE;A01840;;RER C;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;655329.737;6857274.321
48.8002094001, 2.40271281716;"{""type"": ""Point"", ""coordinates"": [2.402712817160934, 48.80020940014327]}";46375;VITRY-SUR-SEINE;VITRY-SUR-SEINE;A01840;;RER C;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;656127.793;6855736.023
48.8564199914, 2.21657223779;"{""type"": ""Point"", ""coordinates"": [2.216572237792291, 48.85641999136021]}";44979;LE VAL-D'OR;LE VAL D'OR;A02176;;LIGNE L;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;642517.718;6862105.431
48.8717141866, 2.22102954777;"{""type"": ""Point"", ""coordinates"": [2.221029547771898, 48.871714186642514]}";43205;SURESNES-MONT VALERIEN;SURESNES MONT VALRIEN;A02176 / A01855;;LIGNE L / LIGNE U;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;642861.529;6863802.762
48.909632934, 2.23968411711;"{""type"": ""Point"", ""coordinates"": [2.23968411711448, 48.90963293402526]}";47412;LA GARENNE-COLOMBES;LA GARENNE-COLOMBES;A02176;;LIGNE L;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;644270.422;6868005.736
